"site","time_scale","drought_type","lat","lon","trend_type","p_value","z","method","n","note","s","var_s","tau","alternative","trend_likelihood","period_start","period_end","region"
"Masterton (Wellington)","6","Agricultural drought",-40.957,175.707,"Duration",0.8627574858613162,-1.0927922428215597,"Mann-Kendall",16,NA,-25,482.3333333333333,-0.2166146853791818,"greater","Likely decreasing",1972,2022,"Wellington"
"Milford Sound (Southland)","12","Hydrological drought",-44.67384,167.92406,"Duration",0.13962547268436887,1.0820035616009187,"Mann-Kendall",10,NA,13,123,0.29553088043720516,"greater","Likely increasing",1972,2022,"Southland"
"Milford Sound (Southland)","3","Meteorological drought",-44.67384,167.92406,"Duration",0.6089704849432934,-0.27663676689327765,"Mann-Kendall",26,NA,-13,1881.6666666666667,-0.04463560422746575,"greater","Indeterminate",1972,2022,"Southland"
"Milford Sound (Southland)","6","Agricultural drought",-44.67384,167.92406,"Duration",0.3094840053953068,0.4973134750818029,"Mann-Kendall",15,NA,11,404.3333333333333,0.10681625531636751,"greater","Likely increasing",1972,2022,"Southland"
"Napier (Hawke's Bay)","12","Hydrological drought",-39.49846,176.91189,"Duration",0.24947270262674978,0.6761500139095049,"Mann-Kendall",13,NA,12,264.6666666666667,0.1579494379477969,"greater","Likely increasing",1972,2022,"Hawke's Bay"
"Napier (Hawke's Bay)","3","Meteorological drought",-39.49846,176.91189,"Duration",0.28348232106365723,0.5725275275339804,"Mann-Kendall",27,NA,28,2224,0.08515871800354473,"greater","Likely increasing",1972,2022,"Hawke's Bay"
"Napier (Hawke's Bay)","6","Agricultural drought",-39.49846,176.91189,"Duration",0.3345584331253005,0.4273603720609448,"Mann-Kendall",20,NA,14,925.3333333333334,0.07744386366642515,"greater","Indeterminate",1972,2022,"Hawke's Bay"
"Nelson (Nelson)","12","Hydrological drought",-41.299,173.226,"Duration",0.8554272181013745,-1.05999788000636,"Mann-Kendall",9,"Less than 10 values provided. ",-11,89,-0.3191423692521127,"greater","Likely decreasing",1972,2022,"Nelson"
"Nelson (Nelson)","3","Meteorological drought",-41.299,173.226,"Duration",0.18785327292735932,0.8858348156577864,"Mann-Kendall",22,NA,32,1224.6666666666667,0.14598637372036238,"greater","Likely increasing",1972,2022,"Nelson"
"Nelson (Nelson)","6","Agricultural drought",-41.299,173.226,"Duration",0.909613253271549,-1.3383772429008454,"Mann-Kendall",17,NA,-33,571.6666666666666,-0.2530984463196322,"greater","Very likely decreasing",1972,2022,"Nelson"
"New Plymouth (Taranaki)","12","Hydrological drought",-39.0079,174.18382,"Duration",0.4573919289095775,0.10700645625096326,"Mann-Kendall",9,"Less than 10 values provided. ",2,87.33333333333333,0.05892556509887895,"greater","Indeterminate",1972,2022,"Taranaki"
"New Plymouth (Taranaki)","3","Meteorological drought",-39.0079,174.18382,"Duration",0.04128963707616337,1.735912687073534,"Mann-Kendall",18,NA,46,672,0.31889129347628614,"greater","Very likely increasing",1972,2022,"Taranaki"
"New Plymouth (Taranaki)","6","Agricultural drought",-39.0079,174.18382,"Duration",0.33685832487476197,0.42105263157894735,"Mann-Kendall",15,NA,9,361,0.09759000729485333,"greater","Indeterminate",1972,2022,"Taranaki"
"Queenstown (Otago)","12","Hydrological drought",-45.01758,168.74005,"Duration",0.7497202510909304,-0.673609679265374,"Mann-Kendall",13,NA,-12,266.6666666666667,-0.1558573000398393,"greater","Likely decreasing",1972,2022,"Otago"
"Queenstown (Otago)","3","Meteorological drought",-45.01758,168.74005,"Duration",0.11356620017494987,1.2077786902749779,"Mann-Kendall",26,NA,55,1999,0.1794618281905153,"greater","Likely increasing",1972,2022,"Otago"
"Queenstown (Otago)","6","Agricultural drought",-45.01758,168.74005,"Duration",0.9378947710454031,-1.5373384191911863,"Mann-Kendall",20,NA,-48,934.6666666666666,-0.2610083707542437,"greater","Very likely decreasing",1972,2022,"Otago"
"Reefton (West Coast)","12","Hydrological drought",-42.11578,171.86014,"Duration",0.5,-0,"Mann-Kendall",10,NA,-1,123,-0.022733144649015782,"greater","Indeterminate",1972,2022,"West Coast"
"Reefton (West Coast)","3","Meteorological drought",-42.11578,171.86014,"Duration",0.30690788546562325,0.5046342191192612,"Mann-Kendall",19,NA,15,769.6666666666666,0.09460945407607456,"greater","Likely increasing",1972,2022,"West Coast"
