Date(NZST),Sunshine(Hrs),Period(Hrs),Freq
20100112,9.3,24,D
20100113,1.2,24,D
20100114,10.4,24,D
20100115,11.1,24,D
20100116,7.8,24,D
20100117,7.6,24,D
20100118,5.6,24,D
20100119,8.8,24,D
20100120,1.8,24,D
20100121,5.8,24,D
20100122,2.9,24,D
20100123,6.6,24,D
20100124,0.5,24,D
20100125,6.9,24,D
20100126,11.6,24,D
20100127,5,24,D
20100128,12.4,24,D
20100129,8.4,24,D
20100130,10.6,24,D
20100131,12.9,24,D
20100201,12.8,24,D
20100202,12.4,24,D
20100203,12.7,24,D
20100204,12.7,24,D
20100205,8.5,24,D
20100206,9.8,24,D
20100207,6.3,24,D
20100208,5.6,24,D
20100209,8.3,24,D
20100210,0,24,D
20100211,7,24,D
20100212,4,24,D
20100213,6.2,24,D
20100214,1,24,D
20100215,10.3,24,D
20100216,6.7,24,D
20100217,0,24,D
20100218,2.4,24,D
20100219,7.9,24,D
20100220,8.8,24,D
20100221,12.2,24,D
20100222,11.8,24,D
20100223,9.4,24,D
20100224,0.8,24,D
20100225,2.4,24,D
20100226,11.3,24,D
20100227,10.2,24,D
20100228,2,24,D
20100301,5,24,D
20100302,5.7,24,D
20100303,5.2,24,D
20100304,10.2,24,D
20100305,8.4,24,D
20100306,11.5,24,D
20100307,11.5,24,D
20100308,9.2,24,D
20100309,8.4,24,D
20100310,6.9,24,D
20100311,8.1,24,D
20100312,4.2,24,D
20100313,2.7,24,D
20100314,7.1,24,D
20100315,7.8,24,D
20100316,2.9,24,D
20100317,10.8,24,D
20100318,3.3,24,D
20100319,6.2,24,D
20100320,1.5,24,D
20100321,0.9,24,D
20100322,1.9,24,D
20100323,4.1,24,D
20100324,0,24,D
20100325,1.5,24,D
20100326,5.1,24,D
20100327,4.2,24,D
20100328,9.5,24,D
20100329,2.5,24,D
20100330,0,24,D
20100331,1.8,24,D
20100401,1.7,24,D
20100402,1.5,24,D
20100403,4.4,24,D
20100404,0.7,24,D
20100405,0.1,24,D
20100406,3.4,24,D
20100407,10.1,24,D
20100408,10,24,D
20100409,9.9,24,D
20100410,5.5,24,D
20100411,5.5,24,D
20100412,5.1,24,D
20100413,0,24,D
20100414,2.8,24,D
20100415,0.7,24,D
20100416,8.6,24,D
20100417,1.4,24,D
20100418,5.1,24,D
20100419,0.5,24,D
20100420,7.7,24,D
20100421,3.6,24,D
20100422,6.9,24,D
20100423,0.6,24,D
20100424,0,24,D
20100425,0.1,24,D
20100426,0.3,24,D
20100427,0,24,D
20100428,3.1,24,D
20100429,2.9,24,D
20100430,0,24,D
20100501,7.9,24,D
20100502,1.7,24,D
20100503,2.3,24,D
20100504,6.1,24,D
20100505,0.8,24,D
20100506,0.6,24,D
20100507,0,24,D
20100508,0.6,24,D
20100509,6,24,D
20100510,5.2,24,D
20100511,8,24,D
20100512,2.3,24,D
20100513,3.7,24,D
20100514,4.3,24,D
20100515,4.6,24,D
20100516,2.3,24,D
20100517,1.9,24,D
20100518,3.4,24,D
20100519,2.4,24,D
20100520,7,24,D
20100521,4.4,24,D
20100522,3.1,24,D
20100523,0,24,D
20100524,0,24,D
20100525,0,24,D
20100526,2,24,D
20100527,0,24,D
20100528,0,24,D
20100529,0.8,24,D
20100530,4.8,24,D
20100531,7.9,24,D
20100601,0.8,24,D
20100602,3.8,24,D
20100603,5,24,D
20100604,0,24,D
20100605,1.5,24,D
20100606,0,24,D
20100607,0,24,D
20100608,6.8,24,D
20100609,3.5,24,D
20100610,0.1,24,D
20100611,1,24,D
20100612,1.3,24,D
20100613,2.9,24,D
20100614,0.1,24,D
20100615,2,24,D
20100616,1.5,24,D
20100617,1,24,D
20100618,0,24,D
20100619,0.1,24,D
20100620,1,24,D
20100621,2.2,24,D
20100622,0.3,24,D
20100623,0,24,D
20100624,4.5,24,D
20100625,0.9,24,D
20100626,6.5,24,D
20100627,7.2,24,D
20100628,1.3,24,D
20100629,2.4,24,D
20100630,4.1,24,D
20100701,2.1,24,D
20100702,2.3,24,D
20100703,1.1,24,D
20100704,2.8,24,D
20100705,5.2,24,D
20100706,3.7,24,D
20100707,3.9,24,D
20100708,7.7,24,D
20100709,7.9,24,D
20100710,7.9,24,D
20100711,6.7,24,D
20100712,3.7,24,D
20100713,2.4,24,D
20100714,4,24,D
20100715,3.8,24,D
20100716,0,24,D
20100717,1.2,24,D
20100718,2.9,24,D
20100719,3.5,24,D
20100720,1.1,24,D
20100721,0.6,24,D
20100722,2.7,24,D
20100723,1.2,24,D
20100724,7.3,24,D
20100725,3,24,D
20100726,2.5,24,D
20100727,1.9,24,D
20100728,2.9,24,D
