,Date(NZST),Pmsl(hPa),Pstn(hPa),Amount(mm),Period(min),daily_total_rainfall,daily_avg_duration,daily_min_duration,daily_max_duration,daily_median_duration,Rainfall(mm),Deficit(mm),Sunshine(Hrs),WindDir(DegT),Speed(m/s)_x,WindDir StdDev,WindSpd StdDev,Tmax(C),Tmin(C),Tgmin(C),Tmean(C),Twet(C),RH(%),Tdew(C),Dir(DegT),Speed(m/s)_y,Percent(%),soil_avg_moist,soil_min_moist,soil_max_moist,soil_median_moist
82,2019-06-17,1015.2,990.8,0.0,49.3,5.96,17.7,1.8,89.1,11.6,15.2,0.0,1.4,94,0.2,37,0.3,16.466382070437568,7.442857142857142,2.6,11.984193548387095,4.4,99.0,4.4,94,4.1,48.6,48.6,48.6,48.6,48.6
83,2019-06-20,1025.7,1000.6,0.0,4472.3,10.21,179.13333333333335,3.4,4472.3,13.3,0.0,1.1,1.3,327,0.2,21,0.3,16.466382070437568,7.442857142857142,-2.4,11.984193548387095,0.0,100.0,0.0,50,6.7,41.3,41.3,41.3,41.3,41.3
84,2019-06-21,1014.6,990.3,0.15,19.6,0.79,10.266666666666667,4.4,19.6,9.15,10.6,0.0,4.1,273,0.2,34,0.3,16.466382070437568,7.442857142857142,0.3,11.984193548387095,6.2,100.0,6.2,10,3.6,43.9,43.9,43.9,43.9,43.9
85,2019-06-25,1033.5,1008.1,0.0,6329.3,0.1,2110.733333333333,1.3,6329.3,1.6,0.0,2.3,1.7,262,0.4,0,0.4,16.466382070437568,7.442857142857142,-2.9,11.984193548387095,9.51291390728477,92.8841059602649,8.955960264900662,124,2.6,41.3,41.3,41.3,41.3,41.3
86,2019-06-29,1040.3,1015.0,0.0,6551.9,0.1,3277.1,2.3,6551.9,3277.1,0.0,4.6,0.1,0,0.0,0,0.0,9.9,-1.1,-4.2,4.4,1.8,100.0,1.8,298,1.5,41.4,41.4,41.4,41.4,41.4
87,2019-07-02,1033.1,1008.3,0.0,3753.1,0.33,961.225,19.2,3753.1,36.3,0.0,5.8,0.0,0,0.0,0,0.0,8.5,1.3,1.0,4.9,4.7,100.0,4.7,44,4.6,41.4,41.4,41.4,41.4,41.4
88,2019-07-03,1019.5,995.7,0.0,516.7,53.77,27.075000000000003,1.0,516.7,9.05,35.6,0.0,0.6,42,3.6,28,1.4,13.8,4.4,5.7,9.1,13.3,96.0,13.0,40,10.8,41.1,41.1,41.1,41.1,41.1
89,2019-07-07,1027.7,1002.4,0.0,5007.3,0.15,1170.56,5.6,5007.3,309.9,0.0,0.7,3.7,332,0.4,26,0.3,13.7,-2.3,-5.0,5.7,-1.6,100.0,-1.8,126,3.1,42.2,42.2,42.2,42.2,42.2
90,2019-07-08,1014.6,990.4,0.23,7.7,3.65,43.23461538461538,4.8,502.6,16.65,3.0,0.0,0.4,152,1.4,26,0.6,6.9,-1.9,-1.3,2.5,5.9,91.0,5.2,108,5.1,42.1,42.1,42.1,42.1,42.1
91,2019-07-10,1013.4,989.1,0.0,2394.9,13.36,60.94615384615385,2.3,2394.9,9.3,0.0,0.3,0.6,68,1.1,57,0.7,11.1,3.9,2.6,7.5,5.4,100.0,5.4,3,5.1,42.2,42.2,42.2,42.2,42.2
92,2019-07-11,1016.1,991.8,0.0,129.6,5.85,21.451724137931038,2.2,129.6,9.6,19.4,0.0,5.4,160,0.5,58,0.4,10.5,4.9,2.8,7.7,6.6,100.0,6.6,25,4.6,47.1,47.1,47.1,47.1,47.1
93,2019-07-12,1011.6,987.5,0.0,950.9,22.79,31.97887323943662,0.8,950.9,9.5,1.4,0.0,0.0,111,0.9,43,0.6,14.6,2.5,0.0,8.6,6.7,99.0,6.7,26,6.7,44.8,44.8,44.8,44.8,44.8
