Station,Date(NZST)_Incl_secs,Amount(mm),Period(min),Freq
3925,20090126:224118,0,9830.4,BPS
3925,20090126:224806,0.26,6.8,BPS
3925,20090126:225130,0.69,3.4,BPS
3925,20090126:225342,0.23,2.2,BPS
3925,20090126:225654,0.1,3.2,BPS
3925,20090126:231806,0.24,21.2,BPS
3925,20090126:233730,0,19.4,BPS
3925,20090126:235824,0.2,20.9,BPS
3925,20090127:000918,0,10.9,BPS
3925,20090127:002624,0.18,17.1,BPS
3925,20090130:222612,0,5639.8,BPS
3925,20090130:224930,0.3,23.3,BPS
3925,20090204:054812,0,6178.7,BPS
3925,20090204:060706,0.12,18.9,BPS
3925,20090204:061848,0.17,11.7,BPS
3925,20090204:063848,0.19,20,BPS
3925,20090204:072154,0.86,43.1,BPS
3925,20090204:073524,0.22,13.5,BPS
3925,20090204:075500,0.18,19.6,BPS
3925,20090204:081424,0,19.4,BPS
3925,20090204:082224,0.2,8,BPS
3925,20090204:083806,0.06,15.7,BPS
3925,20090204:113318,0,175.2,BPS
3925,20090204:122030,0.11,47.2,BPS
3925,20090204:124318,0,22.8,BPS
3925,20090204:134400,0.33,60.7,BPS
3925,20090204:141448,0.06,30.8,BPS
3925,20090207:042006,0,3725.3,BPS
3925,20090207:043306,0.11,13,BPS
3925,20090207:052142,0,48.6,BPS
3925,20090207:053230,0.23,10.8,BPS
3925,20090207:054918,0.06,16.8,BPS
3925,20090209:224400,0,3894.7,BPS
3925,20090209:225148,0.11,7.8,BPS
3925,20090209:231206,0.08,20.3,BPS
3925,20090210:013836,0,146.5,BPS
3925,20090210:014312,0.08,4.6,BPS
3925,20090210:015812,0.15,15,BPS
3925,20090210:021348,0,15.6,BPS
3925,20090210:022536,0.21,11.8,BPS
3925,20090210:023324,0.05,7.8,BPS
3925,20090210:025854,0,25.5,BPS
3925,20090210:031336,0.12,14.7,BPS
3925,20090212:053818,0,3024.7,BPS
3925,20090212:054112,0.15,2.9,BPS
3925,20090212:054630,0,5.3,BPS
3925,20090212:054836,0.72,2.1,BPS
3925,20090212:055154,0.79,3.3,BPS
3925,20090212:055412,0.27,2.3,BPS
3925,20090212:055536,0.09,1.4,BPS
3925,20090212:060548,0.16,10.2,BPS
3925,20090212:062448,0,19,BPS
3925,20090212:063218,0.19,7.5,BPS
3925,20090212:063300,0.08,0.7,BPS
3925,20090212:063618,0.79,3.3,BPS
3925,20090212:063748,0.16,1.5,BPS
3925,20090212:064430,0.25,6.7,BPS
3925,20090212:065312,0.11,8.7,BPS
3925,20090212:071118,0,18.1,BPS
3925,20090212:071818,0.13,7,BPS
3925,20090212:072236,0.22,4.3,BPS
3925,20090212:072824,0.82,5.8,BPS
3925,20090212:073212,0.33,3.8,BPS
3925,20090212:073524,0.15,3.2,BPS
3925,20090212:075048,0.27,15.4,BPS
3925,20090212:080024,0.37,9.6,BPS
3925,20090212:080800,0.75,7.6,BPS
3925,20090212:081706,0.65,9.1,BPS
3925,20090212:082024,0.78,3.3,BPS
3925,20090212:082324,0.35,3,BPS
3925,20090212:083054,0.41,7.5,BPS
3925,20090212:083730,0.6,6.6,BPS
3925,20090212:084736,0.63,10.1,BPS
3925,20090212:090000,0.38,12.4,BPS
3925,20090212:091200,0.26,12,BPS
3925,20090212:093136,0.69,19.6,BPS
3925,20090212:100324,0.89,31.8,BPS
3925,20090212:103218,0.62,28.9,BPS
3925,20090212:110900,1.3,36.7,BPS
3925,20090212:111418,0.09,5.3,BPS
3925,20090212:114036,0.24,26.3,BPS
3925,20090212:120536,0.16,25,BPS
3925,20090212:122106,0.62,15.5,BPS
3925,20090212:124106,0.38,20,BPS
3925,20090212:125330,0.52,12.4,BPS
3925,20090212:131424,0.27,20.9,BPS
3925,20090212:132642,0.8,12.3,BPS
3925,20090212:133930,0.5,12.8,BPS
3925,20090212:134730,0.75,8,BPS
3925,20090212:135742,0.44,10.2,BPS
3925,20090212:141142,1.07,14,BPS
3925,20090212:145148,1.38,40.1,BPS
3925,20090212:145524,0.07,3.6,BPS
3925,20090212:150436,0,9.2,BPS
3925,20090212:151448,0.22,10.2,BPS
3925,20090212:153006,0,15.3,BPS
3925,20090212:155506,0.16,25,BPS
3925,20090212:181512,0,140.1,BPS
3925,20090212:183242,0.07,17.5,BPS
3925,20090213:122918,0,1076.6,BPS
3925,20090213:123542,0.07,6.4,BPS
3925,20090213:124024,0.08,4.7,BPS
3925,20090213:172600,0,285.6,BPS
3925,20090213:173136,0.2,5.6,BPS
3925,20090213:173236,0.17,1,BPS
3925,20090213:173436,0.47,2,BPS
3925,20090213:173536,0.09,1,BPS
3925,20090213:174324,0.15,7.8,BPS
3925,20090213:180830,0,25.1,BPS
3925,20090213:181336,0.07,5.1,BPS
3925,20090215:041400,0,2040.4,BPS
3925,20090215:041742,0.05,3.7,BPS
3925,20090215:042230,0.2,4.8,BPS
3925,20090215:043636,0.05,14.1,BPS
3925,20090219:223412,0,6837.6,BPS
3925,20090219:225012,0.06,16,BPS
3925,20090219:225754,0,7.7,BPS
3925,20090219:230612,0.2,8.3,BPS
3925,20090219:231730,0.09,11.3,BPS
3925,20090219:232324,0.13,5.9,BPS
3925,20090219:232912,0.07,5.8,BPS
3925,20090220:000112,0,32,BPS
3925,20090220:004336,0.15,42.4,BPS
3925,20090220:011436,0,31,BPS
3925,20090220:014130,0.34,26.9,BPS
3925,20090220:015412,0.52,12.7,BPS
3925,20090220:015924,0.39,5.2,BPS
3925,20090220:020624,0.32,7,BPS
3925,20090220:022306,0.42,16.7,BPS
3925,20090220:023706,0.7,14,BPS
3925,20090220:024530,0.16,8.4,BPS
3925,20090220:031424,1.02,28.9,BPS
3925,20090220:032348,0.59,9.4,BPS
3925,20090220:032812,0.44,4.4,BPS
3925,20090220:034330,1.12,15.3,BPS
3925,20090220:041242,1.07,29.2,BPS
3925,20090220:042236,0.87,9.9,BPS
3925,20090220:042848,0.32,6.2,BPS
3925,20090220:043300,0.35,4.2,BPS
3925,20090220:045042,0.87,17.7,BPS
3925,20090220:050924,1.52,18.7,BPS
3925,20090220:052342,0.51,14.3,BPS
3925,20090220:053342,0.95,10,BPS
3925,20090220:054518,0.39,11.6,BPS
3925,20090220:055912,0.81,13.9,BPS
3925,20090220:061630,0.48,17.3,BPS
3925,20090220:062406,0.53,7.6,BPS
3925,20090220:062830,0.54,4.4,BPS
3925,20090220:063318,0.14,4.8,BPS
3925,20090220:063954,0.39,6.6,BPS
3925,20090220:064506,0.92,5.2,BPS
3925,20090220:064848,0.85,3.7,BPS
3925,20090220:065512,1,6.4,BPS
3925,20090220:070054,0.41,5.7,BPS
3925,20090220:070754,0.23,7,BPS
3925,20090220:071012,0.21,2.3,BPS
3925,20090220:071230,0.59,2.3,BPS
3925,20090220:071554,1.47,3.4,BPS
3925,20090220:071648,0.25,0.9,BPS
3925,20090220:072112,0.36,4.4,BPS
3925,20090220:073442,0.59,13.5,BPS
3925,20090220:081912,0.88,44.5,BPS
3925,20090220:082954,0.48,10.7,BPS
3925,20090220:083748,0.54,7.9,BPS
3925,20090220:084124,0.73,3.6,BPS
3925,20090220:084324,0.21,2,BPS
3925,20090220:085142,0.18,8.3,BPS
3925,20090220:090000,0.34,8.3,BPS
3925,20090220:091006,0.13,10.1,BPS
3925,20090220:091830,0.15,8.4,BPS
3925,20090220:092306,0,4.6,BPS
3925,20090220:092600,0.13,2.9,BPS
3925,20090220:093700,0,11,BPS
3925,20090220:093830,0.13,1.5,BPS
3925,20090220:093948,0.03,1.3,BPS
3925,20090220:095618,0,16.5,BPS
3925,20090220:095830,0.22,2.2,BPS
3925,20090220:100248,0.2,4.3,BPS
