Date(NZST),Tmax(C),Tmin(C),Tgmin(C),Tmean(C)
20230511,11.2,2.6,-0.1,6.9
20230512,12.5,0.9,-1.7,6.7
20230513,15,1.2,-1.8,8.1
20230514,11.4,3.4,5.1,-
20230515,11.7,6.5,5.3,9.1
20230516,14.5,3.1,1.1,8.8
20230517,10.5,3.1,4.4,-
20230518,11.5,7.8,7.7,9.7
20230519,15.8,8.3,7.1,12.1
20230520,15.8,9.3,5.9,12.6
20230521,17.3,8.6,6.8,13
20230522,13.8,5.7,1.7,9.8
20230523,15.2,3.1,-0.1,9.2
20230524,14.4,4,3.6,9.2
20230525,14.9,2.9,1,8.9
20230526,10.2,4.4,4.9,7.3
20230527,14.8,7.4,8.1,-
20230528,16.6,8.3,5.2,12.5
20230529,17.1,7.1,3.4,12.1
20230530,15.1,7.2,3.3,11.2
20230531,13.2,5.4,1.3,9.3
20230601,12.9,6.3,5.4,9.6
20230602,14.4,8.1,5.4,11.3
20230603,13.4,5.5,3.6,9.5
20230604,13,3.5,1,8.3
20230605,11.2,3.3,-0.2,7.3
20230606,13,-1,-3.9,6
20230607,12.2,-2.3,-4.3,5
20230608,11.2,-1.9,-4,4.7
20230609,8.9,-3.5,-4.5,2.7
20230610,9.2,-4,-5.3,2.6
20230611,10.1,-3.3,-4.2,3.4
20230612,8.4,-0.9,-0.8,3.8
20230613,13.2,1,-2.3,7.1
20230614,9.6,-0.2,-3.1,4.7
20230615,9.6,-0.2,-2.6,4.7
20230616,7.2,-2.1,-3.2,2.6
20230617,6.4,-4.1,-5.3,1.2
20230618,11.3,-3.6,-3.6,3.9
20230619,11.8,2.2,0.5,7
20230620,12.4,3.3,1.1,7.9
20230621,15.7,2,-0.7,8.9
20230622,17,1.5,-0.4,9.3
20230623,10.9,2.4,0.4,6.7
20230624,14.6,3.4,2.3,9
20230625,13.5,5.9,4.8,9.7
20230626,14.4,6.3,5.4,10.4
20230627,10.8,5.4,3.9,8.1
20230628,13.3,6.1,5.8,9.7
20230629,13.6,6.4,5.6,10
20230630,13.1,4.2,2.8,8.7
20230701,8.2,0.2,-1,4.2
20230702,7,0.7,0.4,3.9
20230703,4.8,1.2,-0.4,3
20230704,8.8,2.9,0.2,5.9
20230705,9.7,5.4,5,7.6
20230706,11.1,4.9,4.4,8
20230707,11.7,-1.2,-3.5,5.3
20230708,7.4,-0.3,0.1,3.6
20230709,12.3,6.3,4.5,9.3
20230710,10.7,6.4,6.2,8.6
20230711,11.5,5.9,2.9,8.7
20230712,11.4,5.1,2.3,8.3
20230713,11.1,4.6,3,7.9
20230714,8.7,4.8,5.4,-
20230715,12.3,8,8.4,10.2
20230716,14.3,4.4,2.5,9.4
20230717,10.1,2.7,-0.8,6.4
20230718,11,4.9,5.4,8
20230719,14.2,7,5.2,10.6
20230720,12.6,5.3,2.2,9
20230721,15.2,0.5,-3.8,7.9
20230722,13.2,-3.3,-7.1,5
20230723,11.8,-0.5,-3.8,5.7
20230724,7.1,0.8,0.3,4
20230725,15.1,-1,-3.5,7.1
20230726,11.3,-0.4,-3.2,5.5
20230727,12.3,0.8,-2,6.6
20230728,11.2,-1.8,-3.7,4.7
20230729,12.1,-1.5,-4.2,5.3
20230730,12.3,-0.5,-3.4,5.9
20230731,12.5,-0.4,-2.2,6.1
20230801,11.7,2.9,2.4,7.3
20230802,14.4,3.1,0.4,8.8
20230803,8.8,-3.4,-4.7,2.7
20230804,10.1,-2.5,-5,3.8
20230805,11,0.7,0,5.9
20230806,11,5.2,5.1,8.1
20230807,13.7,6.6,4.9,10.2
20230808,13.7,-1.1,-3.3,6.3
20230809,8.9,0.6,-1.8,4.8
20230810,11.5,1.4,1.1,6.5
20230811,10.2,-3.7,-5.5,3.3
20230812,11.4,-2.8,-3.7,4.3
20230814,14.3,5.6,3,10
20230815,12.3,2.1,-1.2,7.2
20230816,10.1,3.9,3.4,7
20230817,12.4,-1.1,-2.1,5.7
20230818,13,-0.4,-1.5,6.3
20230819,13.1,0.9,-1.6,7
20230821,13,6.1,4.6,9.6
20230822,15.7,-2,-4.5,6.9
20230824,13.7,4.6,0.2,9.2
20230825,13.7,2.3,-0.8,8
20230826,15.7,4.4,1.7,10.1
20230827,14.7,6,2.7,10.4
