Timestamp,UTC Offset,Multiple Gauge Rainfall Recency Alarm (on/off),Quality,Rainfall (mm),Quality,Rainfall (Accumulated) (mm),Quality
2023-02-22 01:00:00,13,0,Automated Process or Synthetic,1,No quality or non-verified,1321.5,Automated Process or Synthetic
2023-02-23 01:00:00,13,0,Automated Process or Synthetic,4.5,No quality or non-verified,1326,Automated Process or Synthetic
2023-02-24 01:00:00,13,0,Automated Process or Synthetic,51.5,No quality or non-verified,1377.5,Automated Process or Synthetic
2023-02-25 01:00:00,13,0,Automated Process or Synthetic,3.5,No quality or non-verified,1381,Automated Process or Synthetic
2023-02-26 01:00:00,13,0,Automated Process or Synthetic,8.5,No quality or non-verified,1389.5,Automated Process or Synthetic
2023-02-27 01:00:00,13,0,Automated Process or Synthetic,5,No quality or non-verified,1394.5,Automated Process or Synthetic
2023-02-28 01:00:00,13,0,Automated Process or Synthetic,1,No quality or non-verified,1395.5,Automated Process or Synthetic
2023-03-01 01:00:00,13,0,Automated Process or Synthetic,,No data available,1395.5,Automated Process or Synthetic
2023-03-02 01:00:00,13,0,Automated Process or Synthetic,,No data available,1395.5,Automated Process or Synthetic
2023-03-03 01:00:00,13,0,Automated Process or Synthetic,,No data available,1395.5,Automated Process or Synthetic
2023-03-04 01:00:00,13,0,Automated Process or Synthetic,,No data available,1395.5,Automated Process or Synthetic
2023-03-05 01:00:00,13,0,Automated Process or Synthetic,,No data available,1395.5,Automated Process or Synthetic
2023-03-06 01:00:00,13,0,Automated Process or Synthetic,,No data available,1395.5,Automated Process or Synthetic
2023-03-07 01:00:00,13,0,Automated Process or Synthetic,,No data available,1395.5,Automated Process or Synthetic
2023-03-08 01:00:00,13,0,Automated Process or Synthetic,,No data available,1395.5,Automated Process or Synthetic
2023-03-09 01:00:00,13,0,Automated Process or Synthetic,,No data available,1395.5,Automated Process or Synthetic
2023-03-10 01:00:00,13,0,Automated Process or Synthetic,1.5,No quality or non-verified,1397,Automated Process or Synthetic
2023-03-11 01:00:00,13,0,Automated Process or Synthetic,,No data available,1397,Automated Process or Synthetic
2023-03-12 01:00:00,13,0,Automated Process or Synthetic,,No data available,1397,Automated Process or Synthetic
2023-03-13 01:00:00,13,0,Automated Process or Synthetic,2,No quality or non-verified,1399,Automated Process or Synthetic
