,Date(NZST),Amount(mm),Deficit(mm),Runoff(mm),Period(Hrs),Freq
165,20090615:0900,3.0,0.0,2.8,24,0.0
166,20090616:0900,11.8,0.0,11.6,24,0.0
167,20090617:0900,1.0,0.0,0.8,24,0.0
168,20090618:0900,0.0,0.2,0.0,24,0.0
169,20090619:0900,0.0,0.4,0.0,24,0.0
170,20090620:0900,0.0,0.6,0.0,24,0.0
171,20090621:0900,0.0,0.8,0.0,24,0.0
172,20090622:0900,0.2,0.8,0.0,24,0.0
173,20090623:0900,0.0,1.0,0.0,24,0.0
174,20090624:0900,0.0,1.2,0.0,24,0.0
175,20090625:0900,0.0,1.5,0.0,24,0.0
176,20090626:0900,5.2,0.0,3.5,24,0.0
177,20090627:0900,2.6,0.0,2.4,24,0.0
178,20090628:0900,0.0,0.2,0.0,24,0.0
179,20090629:0900,0.0,0.4,0.0,24,0.0
180,20090630:0900,0.0,0.6,0.0,24,0.0
181,20090701:0900,0.0,0.8,0.0,24,0.0
182,20090702:0900,0.0,1.1,0.0,24,0.0
183,20090703:0900,21.0,0.0,19.6,24,0.0
184,20090704:0900,1.6,0.0,1.3,24,0.0
185,20090705:0900,0.4,0.0,0.1,24,0.0
186,20090706:0900,1.4,0.0,1.1,24,0.0
187,20090707:0900,11.6,0.0,11.3,24,0.0
188,20090708:0900,0.6,0.0,0.3,24,0.0
189,20090709:0900,0.0,0.3,0.0,24,0.0
190,20090710:0900,0.0,0.6,0.0,24,0.0
191,20090711:0900,0.0,0.9,0.0,24,0.0
192,20090712:0900,0.0,1.1,0.0,24,0.0
193,20090713:0900,0.0,1.4,0.0,24,0.0
194,20090714:0900,0.0,1.7,0.0,24,0.0
195,20090715:0900,12.5,0.0,10.5,24,0.0
196,20090716:0900,0.8,0.0,0.5,24,0.0
197,20090717:0900,7.0,0.0,6.7,24,0.0
198,20090718:0900,7.4,0.0,7.1,24,0.0
199,20090719:0900,11.0,0.0,10.7,24,0.0
200,20090720:0900,8.8,0.0,8.5,24,0.0
201,20090721:0900,0.8,0.0,0.5,24,0.0
202,20090722:0900,36.8,0.0,36.5,24,0.0
203,20090723:0900,16.6,0.0,16.3,24,0.0
204,20090724:0900,26.6,0.0,26.3,24,0.0
