,Date(NZST),Amount(mm),Deficit(mm),Runoff(mm),Period(Hrs),Freq
2777,20160809:0900,0.0,4.1,0.0,24,0.0
2778,20160810:0900,0.0,4.9,0.0,24,0.0
2779,20160811:0900,0.0,5.8,0.0,24,0.0
2780,20160812:0900,0.0,6.6,0.0,24,0.0
2781,20160813:0900,13.0,0.0,5.6,24,0.0
2782,20160814:0900,0.0,0.8,0.0,24,0.0
2783,20160815:0900,2.8,0.0,1.2,24,0.0
2784,20160816:0900,0.0,0.8,0.0,24,0.0
2785,20160817:0900,0.0,1.6,0.0,24,0.0
2786,20160818:0900,0.0,2.5,0.0,24,0.0
2787,20160819:0900,0.0,3.3,0.0,24,0.0
2788,20160820:0900,0.0,4.1,0.0,24,0.0
2789,20160821:0900,0.4,4.5,0.0,24,0.0
2790,20160822:0900,22.6,0.0,17.2,24,0.0
2791,20160823:0900,0.0,0.8,0.0,24,0.0
2792,20160824:0900,0.0,1.6,0.0,24,0.0
2793,20160825:0900,1.8,0.7,0.0,24,0.0
2794,20160826:0900,0.0,1.5,0.0,24,0.0
2795,20160827:0900,14.0,0.0,11.7,24,0.0
2796,20160828:0900,14.2,0.0,13.4,24,0.0
2797,20160829:0900,1.2,0.0,0.4,24,0.0
2798,20160830:0900,0.2,0.6,0.0,24,0.0
2799,20160831:0900,0.0,1.4,0.0,24,0.0
2800,20160901:0900,0.0,2.3,0.0,24,0.0
2801,20160902:0900,2.4,1.7,0.0,24,0.0
2802,20160903:0900,3.0,0.5,0.0,24,0.0
2803,20160904:0900,0.8,1.5,0.0,24,0.0
2804,20160905:0900,29.0,0.0,25.7,24,0.0
2805,20160906:0900,0.0,1.8,0.0,24,0.0
2806,20160907:0900,1.4,2.2,0.0,24,0.0
2807,20160908:0900,10.8,0.0,6.8,24,0.0
2808,20160909:0900,3.4,0.0,1.6,24,0.0
2809,20160910:0900,0.0,1.8,0.0,24,0.0
2810,20160911:0900,0.0,3.6,0.0,24,0.0
2811,20160912:0900,0.0,5.4,0.0,24,0.0
2812,20160913:0900,0.2,7.0,0.0,24,0.0
2813,20160914:0900,0.0,8.9,0.0,24,0.0
2814,20160915:0900,0.0,10.7,0.0,24,0.0
2815,20160916:0900,20.2,0.0,7.7,24,0.0
2816,20160917:0900,16.6,0.0,14.8,24,0.0
2817,20160918:0900,0.0,1.8,0.0,24,0.0
2818,20160919:0900,0.0,3.6,0.0,24,0.0
2819,20160920:0900,2.2,3.2,0.0,24,0.0
2820,20160921:0900,0.0,5.0,0.0,24,0.0
2821,20160922:0900,0.0,6.9,0.0,24,0.0
2822,20160923:0900,0.0,8.7,0.0,24,0.0
2823,20160924:0900,0.0,10.5,0.0,24,0.0
2824,20160925:0800,7.2,5.1,0.0,24,0.0
2825,20160926:0800,11.4,0.0,4.5,24,0.0
2826,20160927:0800,2.6,0.0,0.8,24,0.0
2827,20160928:0800,7.8,0.0,6.0,24,0.0
2828,20160929:0800,0.2,1.6,0.0,24,0.0
2829,20160930:0800,3.6,0.0,0.2,24,0.0
2830,20161001:0800,0.6,1.2,0.0,24,0.0
2831,20161002:0800,1.8,2.0,0.0,24,0.0
2832,20161003:0800,1.0,3.5,0.0,24,0.0
2833,20161004:0800,7.4,0.0,1.3,24,0.0
2834,20161005:0800,7.4,0.0,4.8,24,0.0
2835,20161006:0800,9.4,0.0,6.8,24,0.0
2836,20161007:0800,9.0,0.0,6.4,24,0.0
2837,20161008:0800,0.8,1.8,0.0,24,0.0
2838,20161009:0800,4.6,0.0,0.3,24,0.0
2839,20161010:0800,1.8,0.8,0.0,24,0.0
2840,20161011:0800,0.0,3.3,0.0,24,0.0
2841,20161012:0800,13.0,0.0,7.1,24,0.0
2842,20161013:0800,9.2,0.0,6.6,24,0.0
2843,20161014:0800,29.8,0.0,27.2,24,0.0
2844,20161015:0800,7.0,0.0,4.4,24,0.0
2845,20161016:0800,0.0,2.6,0.0,24,0.0
2846,20161017:0800,0.0,5.1,0.0,24,0.0
2847,20161018:0800,0.0,7.7,0.0,24,0.0
2848,20161019:0800,2.8,7.4,0.0,24,0.0
2849,20161020:0800,0.0,10.0,0.0,24,0.0
2850,20161021:0800,4.4,8.1,0.0,24,0.0
2851,20161022:0800,0.0,10.7,0.0,24,0.0
2852,20161023:0800,0.0,13.2,0.0,24,0.0
2853,20161024:0800,0.0,15.8,0.0,24,0.0
2854,20161025:0800,12.0,6.3,0.0,24,0.0
2855,20161026:0800,7.8,1.1,0.0,24,0.0
2856,20161027:0800,1.0,2.6,0.0,24,0.0
2857,20161028:0800,0.0,5.2,0.0,24,0.0
2858,20161029:0800,7.6,0.1,0.0,24,0.0
2859,20161030:0800,10.6,0.0,7.9,24,0.0
2860,20161031:0800,0.6,2.0,0.0,24,0.0
2861,20161101:0800,0.0,4.5,0.0,24,0.0
2862,20161102:0800,1.4,5.9,0.0,24,0.0
2863,20161103:0800,2.6,6.1,0.0,24,0.0
2864,20161104:0800,3.8,5.0,0.0,24,0.0
2865,20161105:0800,0.2,7.6,0.0,24,0.0
2866,20161106:0800,0.6,9.8,0.0,24,0.0
2867,20161107:0800,7.4,5.2,0.0,24,0.0
2868,20161108:0800,0.0,8.0,0.0,24,0.0
2869,20161109:0800,0.0,10.7,0.0,24,0.0
2870,20161110:0800,5.6,7.9,0.0,24,0.0
2871,20161111:0800,13.4,0.0,2.7,24,0.0
2872,20161112:0800,37.4,0.0,34.6,24,0.0
2873,20161113:0800,0.0,2.8,0.0,24,0.0
2874,20161114:0800,0.8,4.8,0.0,24,0.0
2875,20161115:0800,17.2,0.0,9.7,24,0.0
2876,20161116:0800,6.2,0.0,3.4,24,0.0
2877,20161117:0800,7.0,0.0,4.2,24,0.0
2878,20161118:0800,0.2,2.6,0.0,24,0.0
2879,20161119:0800,0.0,5.4,0.0,24,0.0
2880,20161120:0800,5.2,2.9,0.0,24,0.0
2881,20161121:0800,0.2,5.5,0.0,24,0.0
2882,20161122:0800,0.0,8.3,0.0,24,0.0
2883,20161123:0800,0.0,11.1,0.0,24,0.0
2884,20161124:0800,0.0,13.9,0.0,24,0.0
2885,20161125:0800,1.0,15.6,0.0,24,0.0
2886,20161126:0800,17.2,1.2,0.0,24,0.0
2887,20161127:0800,19.8,0.0,15.8,24,0.0
2888,20161128:0800,22.6,0.0,19.8,24,0.0
2889,20161129:0800,3.8,0.0,1.0,24,0.0
2890,20161130:0800,20.0,0.0,17.2,24,0.0
2891,20161201:0800,0.0,2.8,0.0,24,0.0
2892,20161202:0800,0.0,6.7,0.0,24,0.0
2893,20161203:0800,0.0,10.6,0.0,24,0.0
2894,20161204:0800,0.0,14.5,0.0,24,0.0
2895,20161205:0800,0.0,18.4,0.0,24,0.0
2896,20161206:0800,0.0,22.3,0.0,24,0.0
2897,20161207:0800,0.4,25.9,0.0,24,0.0
2898,20161208:0800,14.0,15.8,0.0,24,0.0
2899,20161209:0800,0.0,19.7,0.0,24,0.0
2900,20161210:0800,0.4,23.2,0.0,24,0.0
2901,20161211:0800,18.0,9.1,0.0,24,0.0
2902,20161212:0800,6.0,7.0,0.0,24,0.0
2903,20161213:0800,2.2,8.7,0.0,24,0.0
2904,20161214:0800,0.2,12.4,0.0,24,0.0
2905,20161215:0800,26.4,0.0,10.0,24,0.0
2906,20161216:0800,10.0,0.0,6.1,24,0.0
2907,20161217:0800,0.0,3.9,0.0,24,0.0
2908,20161218:0800,0.0,7.8,0.0,24,0.0
2909,20161219:0800,5.2,6.5,0.0,24,0.0
2910,20161220:0800,0.4,10.1,0.0,24,0.0
2911,20161221:0800,0.0,14.0,0.0,24,0.0
2912,20161222:0800,13.2,4.7,0.0,24,0.0
2913,20161223:0800,13.6,0.0,5.0,24,0.0
2914,20161224:0800,0.0,3.9,0.0,24,0.0
2915,20161225:0800,0.0,7.8,0.0,24,0.0
2916,20161226:0800,0.0,11.7,0.0,24,0.0
2917,20161227:0800,0.0,15.7,0.0,24,0.0
2918,20161228:0800,0.6,19.0,0.0,24,0.0
2919,20161229:0800,0.0,22.9,0.0,24,0.0
2920,20161230:0800,0.0,26.8,0.0,24,0.0
2921,20161231:0800,0.0,30.7,0.0,24,0.0
2922,20170101:0800,13.0,21.6,0.0,24,0.0
2923,20170102:0800,0.0,24.7,0.0,24,0.0
2924,20170103:0800,5.2,22.6,0.0,24,0.0
2925,20170104:0800,7.6,18.0,0.0,24,0.0
2926,20170105:0800,2.6,18.5,0.0,24,0.0
2927,20170106:0800,0.0,21.6,0.0,24,0.0
2928,20170107:0800,1.0,23.6,0.0,24,0.0
2929,20170108:0800,1.0,25.7,0.0,24,0.0
2930,20170109:0800,0.0,28.8,0.0,24,0.0
2931,20170110:0800,4.4,27.4,0.0,24,0.0
2932,20170111:0800,2.0,28.5,0.0,24,0.0
2933,20170112:0800,11.6,20.0,0.0,24,0.0
2934,20170113:0800,6.2,16.8,0.0,24,0.0
2935,20170114:0800,0.0,19.9,0.0,24,0.0
2936,20170115:0800,7.4,15.6,0.0,24,0.0
2937,20170116:0800,0.0,18.6,0.0,24,0.0
2938,20170117:0800,0.2,21.5,0.0,24,0.0
2939,20170118:0800,18.0,6.6,0.0,24,0.0
2940,20170119:0800,84.4,0.0,74.8,24,0.0
2941,20170120:0800,5.4,0.0,2.3,24,0.0
2942,20170121:0800,0.0,3.1,0.0,24,0.0
2943,20170122:0800,32.6,0.0,26.5,24,0.0
2944,20170123:0800,18.6,0.0,15.5,24,0.0
2945,20170124:0800,0.0,3.1,0.0,24,0.0
2946,20170125:0800,6.0,0.1,0.0,24,0.0
2947,20170126:0800,2.2,1.0,0.0,24,0.0
2948,20170127:0800,9.2,0.0,5.1,24,0.0
2949,20170128:0800,1.0,2.1,0.0,24,0.0
2950,20170129:0800,0.0,5.1,0.0,24,0.0
2951,20170130:0800,0.0,8.2,0.0,24,0.0
2952,20170131:0800,0.0,11.3,0.0,24,0.0
2953,20170201:0800,1.6,12.7,0.0,24,0.0
2954,20170202:0800,19.8,0.0,3.5,24,0.0
2955,20170203:0800,3.6,0.0,0.0,24,0.0
2956,20170204:0800,0.0,3.6,0.0,24,0.0
2957,20170205:0800,0.0,7.2,0.0,24,0.0
2958,20170206:0800,0.0,10.8,0.0,24,0.0
2959,20170207:0800,7.6,6.8,0.0,24,0.0
2960,20170208:0800,0.0,10.4,0.0,24,0.0
2961,20170209:0800,0.0,14.0,0.0,24,0.0
2962,20170210:0800,0.6,17.0,0.0,24,0.0
2963,20170211:0800,0.0,20.6,0.0,24,0.0
2964,20170212:0800,0.0,24.2,0.0,24,0.0
2965,20170213:0800,12.4,15.4,0.0,24,0.0
2966,20170214:0800,3.6,15.4,0.0,24,0.0
2967,20170215:0800,5.4,13.6,0.0,24,0.0
2968,20170216:0800,0.0,17.2,0.0,24,0.0
2969,20170217:0800,0.0,20.8,0.0,24,0.0
2970,20170218:0800,0.0,24.4,0.0,24,0.0
2971,20170219:0800,2.8,25.2,0.0,24,0.0
2972,20170220:0800,8.8,20.0,0.0,24,0.0
2973,20170221:0800,0.0,23.6,0.0,24,0.0
2974,20170222:0800,0.0,27.2,0.0,24,0.0
2975,20170223:0800,0.0,30.8,0.0,24,0.0
2976,20170224:0800,0.0,34.4,0.0,24,0.0
2977,20170225:0800,0.0,38.0,0.0,24,0.0
2978,20170226:0800,0.0,41.6,0.0,24,0.0
2979,20170227:0800,0.0,45.2,0.0,24,0.0
2980,20170228:0800,0.0,48.8,0.0,24,0.0
2981,20170301:0800,0.0,52.4,0.0,24,0.0
2982,20170302:0800,0.0,54.9,0.0,24,0.0
2983,20170303:0800,0.0,57.4,0.0,24,0.0
2984,20170304:0800,1.6,58.3,0.0,24,0.0
2985,20170305:0800,0.0,60.8,0.0,24,0.0
2986,20170306:0800,0.0,63.3,0.0,24,0.0
2987,20170307:0800,0.0,65.8,0.0,24,0.0
2988,20170308:0800,6.6,61.7,0.0,24,0.0
2989,20170309:0800,0.0,64.1,0.0,24,0.0
2990,20170310:0800,0.0,66.6,0.0,24,0.0
2991,20170311:0800,2.8,66.3,0.0,24,0.0
2992,20170312:0800,13.0,55.8,0.0,24,0.0
2993,20170313:0800,11.0,47.3,0.0,24,0.0
2994,20170314:0800,6.8,43.0,0.0,24,0.0
2995,20170315:0800,0.0,45.5,0.0,24,0.0
2996,20170316:0800,0.0,48.0,0.0,24,0.0
2997,20170317:0800,0.0,50.5,0.0,24,0.0
2998,20170318:0800,0.0,53.0,0.0,24,0.0
2999,20170319:0800,0.2,55.3,0.0,24,0.0
3000,20170320:0800,0.0,57.8,0.0,24,0.0
3001,20170321:0800,0.0,60.3,0.0,24,0.0
3002,20170322:0800,0.6,62.2,0.0,24,0.0
3003,20170323:0800,0.0,64.7,0.0,24,0.0
3004,20170324:0800,0.0,67.2,0.0,24,0.0
3005,20170325:0800,5.2,64.4,0.0,24,0.0
3006,20170326:0800,8.2,58.7,0.0,24,0.0
3007,20170327:0800,6.2,55.0,0.0,24,0.0
3008,20170328:0800,3.6,53.9,0.0,24,0.0
3009,20170329:0800,0.0,56.4,0.0,24,0.0
3010,20170330:0800,0.0,58.9,0.0,24,0.0
3011,20170331:0800,0.0,61.4,0.0,24,0.0
3012,20170401:0800,0.0,63.9,0.0,24,0.0
3013,20170402:0900,0.0,65.2,0.0,24,0.0
3014,20170403:0900,7.6,58.9,0.0,24,0.0
3015,20170404:0900,0.2,60.0,0.0,24,0.0
3016,20170405:0900,0.0,61.2,0.0,24,0.0
3017,20170406:0900,11.6,50.9,0.0,24,0.0
3018,20170407:0900,0.4,51.8,0.0,24,0.0
3019,20170408:0900,0.0,53.1,0.0,24,0.0
3020,20170409:0900,0.0,54.4,0.0,24,0.0
3021,20170410:0900,0.0,55.7,0.0,24,0.0
3022,20170411:0900,0.4,56.6,0.0,24,0.0
3023,20170412:0900,59.6,0.0,1.7,24,0.0
3024,20170413:0900,32.0,0.0,30.7,24,0.0
3025,20170414:0900,12.0,0.0,10.7,24,0.0
3026,20170415:0900,25.4,0.0,24.1,24,0.0
3027,20170416:0900,9.2,0.0,7.9,24,0.0
3028,20170417:0900,0.0,1.3,0.0,24,0.0
3029,20170418:0900,0.0,2.6,0.0,24,0.0
3030,20170419:0900,2.6,1.3,0.0,24,0.0
3031,20170420:0900,2.8,0.0,0.3,24,0.0
3032,20170421:0900,0.0,1.3,0.0,24,0.0
3033,20170422:0900,0.0,2.6,0.0,24,0.0
3034,20170423:0900,0.0,3.9,0.0,24,0.0
3035,20170424:0900,0.6,4.5,0.0,24,0.0
3036,20170425:0900,0.0,5.8,0.0,24,0.0
3037,20170426:0900,0.0,7.1,0.0,24,0.0
3038,20170427:0900,0.0,8.4,0.0,24,0.0
3039,20170428:0900,9.4,0.3,0.0,24,0.0
3040,20170429:0900,3.2,0.0,1.6,24,0.0
3041,20170430:0900,0.4,0.9,0.0,24,0.0
3042,20170501:0900,5.8,0.0,3.6,24,0.0
3043,20170502:0900,0.0,0.5,0.0,24,0.0
3044,20170503:0900,0.0,0.9,0.0,24,0.0
3045,20170504:0900,37.0,0.0,35.6,24,0.0
3046,20170505:0900,3.2,0.0,2.7,24,0.0
3047,20170506:0900,0.0,0.5,0.0,24,0.0
3048,20170507:0900,0.0,0.9,0.0,24,0.0
3049,20170508:0900,0.0,1.4,0.0,24,0.0
3050,20170509:0900,0.4,1.5,0.0,24,0.0
3051,20170510:0900,4.6,0.0,2.6,24,0.0
3052,20170511:0900,7.4,0.0,6.9,24,0.0
3053,20170512:0900,24.8,0.0,24.3,24,0.0
3054,20170513:0900,0.2,0.3,0.0,24,0.0
3055,20170514:0900,0.0,0.7,0.0,24,0.0
3056,20170515:0900,0.0,1.2,0.0,24,0.0
3057,20170516:0900,0.0,1.7,0.0,24,0.0
3058,20170517:0900,10.6,0.0,8.4,24,0.0
3059,20170518:0900,43.4,0.0,42.9,24,0.0
3060,20170519:0900,8.4,0.0,7.9,24,0.0
3061,20170520:0900,20.6,0.0,20.1,24,0.0
3062,20170521:0900,0.2,0.3,0.0,24,0.0
3063,20170522:0900,0.0,0.7,0.0,24,0.0
3064,20170523:0900,0.2,1.0,0.0,24,0.0
3065,20170524:0900,8.2,0.0,6.7,24,0.0
3066,20170525:0900,0.0,0.5,0.0,24,0.0
3067,20170526:0900,0.0,0.9,0.0,24,0.0
3068,20170527:0900,41.0,0.0,39.6,24,0.0
3069,20170528:0900,0.2,0.3,0.0,24,0.0
3070,20170529:0900,0.0,0.7,0.0,24,0.0
3071,20170530:0900,0.4,0.8,0.0,24,0.0
3072,20170531:0900,0.0,1.3,0.0,24,0.0
3073,20170601:0900,0.0,1.8,0.0,24,0.0
3074,20170602:0900,0.0,2.0,0.0,24,0.0
3075,20170603:0900,0.0,2.3,0.0,24,0.0
3076,20170604:0900,0.0,2.6,0.0,24,0.0
3077,20170605:0900,1.8,1.0,0.0,24,0.0
3078,20170606:0900,0.0,1.3,0.0,24,0.0
3079,20170607:0900,0.0,1.6,0.0,24,0.0
3080,20170608:0900,0.0,1.8,0.0,24,0.0
3081,20170609:0900,0.0,2.1,0.0,24,0.0
3082,20170610:0900,0.6,1.8,0.0,24,0.0
3083,20170611:0900,0.2,1.8,0.0,24,0.0
3084,20170612:0900,0.0,2.1,0.0,24,0.0
3085,20170613:0900,17.0,0.0,14.6,24,0.0
3086,20170614:0900,18.0,0.0,17.7,24,0.0
3087,20170615:0900,0.0,0.3,0.0,24,0.0
3088,20170616:0900,0.4,0.1,0.0,24,0.0
3089,20170617:0900,0.0,0.4,0.0,24,0.0
3090,20170618:0900,0.0,0.7,0.0,24,0.0
3091,20170619:0900,0.0,0.9,0.0,24,0.0
3092,20170620:0900,0.2,1.0,0.0,24,0.0
3093,20170621:0900,0.0,1.3,0.0,24,0.0
3094,20170622:0900,0.0,1.5,0.0,24,0.0
3095,20170623:0900,0.0,1.8,0.0,24,0.0
3096,20170624:0900,0.6,1.5,0.0,24,0.0
3097,20170625:0900,4.2,0.0,2.5,24,0.0
3098,20170626:0900,0.4,0.0,0.1,24,0.0
3099,20170627:0900,0.0,0.3,0.0,24,0.0
3100,20170628:0900,0.0,0.5,0.0,24,0.0
3101,20170629:0900,0.2,0.6,0.0,24,0.0
3102,20170630:0900,0.0,0.9,0.0,24,0.0
3103,20170701:0900,46.6,0.0,45.5,24,0.0
3104,20170702:0900,21.8,0.0,21.4,24,0.0
3105,20170703:0900,0.2,0.2,0.0,24,0.0
3106,20170704:0900,4.8,0.0,4.3,24,0.0
3107,20170705:0900,2.0,0.0,1.6,24,0.0
3108,20170706:0900,0.0,0.4,0.0,24,0.0
3109,20170707:0900,0.0,0.7,0.0,24,0.0
3110,20170708:0900,0.0,1.1,0.0,24,0.0
3111,20170709:0900,0.2,1.2,0.0,24,0.0
3112,20170710:0900,0.4,1.2,0.0,24,0.0
3113,20170711:0900,0.8,0.7,0.0,24,0.0
3114,20170712:0900,4.2,0.0,3.1,24,0.0
3115,20170713:0900,0.0,0.4,0.0,24,0.0
3116,20170714:0900,0.0,0.7,0.0,24,0.0
3117,20170715:0900,0.0,1.1,0.0,24,0.0
3118,20170716:0900,0.0,1.4,0.0,24,0.0
3119,20170717:0900,27.0,0.0,25.2,24,0.0
3120,20170718:0900,0.2,0.2,0.0,24,0.0
3121,20170719:0900,0.0,0.5,0.0,24,0.0
3122,20170720:0900,0.0,0.9,0.0,24,0.0
3123,20170721:0900,10.0,0.0,8.8,24,0.0
3124,20170722:0900,13.8,0.0,13.4,24,0.0
3125,20170723:0900,0.0,0.4,0.0,24,0.0
3126,20170724:0900,0.0,0.7,0.0,24,0.0
3127,20170725:0900,10.2,0.0,9.1,24,0.0
3128,20170726:0900,0.0,0.4,0.0,24,0.0
3129,20170727:0900,10.8,0.0,10.1,24,0.0
3130,20170728:0900,8.6,0.0,8.2,24,0.0
3131,20170729:0900,0.0,0.4,0.0,24,0.0
3132,20170730:0900,0.0,0.7,0.0,24,0.0
3133,20170731:0900,0.0,1.1,0.0,24,0.0
3134,20170801:0900,15.4,0.0,14.0,24,0.0
3135,20170802:0900,0.0,0.8,0.0,24,0.0
3136,20170803:0900,0.0,1.7,0.0,24,0.0
3137,20170804:0900,0.0,2.5,0.0,24,0.0
3138,20170805:0900,0.0,3.3,0.0,24,0.0
3139,20170806:0900,13.4,0.0,9.3,24,0.0
3140,20170807:0900,15.0,0.0,14.2,24,0.0
3141,20170808:0900,0.0,0.8,0.0,24,0.0
3142,20170809:0900,32.8,0.0,31.1,24,0.0
3143,20170810:0900,26.4,0.0,25.6,24,0.0
3144,20170811:0900,2.4,0.0,1.6,24,0.0
3145,20170812:0900,15.2,0.0,14.4,24,0.0
3146,20170813:0900,10.6,0.0,9.8,24,0.0
3147,20170814:0900,13.6,0.0,12.8,24,0.0
3148,20170815:0900,1.6,0.0,0.8,24,0.0
3149,20170816:0900,3.2,0.0,2.4,24,0.0
3150,20170817:0900,43.2,0.0,42.4,24,0.0
3151,20170818:0900,15.4,0.0,14.6,24,0.0
3152,20170819:0900,4.0,0.0,3.2,24,0.0
3153,20170820:0900,0.0,0.8,0.0,24,0.0
3154,20170821:0900,0.0,1.7,0.0,24,0.0
3155,20170822:0900,0.0,2.5,0.0,24,0.0
3156,20170823:0900,0.0,3.3,0.0,24,0.0
3157,20170824:0900,0.0,4.1,0.0,24,0.0
3158,20170825:0900,0.0,5.0,0.0,24,0.0
3159,20170826:0900,0.0,5.8,0.0,24,0.0
3160,20170827:0900,2.4,4.2,0.0,24,0.0
3161,20170828:0900,7.2,0.0,2.1,24,0.0
3162,20170829:0900,17.8,0.0,17.0,24,0.0
3163,20170830:0900,0.0,0.8,0.0,24,0.0
3164,20170831:0900,0.2,1.5,0.0,24,0.0
3165,20170901:0900,0.0,2.3,0.0,24,0.0
3166,20170902:0900,0.0,3.7,0.0,24,0.0
3167,20170903:0900,0.0,5.1,0.0,24,0.0
3168,20170904:0900,0.0,6.5,0.0,24,0.0
3169,20170905:0900,0.0,7.9,0.0,24,0.0
3170,20170906:0900,17.2,0.0,7.9,24,0.0
3171,20170907:0900,28.4,0.0,27.0,24,0.0
3172,20170908:0900,23.6,0.0,22.2,24,0.0
3173,20170909:0900,18.8,0.0,17.4,24,0.0
3174,20170910:0900,15.0,0.0,13.6,24,0.0
3175,20170911:0900,6.0,0.0,4.6,24,0.0
3176,20170912:0900,0.8,0.6,0.0,24,0.0
3177,20170913:0900,1.4,0.6,0.0,24,0.0
3178,20170914:0900,1.2,0.8,0.0,24,0.0
3179,20170915:0900,1.2,1.0,0.0,24,0.0
3180,20170916:0900,25.6,0.0,23.2,24,0.0
3181,20170917:0900,12.6,0.0,11.2,24,0.0
3182,20170918:0900,46.0,0.0,44.6,24,0.0
3183,20170919:0900,7.2,0.0,5.8,24,0.0
3184,20170920:0900,0.0,1.4,0.0,24,0.0
3185,20170921:0900,8.8,0.0,6.0,24,0.0
3186,20170922:0900,0.0,1.4,0.0,24,0.0
3187,20170923:0900,0.0,2.8,0.0,24,0.0
3188,20170924:0800,0.0,4.2,0.0,24,0.0
3189,20170925:0800,5.8,0.0,0.2,24,0.0
3190,20170926:0800,33.2,0.0,31.8,24,0.0
3191,20170927:0800,17.8,0.0,16.4,24,0.0
3192,20170928:0800,10.6,0.0,9.2,24,0.0
3193,20170929:0800,1.2,0.2,0.0,24,0.0
3194,20170930:0800,1.4,0.2,0.0,24,0.0
3195,20171001:0800,0.0,1.6,0.0,24,0.0
3196,20171002:0800,2.2,1.7,0.0,24,0.0
3197,20171003:0800,4.2,0.0,0.1,24,0.0
3198,20171004:0800,0.0,2.4,0.0,24,0.0
3199,20171005:0800,2.0,2.7,0.0,24,0.0
3200,20171006:0800,0.4,4.7,0.0,24,0.0
3201,20171007:0800,11.8,0.0,4.7,24,0.0
3202,20171008:0800,13.4,0.0,11.0,24,0.0
3203,20171009:0800,0.0,2.4,0.0,24,0.0
3204,20171010:0800,3.2,1.5,0.0,24,0.0
3205,20171011:0800,10.0,0.0,6.1,24,0.0
3206,20171012:0800,2.4,0.0,0.0,24,0.0
3207,20171013:0800,0.2,2.2,0.0,24,0.0
3208,20171014:0800,0.4,4.1,0.0,24,0.0
3209,20171015:0800,14.2,0.0,7.7,24,0.0
3210,20171016:0800,2.8,0.0,0.4,24,0.0
3211,20171017:0800,3.4,0.0,1.0,24,0.0
3212,20171018:0800,0.0,2.4,0.0,24,0.0
3213,20171019:0800,0.0,4.7,0.0,24,0.0
3214,20171020:0800,0.0,7.1,0.0,24,0.0
3215,20171021:0800,0.0,9.5,0.0,24,0.0
3216,20171022:0800,1.4,10.4,0.0,24,0.0
3217,20171023:0800,2.4,10.4,0.0,24,0.0
3218,20171024:0800,11.8,1.0,0.0,24,0.0
3219,20171025:0800,0.0,3.3,0.0,24,0.0
3220,20171026:0800,17.8,0.0,12.1,24,0.0
3221,20171027:0800,0.0,2.4,0.0,24,0.0
3222,20171028:0800,0.0,4.7,0.0,24,0.0
3223,20171029:0800,0.0,7.1,0.0,24,0.0
3224,20171030:0800,0.2,9.3,0.0,24,0.0
3225,20171031:0800,0.0,11.6,0.0,24,0.0
3226,20171101:0800,0.0,14.0,0.0,24,0.0
3227,20171102:0800,0.0,17.9,0.0,24,0.0
3228,20171103:0800,20.6,1.3,0.0,24,0.0
3229,20171104:0800,5.2,0.0,0.0,24,0.0
3230,20171105:0800,3.4,0.6,0.0,24,0.0
3231,20171106:0800,15.0,0.0,10.5,24,0.0
3232,20171107:0800,0.0,3.9,0.0,24,0.0
3233,20171108:0800,45.0,0.0,37.1,24,0.0
3234,20171109:0800,1.4,2.5,0.0,24,0.0
3235,20171110:0800,1.0,5.5,0.0,24,0.0
3236,20171111:0800,0.0,9.4,0.0,24,0.0
3237,20171112:0800,0.0,13.3,0.0,24,0.0
3238,20171113:0800,0.8,16.5,0.0,24,0.0
3239,20171114:0800,0.0,20.4,0.0,24,0.0
3240,20171115:0800,0.0,24.4,0.0,24,0.0
3241,20171116:0800,0.0,28.3,0.0,24,0.0
3242,20171117:0800,3.2,29.0,0.0,24,0.0
3243,20171118:0800,0.0,33.0,0.0,24,0.0
3244,20171119:0800,0.0,36.9,0.0,24,0.0
3245,20171120:0800,0.0,40.8,0.0,24,0.0
3246,20171121:0800,0.0,44.8,0.0,24,0.0
3247,20171122:0800,0.0,48.7,0.0,24,0.0
3248,20171123:0800,0.0,52.7,0.0,24,0.0
3249,20171124:0800,0.0,56.6,0.0,24,0.0
3250,20171125:0800,0.0,60.5,0.0,24,0.0
3251,20171126:0800,0.0,64.5,0.0,24,0.0
3252,20171127:0800,0.0,68.4,0.0,24,0.0
3253,20171128:0800,0.0,72.3,0.0,24,0.0
3254,20171129:0800,0.0,76.3,0.0,24,0.0
3255,20171130:0800,0.0,80.1,0.0,24,0.0
3256,20171201:0800,0.8,83.0,0.0,24,0.0
3257,20171202:0800,0.0,87.5,0.0,24,0.0
3258,20171203:0800,0.0,91.7,0.0,24,0.0
3259,20171204:0800,0.0,95.6,0.0,24,0.0
3260,20171205:0800,0.0,99.2,0.0,24,0.0
3261,20171206:0800,0.0,102.7,0.0,24,0.0
3262,20171207:0800,0.0,105.8,0.0,24,0.0
3263,20171208:0800,0.0,108.8,0.0,24,0.0
3264,20171209:0800,0.0,111.6,0.0,24,0.0
3265,20171210:0800,2.8,111.3,0.0,24,0.0
3266,20171211:0800,0.0,113.9,0.0,24,0.0
3267,20171212:0800,0.0,116.3,0.0,24,0.0
3268,20171213:0800,0.2,118.4,0.0,24,0.0
3269,20171214:0800,12.2,108.3,0.0,24,0.0
3270,20171215:0800,0.0,111.1,0.0,24,0.0
3271,20171216:0800,0.0,113.7,0.0,24,0.0
3272,20171217:0800,0.0,116.2,0.0,24,0.0
3273,20171218:0800,0.0,118.4,0.0,24,0.0
3274,20171219:0800,0.0,120.5,0.0,24,0.0
