"site","base_temperature","period_start","period_end","p_value","slope","conf_low_90","conf_high_90","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon","region","unit","conf_low_66","conf_high_66"
"Dannevirke (Manawatū-Whanganui)","10","1972","2022",0.0015553456630945594,NA,NA,NA,2.956582369957723,"Mann-Kendall",51,NA,365,15157.333333333334,0.2863868403987111,"greater","Very likely increasing",-40.21,176.109,"Manawatū-Whanganui","Degree Celsius",NA,NA
"Dannevirke (Manawatū-Whanganui)","5","1972","2022",0.003502840551206651,NA,NA,NA,2.6965740894106998,"Mann-Kendall",51,NA,333,15158.333333333334,0.26117647058823534,"greater","Very likely increasing",-40.21,176.109,"Manawatū-Whanganui","Degree Celsius",NA,NA
"Dunedin (Otago)","10","1972","2022",0.17724064265486353,NA,NA,NA,0.9259320668458426,"Mann-Kendall",51,NA,115,15158.333333333334,0.09019607843137256,"greater","Likely increasing",-45.90129,170.5147,"Otago","Degree Celsius",NA,NA
"Dunedin (Otago)","5","1972","2022",0.059443236281674874,NA,NA,NA,1.5594645336351034,"Mann-Kendall",51,NA,193,15158.333333333334,0.15137254901960787,"greater","Very likely increasing",-45.90129,170.5147,"Otago","Degree Celsius",NA,NA
"Gisborne (Gisborne)","10","1972","2022",9.698095089293258e-7,NA,NA,NA,4.759615712032138,"Mann-Kendall",51,NA,587,15158.333333333334,0.4603921568627452,"greater","Very likely increasing",-38.6586,177.9851,"Gisborne","Degree Celsius",NA,NA
"Gisborne (Gisborne)","5","1972","2022",3.4616906015198505e-8,NA,NA,NA,5.3931481788213995,"Mann-Kendall",51,NA,665,15158.333333333334,0.5215686274509805,"greater","Very likely increasing",-38.6586,177.9851,"Gisborne","Degree Celsius",NA,NA
"Gore (Southland)","10","1972","2022",0.002474882026102366,NA,NA,NA,2.8102850449882593,"Mann-Kendall",51,NA,347,15158.333333333334,0.2721568627450981,"greater","Very likely increasing",-46.115,168.887,"Southland","Degree Celsius",NA,NA
"Gore (Southland)","5","1972","2022",4.836297264727061e-5,NA,NA,NA,3.8986613340877585,"Mann-Kendall",51,NA,481,15158.333333333334,0.3772549019607844,"greater","Very likely increasing",-46.115,168.887,"Southland","Degree Celsius",NA,NA
"Hamilton (Waikato)","10","1972","2022",6.490587720178079e-4,NA,NA,NA,3.2163956006224006,"Mann-Kendall",51,NA,397,15158.333333333334,0.3113725490196079,"greater","Very likely increasing",-37.86088,175.33175,"Waikato","Degree Celsius",NA,NA
"Hamilton (Waikato)","5","1972","2022",1.8718027095938894e-4,NA,NA,NA,3.5575284673550795,"Mann-Kendall",51,NA,439,15158.333333333334,0.3443137254901961,"greater","Very likely increasing",-37.86088,175.33175,"Waikato","Degree Celsius",NA,NA
"Hokitika (West Coast)","10","1972","2022",0.001820186989927935,NA,NA,NA,2.907751578340453,"Mann-Kendall",51,NA,359,15158.333333333334,0.28156862745098044,"greater","Very likely increasing",-42.71228,170.98428,"West Coast","Degree Celsius",NA,NA
"Hokitika (West Coast)","5","1972","2022",4.3406377521931164e-4,NA,NA,NA,3.33010655619996,"Mann-Kendall",51,NA,411,15158.333333333334,0.3223529411764706,"greater","Very likely increasing",-42.71228,170.98428,"West Coast","Degree Celsius",NA,NA
"Invercargill (Southland)","10","1972","2022",2.8678134551346447e-4,NA,NA,NA,3.44381751177752,"Mann-Kendall",51,NA,425,15158.333333333334,0.33333333333333337,"greater","Very likely increasing",-46.41741,168.33052,"Southland","Degree Celsius",NA,NA
"Invercargill (Southland)","5","1972","2022",1.6012158471534095e-5,NA,NA,NA,4.158572089693609,"Mann-Kendall",51,NA,513,15158.333333333334,0.40235294117647064,"greater","Very likely increasing",-46.41741,168.33052,"Southland","Degree Celsius",NA,NA
"Kerikeri (Northland)","10","1972","2022",1.2921691539513193e-5,NA,NA,NA,4.207305356369706,"Mann-Kendall",51,NA,519,15158.333333333334,0.40705882352941186,"greater","Very likely increasing",-35.183,173.926,"Northland","Degree Celsius",NA,NA
"Kerikeri (Northland)","5","1972","2022",8.357894198165247e-6,NA,NA,NA,4.3047718897219,"Mann-Kendall",51,NA,531,15158.333333333334,0.4164705882352942,"greater","Very likely increasing",-35.183,173.926,"Northland","Degree Celsius",NA,NA
"Lake Tekapo (Canterbury)","10","1972","2022",0.6087855590305573,NA,NA,NA,-0.27615517783121624,"Mann-Kendall",51,NA,-35,15158.333333333334,-0.02745098039215687,"greater","Indeterminate",-44.002,170.441,"Canterbury","Degree Celsius",NA,NA
"Lake Tekapo (Canterbury)","5","1972","2022",0.4611779550885861,NA,NA,NA,0.09746653335219396,"Mann-Kendall",51,NA,13,15158.333333333334,0.010196078431372551,"greater","Indeterminate",-44.002,170.441,"Canterbury","Degree Celsius",NA,NA
"Masterton (Wellington)","10","1972","2022",6.132600529885565e-4,NA,NA,NA,3.2326400228477663,"Mann-Kendall",51,NA,399,15158.333333333334,0.3129411764705883,"greater","Very likely increasing",-40.957,175.707,"Wellington","Degree Celsius",NA,NA
