"site","period_start","period_end","p_value","slope","conf_low_90","conf_high_90","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon","region","conf_low_66","conf_high_66"
"Nelson (Nelson)","1972","2022",0.9999602811361352,NA,NA,NA,-3.946090111491717,"Mann-Kendall",51,NA,-486,15106,-0.3874570763133872,"greater","Very likely decreasing",-41.299,173.226,"Nelson",NA,NA
"New Plymouth (Taranaki)","1972","2022",0.08290961832417179,NA,NA,NA,1.385763154538361,"Mann-Kendall",51,NA,163,13666.333333333334,0.14912920977694788,"greater","Very likely increasing",-39.0079,174.18382,"Taranaki",NA,NA
"Queenstown (Otago)","1972","2022",0.8251883080972732,NA,NA,NA,-0.9353200532685142,"Mann-Kendall",51,NA,-116,15117.333333333334,-0.09218114513649954,"greater","Likely decreasing",-45.01758,168.74005,"Otago",NA,NA
"Reefton (West Coast)","1972","2022",0.9999312287325072,NA,NA,NA,-3.812546153447349,"Mann-Kendall",51,NA,-470,15132.666666666666,-0.3719979967060873,"greater","Very likely decreasing",-42.11578,171.86014,"West Coast",NA,NA
"Rotorua (Bay of Plenty)","1972","2022",0.7373179373821814,NA,NA,NA,-0.6350985767622819,"Mann-Kendall",51,NA,-79,15083.666666666666,-0.06331610154463925,"greater","Likely decreasing",-38.10595,176.31485,"Bay of Plenty",NA,NA
"Tara Hills (Canterbury)","1972","2022",0.9993180742171506,NA,NA,NA,-3.2021939107220505,"Mann-Kendall",51,NA,-395,15139,-0.3120142034937958,"greater","Very likely decreasing",-44.52612,169.88948,"Canterbury",NA,NA
"Taumarunui (Manawatū-Whanganui)","1972","2022",0.9973691143894454,NA,NA,NA,-2.7905552915243006,"Mann-Kendall",51,NA,-344,15108,-0.2740274786902814,"greater","Very likely decreasing",-38.88784,175.25981,"Manawatū-Whanganui",NA,NA
"Taupō (Waikato)","1972","2022",0.8962071623799385,NA,NA,NA,-1.2602320194510168,"Mann-Kendall",51,NA,-156,15127.333333333334,-0.12357041336348897,"greater","Likely decreasing",-38.74263,176.08104,"Waikato",NA,NA
"Tauranga (Bay of Plenty)","1972","2022",0.9674265841390797,NA,NA,NA,-1.8442491960210272,"Mann-Kendall",51,NA,-199,11526.333333333334,-0.20445774997559713,"greater","Very likely decreasing",-37.673,176.196,"Bay of Plenty",NA,NA
"Timaru (Canterbury)","1972","2022",0.0797987432833297,NA,NA,NA,1.406426598592855,"Mann-Kendall",51,NA,174,15130.666666666666,0.13771840729118975,"greater","Very likely increasing",-44.30517,171.22141,"Canterbury",NA,NA
"Waiouru (Manawatū-Whanganui)","1972","2022",0.981244356488353,NA,NA,NA,-2.080155340316819,"Mann-Kendall",51,NA,-257,15145.666666666666,-0.2025239343545902,"greater","Very likely decreasing",-39.46249,175.66283,"Manawatū-Whanganui",NA,NA
"Whanganui (Manawatū-Whanganui)","1972","2022",0.680599002135578,NA,NA,NA,-0.46937446695596324,"Mann-Kendall",51,NA,-57,14234.333333333334,-0.050304290499114605,"greater","Likely decreasing",-39.93704,175.04509,"Manawatū-Whanganui",NA,NA
"Whangārei (Northland)","1972","2022",0.9905819667451752,NA,NA,NA,-2.3487595441297837,"Mann-Kendall",51,NA,-162,4698.666666666667,-0.2721056278436549,"greater","Very likely decreasing",-35.769,174.364,"Northland",NA,NA
