"site","year","frost_days","first_frost_day","last_frost_day","lat","lon"
"Queenstown (Otago)",1986,77,"1986-05-20","1986-09-22",-45.01758,168.74005
"Reefton (West Coast)",1986,45,"1986-05-28","1986-09-23",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1986,24,"1986-05-24","1986-08-27",-38.10595,176.31485
"Tara Hills (Canterbury)",1986,107,"1986-04-01","1986-11-30",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1986,56,"1986-03-31","1986-09-24",-38.88784,175.25981
"Taupō (Waikato)",1986,41,"1986-04-16","1986-09-10",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1986,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1986,66,"1986-05-05","1986-09-14",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1986,50,"1986-03-30","1986-09-24",-39.46249,175.66283
"Wellington (Wellington)",1986,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1986,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1986,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1986,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1985,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1985,23,"1985-05-16","1985-10-18",-41.52133,173.86439
"Christchurch (Canterbury)",1985,51,"1985-04-24","1985-10-12",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1985,7,"1985-04-07","1985-08-30",-40.21,176.109
"Dunedin (Otago)",1985,1,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)",1985,3,"1985-07-05","1985-08-17",-38.6586,177.9851
"Gore (Southland)",1985,38,"1985-03-21","1985-09-14",-46.115,168.887
"Hamilton (Waikato)",1985,7,"1985-05-17","1985-08-30",-37.86088,175.33175
"Hokitika (West Coast)",1985,7,"1985-07-08","1985-08-15",-42.71228,170.98428
"Invercargill (Southland)",1985,46,"1985-04-01","1985-10-12",-46.41741,168.33052
"Kerikeri (Northland)",1985,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1985,100,"1985-03-31","1985-11-06",-44.002,170.441
"Masterton (Wellington)",1985,3,"1985-07-03","1985-08-17",-40.957,175.707
"Milford Sound (Southland)",1985,36,"1985-05-24","1985-09-07",-44.67384,167.92406
"Napier (Hawke's Bay)",1985,8,"1985-06-28","1985-08-30",-39.49846,176.91189
"Nelson (Nelson)",1985,9,"1985-07-11","1985-09-07",-41.299,173.226
"New Plymouth (Taranaki)",1985,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1985,73,"1985-04-28","1985-10-16",-45.01758,168.74005
"Reefton (West Coast)",1985,43,"1985-04-29","1985-10-18",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1985,8,"1985-07-03","1985-08-31",-38.10595,176.31485
"Tara Hills (Canterbury)",1985,124,"1985-03-09","1985-11-13",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1985,45,"1985-04-30","1985-11-05",-38.88784,175.25981
"Taupō (Waikato)",1985,34,"1985-04-07","1985-11-14",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1985,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1985,39,"1985-05-12","1985-09-12",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1985,37.00892857142857,"1985-02-13","1985-11-07",-39.46249,175.66283
"Wellington (Wellington)",1985,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1985,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1985,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1985,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1984,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1984,30,"1984-05-03","1984-10-23",-41.52133,173.86439
"Christchurch (Canterbury)",1984,47,"1984-04-09","1984-10-22",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1984,18,"1984-05-17","1984-08-26",-40.21,176.109
"Dunedin (Otago)",1984,7,"1984-05-22","1984-08-24",-45.90129,170.5147
"Gisborne (Gisborne)",1984,6,"1984-06-03","1984-08-08",-38.6586,177.9851
"Gore (Southland)",1984,31,"1984-05-02","1984-08-25",-46.115,168.887
"Hamilton (Waikato)",1984,14,"1984-05-17","1984-10-04",-37.86088,175.33175
"Hokitika (West Coast)",1984,10,"1984-05-20","1984-10-02",-42.71228,170.98428
"Invercargill (Southland)",1984,25,"1984-05-11","1984-10-04",-46.41741,168.33052
"Kerikeri (Northland)",1984,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1984,83,"1984-04-09","1984-10-23",-44.002,170.441
"Masterton (Wellington)",1984,15,"1984-05-17","1984-08-25",-40.957,175.707
"Milford Sound (Southland)",1984,33,"1984-05-02","1984-09-27",-44.67384,167.92406
"Napier (Hawke's Bay)",1984,11,"1984-05-31","1984-07-28",-39.49846,176.91189
"Nelson (Nelson)",1984,9,"1984-05-21","1984-08-09",-41.299,173.226
"New Plymouth (Taranaki)",1984,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1984,54,"1984-05-03","1984-10-23",-45.01758,168.74005
"Reefton (West Coast)",1984,29,"1984-05-20","1984-10-23",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1984,15,"1984-05-21","1984-10-02",-38.10595,176.31485
"Tara Hills (Canterbury)",1984,114,"1984-01-17","1984-11-17",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1984,56,"1984-01-16","1984-10-24",-38.88784,175.25981
"Taupō (Waikato)",1984,43,"1984-04-10","1984-10-24",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1984,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1984,62,"1984-04-29","1984-10-23",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1984,45.974137931034484,"1984-02-20","1984-10-24",-39.46249,175.66283
"Wellington (Wellington)",1984,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1984,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1984,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1984,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1983,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1983,35,"1983-05-13","1983-09-04",-41.52133,173.86439
"Christchurch (Canterbury)",1983,41,"1983-04-11","1983-10-05",-43.493,172.537
