"site","year","frost_days","first_frost_day","last_frost_day","lat","lon"
"Dunedin (Otago)",2010,2,"2010-07-12","2010-07-13",-45.90129,170.5147
"Gisborne (Gisborne)",2010,2,"2010-06-10","2010-08-12",-38.6586,177.9851
"Gore (Southland)",2010,41,"2010-05-22","2010-09-19",-46.115,168.887
"Hamilton (Waikato)",2010,13,"2010-03-18","2010-08-12",-37.86088,175.33175
"Hokitika (West Coast)",2010,6,"2010-06-09","2010-09-22",-42.71228,170.98428
"Invercargill (Southland)",2010,34,"2010-04-05","2010-12-09",-46.41741,168.33052
"Kerikeri (Northland)",2010,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2010,99,"2010-03-17","2010-12-09",-44.002,170.441
"Masterton (Wellington)",2010,29,"2010-04-12","2010-09-05",-40.957,175.707
"Milford Sound (Southland)",2010,30,"2010-06-02","2010-09-22",-44.67384,167.92406
"Napier (Hawke's Bay)",2010,6,"2010-06-10","2010-08-12",-39.49846,176.91189
"Nelson (Nelson)",2010,8,"2010-06-10","2010-08-11",-41.299,173.226
"New Plymouth (Taranaki)",2010,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2010,82,"2010-04-08","2010-12-09",-45.01758,168.74005
"Reefton (West Coast)",2010,33,"2010-05-30","2010-10-12",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2010,14,"2010-06-09","2010-08-12",-38.10595,176.31485
"Tara Hills (Canterbury)",2010,101,"2010-03-18","2010-12-09",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2010,41,"2010-03-18","2010-11-07",-38.88784,175.25981
"Taupō (Waikato)",2010,31,"2010-03-13","2010-11-07",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2010,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2010,61,"2010-05-03","2010-11-01",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2010,47,"2010-03-13","2010-11-07",-39.46249,175.66283
"Wellington (Wellington)",2010,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2010,3,"2010-07-12","2010-07-15",-39.93704,175.04509
"Whangaparāoa (Auckland)",2010,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2010,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2009,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2009,60,"2009-04-10","2009-10-19",-41.52133,173.86439
"Christchurch (Canterbury)",2009,52,"2009-04-02","2009-11-17",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2009,40,"2009-03-12","2009-10-24",-40.21,176.109
"Dunedin (Otago)",2009,7,"2009-07-13","2009-09-05",-45.90129,170.5147
"Gisborne (Gisborne)",2009,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",2009,35,"2009-04-21","2009-10-05",-46.115,168.887
"Hamilton (Waikato)",2009,31,"2009-04-10","2009-09-09",-37.86088,175.33175
"Hokitika (West Coast)",2009,14,"2009-05-09","2009-10-05",-42.71228,170.98428
"Invercargill (Southland)",2009,31,"2009-04-21","2009-10-05",-46.41741,168.33052
"Kerikeri (Northland)",2009,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2009,109,"2009-03-22","2009-12-31",-44.002,170.441
"Masterton (Wellington)",2009,34,"2009-04-11","2009-11-12",-40.957,175.707
"Milford Sound (Southland)",2009,41,"2009-05-27","2009-10-05",-44.67384,167.92406
"Napier (Hawke's Bay)",2009,11,"2009-05-22","2009-08-10",-39.49846,176.91189
"Nelson (Nelson)",2009,25,"2009-05-22","2009-09-06",-41.299,173.226
"New Plymouth (Taranaki)",2009,5,"2009-05-22","2009-07-14",-39.0079,174.18382
"Queenstown (Otago)",2009,88,"2009-03-22","2009-10-11",-45.01758,168.74005
"Reefton (West Coast)",2009,56,"2009-05-02","2009-10-11",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2009,22,"2009-04-10","2009-10-11",-38.10595,176.31485
"Tara Hills (Canterbury)",2009,119,"2009-03-22","2009-12-21",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2009,59,"2009-03-25","2009-10-24",-38.88784,175.25981
"Taupō (Waikato)",2009,58,"2009-03-25","2009-11-12",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2009,1,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2009,85,"2009-04-10","2009-11-17",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2009,70,"2009-03-12","2009-12-22",-39.46249,175.66283
"Wellington (Wellington)",2009,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2009,2,"2009-06-01","2009-06-08",-39.93704,175.04509
"Whangaparāoa (Auckland)",2009,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2009,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2008,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2008,46,"2008-04-20","2008-11-08",-41.52133,173.86439
"Christchurch (Canterbury)",2008,48,"2008-04-23","2008-11-06",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2008,40,"2008-04-21","2008-11-08",-40.21,176.109
"Dunedin (Otago)",2008,4,"2008-08-10","2008-09-06",-45.90129,170.5147
"Gisborne (Gisborne)",2008,2,"2008-07-02","2008-08-20",-38.6586,177.9851
"Gore (Southland)",2008,33,"2008-05-04","2008-11-08",-46.115,168.887
"Hamilton (Waikato)",2008,13,"2008-05-07","2008-08-20",-37.86088,175.33175
"Hokitika (West Coast)",2008,17,"2008-05-03","2008-08-20",-42.71228,170.98428
"Invercargill (Southland)",2008,30,"2008-05-04","2008-11-08",-46.41741,168.33052
"Kerikeri (Northland)",2008,1,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2008,113,"2008-04-02","2008-11-08",-44.002,170.441
"Masterton (Wellington)",2008,19,"2008-05-07","2008-09-29",-40.957,175.707
"Milford Sound (Southland)",2008,25,"2008-05-04","2008-09-06",-44.67384,167.92406
"Napier (Hawke's Bay)",2008,5,"2008-05-07","2008-08-21",-39.49846,176.91189
"Nelson (Nelson)",2008,15,"2008-06-08","2008-08-20",-41.299,173.226
"New Plymouth (Taranaki)",2008,2,"2008-07-07","2008-08-10",-39.0079,174.18382
"Queenstown (Otago)",2008,89,"2008-04-02","2008-11-20",-45.01758,168.74005
"Reefton (West Coast)",2008,48,"2008-04-20","2008-09-07",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2008,15,"2008-05-18","2008-08-20",-38.10595,176.31485
"Tara Hills (Canterbury)",2008,109,"2008-03-10","2008-11-26",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2008,39,"2008-04-09","2008-11-08",-38.88784,175.25981
"Taupō (Waikato)",2008,35,"2008-04-20","2008-11-08",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2008,1,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2008,71,"2008-04-20","2008-11-06",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2008,57,"2008-04-10","2008-11-19",-39.46249,175.66283
"Wellington (Wellington)",2008,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2008,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2008,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2008,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2007,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2007,47,"2007-05-29","2007-10-19",-41.52133,173.86439
"Christchurch (Canterbury)",2007,51,"2007-06-04","2007-10-29",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2007,24,"2007-06-16","2007-10-29",-40.21,176.109
"Dunedin (Otago)",2007,14,"2007-06-11","2007-09-06",-45.90129,170.5147
"Gisborne (Gisborne)",2007,0,NA,NA,-38.6586,177.9851
"Gore (Southland)",2007,37,"2007-06-04","2007-10-28",-46.115,168.887
"Hamilton (Waikato)",2007,8,"2007-05-29","2007-09-07",-37.86088,175.33175
"Hokitika (West Coast)",2007,20,"2007-06-11","2007-09-06",-42.71228,170.98428
"Invercargill (Southland)",2007,33,"2007-04-30","2007-10-28",-46.41741,168.33052
"Kerikeri (Northland)",2007,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2007,94,"2007-04-12","2007-11-28",-44.002,170.441
"Masterton (Wellington)",2007,23,"2007-05-29","2007-10-29",-40.957,175.707
"Milford Sound (Southland)",2007,41,"2007-06-09","2007-09-07",-44.67384,167.92406
"Napier (Hawke's Bay)",2007,4,"2007-06-20","2007-10-20",-39.49846,176.91189
"Nelson (Nelson)",2007,17,"2007-06-16","2007-09-07",-41.299,173.226
"New Plymouth (Taranaki)",2007,4,"2007-06-19","2007-10-04",-39.0079,174.18382
"Queenstown (Otago)",2007,74,"2007-04-12","2007-11-28",-45.01758,168.74005
"Reefton (West Coast)",2007,41,"2007-06-11","2007-10-19",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2007,16,"2007-05-29","2007-10-20",-38.10595,176.31485
"Tara Hills (Canterbury)",2007,100,"2007-04-05","2007-11-28",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2007,36,"2007-04-19","2007-10-20",-38.88784,175.25981
"Taupō (Waikato)",2007,35,"2007-04-19","2007-11-15",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2007,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2007,66,"2007-05-28","2007-10-25",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2007,60,"2007-01-04","2007-11-29",-39.46249,175.66283
"Wellington (Wellington)",2007,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2007,2,"2007-07-08","2007-07-15",-39.93704,175.04509
"Whangaparāoa (Auckland)",2007,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2007,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2006,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2006,44,"2006-05-16","2006-10-06",-41.52133,173.86439
"Christchurch (Canterbury)",2006,43,"2006-05-13","2006-11-10",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2006,17,"2006-06-03","2006-11-10",-40.21,176.109
"Dunedin (Otago)",2006,13,"2006-06-20","2006-08-11",-45.90129,170.5147
"Gisborne (Gisborne)",2006,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",2006,45,"2006-05-20","2006-10-25",-46.115,168.887
"Hamilton (Waikato)",2006,29,"2006-05-17","2006-08-24",-37.86088,175.33175
"Hokitika (West Coast)",2006,18,"2006-05-15","2006-08-23",-42.71228,170.98428
"Invercargill (Southland)",2006,42,"2006-05-07","2006-10-25",-46.41741,168.33052
"Kerikeri (Northland)",2006,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2006,112,"2006-03-04","2006-12-01",-44.002,170.441
"Masterton (Wellington)",2006,18,"2006-06-06","2006-09-15",-40.957,175.707
"Milford Sound (Southland)",2006,28,"2006-06-06","2006-08-24",-44.67384,167.92406
"Napier (Hawke's Bay)",2006,9,"2006-06-06","2006-08-24",-39.49846,176.91189
"Nelson (Nelson)",2006,19,"2006-06-06","2006-08-24",-41.299,173.226
"New Plymouth (Taranaki)",2006,2,"2006-07-22","2006-08-23",-39.0079,174.18382
"Queenstown (Otago)",2006,73,"2006-05-06","2006-11-01",-45.01758,168.74005
"Reefton (West Coast)",2006,44,"2006-05-15","2006-09-11",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2006,26,"2006-06-06","2006-10-18",-38.10595,176.31485
"Tara Hills (Canterbury)",2006,113,"2006-03-05","2006-11-13",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2006,49,"2006-05-17","2006-10-07",-38.88784,175.25981
"Taupō (Waikato)",2006,45,"2006-05-17","2006-12-10",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2006,2,"2006-08-23","2006-08-24",-37.673,176.196
"Timaru (Canterbury)",2006,78,"2006-05-15","2006-11-10",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2006,67.00892857142857,"2006-02-24","2006-12-06",-39.46249,175.66283
"Wellington (Wellington)",2006,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2006,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2006,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2006,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2005,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2005,26,"2005-04-25","2005-09-21",-41.52133,173.86439
"Christchurch (Canterbury)",2005,43,"2005-04-26","2005-11-28",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2005,13,"2005-04-29","2005-09-29",-40.21,176.109
"Dunedin (Otago)",2005,5,"2005-06-09","2005-07-17",-45.90129,170.5147
"Gisborne (Gisborne)",2005,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",2005,30,"2005-03-31","2005-08-28",-46.115,168.887
"Hamilton (Waikato)",2005,16,"2005-04-22","2005-08-16",-37.86088,175.33175
"Hokitika (West Coast)",2005,6,"2005-04-25","2005-09-20",-42.71228,170.98428
"Invercargill (Southland)",2005,25,"2005-03-31","2005-08-27",-46.41741,168.33052
"Kerikeri (Northland)",2005,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2005,97,"2005-03-11","2005-11-27",-44.002,170.441
"Masterton (Wellington)",2005,14,"2005-06-07","2005-09-21",-40.957,175.707
"Milford Sound (Southland)",2005,22,"2005-06-07","2005-09-21",-44.67384,167.92406
"Napier (Hawke's Bay)",2005,10,"2005-06-09","2005-08-16",-39.49846,176.91189
"Nelson (Nelson)",2005,3,"2005-06-07","2005-09-21",-41.299,173.226
"New Plymouth (Taranaki)",2005,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2005,69,"2005-03-31","2005-10-09",-45.01758,168.74005
"Reefton (West Coast)",2005,24,"2005-04-25","2005-09-21",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2005,17,"2005-04-26","2005-09-21",-38.10595,176.31485
"Tara Hills (Canterbury)",2005,113,"2005-03-01","2005-11-27",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2005,30,"2005-04-14","2005-09-21",-38.88784,175.25981
"Taupō (Waikato)",2005,32,"2005-04-19","2005-11-23",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2005,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2005,55,"2005-04-26","2005-10-12",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2005,54,"2005-03-02","2005-11-30",-39.46249,175.66283
"Wellington (Wellington)",2005,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2005,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2005,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2005,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2004,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2004,42,"2004-03-25","2004-10-03",-41.52133,173.86439
"Christchurch (Canterbury)",2004,54,"2004-04-05","2004-09-29",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2004,18,"2004-04-08","2004-09-08",-40.21,176.109
"Dunedin (Otago)",2004,4,"2004-07-01","2004-08-30",-45.90129,170.5147
"Gisborne (Gisborne)",2004,0,NA,NA,-38.6586,177.9851
"Gore (Southland)",2004,42,"2004-04-08","2004-09-29",-46.115,168.887
"Hamilton (Waikato)",2004,27,"2004-04-08","2004-09-04",-37.86088,175.33175
"Hokitika (West Coast)",2004,19,"2004-04-07","2004-08-30",-42.71228,170.98428
"Invercargill (Southland)",2004,45,"2004-04-07","2004-10-18",-46.41741,168.33052
"Kerikeri (Northland)",2004,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2004,111,"2004-03-24","2004-12-20",-44.002,170.441
"Masterton (Wellington)",2004,15,"2004-06-10","2004-09-07",-40.957,175.707
"Milford Sound (Southland)",2004,39,"2004-06-08","2004-09-20",-44.67384,167.92406
"Napier (Hawke's Bay)",2004,8,"2004-06-13","2004-09-04",-39.49846,176.91189
"Nelson (Nelson)",2004,17,"2004-06-13","2004-08-30",-41.299,173.226
"New Plymouth (Taranaki)",2004,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2004,86,"2004-04-08","2004-10-08",-45.01758,168.74005
"Reefton (West Coast)",2004,50,"2004-05-18","2004-10-03",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2004,28,"2004-04-08","2004-09-30",-38.10595,176.31485
"Tara Hills (Canterbury)",2004,114,"2004-03-25","2004-12-20",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2004,50,"2004-04-08","2004-10-03",-38.88784,175.25981
"Taupō (Waikato)",2004,52,"2004-04-07","2004-10-21",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2004,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2004,88,"2004-04-07","2004-10-31",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2004,69.97413793103448,"2004-02-26","2004-12-20",-39.46249,175.66283
"Wellington (Wellington)",2004,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2004,3,"2004-07-10","2004-08-03",-39.93704,175.04509
"Whangaparāoa (Auckland)",2004,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2004,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2003,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2003,39,"2003-05-17","2003-11-18",-41.52133,173.86439
"Christchurch (Canterbury)",2003,53,"2003-04-09","2003-10-15",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2003,17,"2003-05-06","2003-10-27",-40.21,176.109
"Dunedin (Otago)",2003,5,"2003-06-27","2003-08-13",-45.90129,170.5147
"Gisborne (Gisborne)",2003,0,NA,NA,-38.6586,177.9851
"Gore (Southland)",2003,34,"2003-04-09","2003-10-05",-46.115,168.887
"Hamilton (Waikato)",2003,23,"2003-05-14","2003-10-07",-37.86088,175.33175
"Hokitika (West Coast)",2003,7,"2003-07-06","2003-08-20",-42.71228,170.98428
"Invercargill (Southland)",2003,32,"2003-04-02","2003-09-23",-46.41741,168.33052
"Kerikeri (Northland)",2003,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2003,105.00892857142857,"2003-02-22","2003-12-11",-44.002,170.441
"Masterton (Wellington)",2003,22,"2003-05-06","2003-08-19",-40.957,175.707
"Milford Sound (Southland)",2003,20,"2003-06-17","2003-10-07",-44.67384,167.92406
"Napier (Hawke's Bay)",2003,3,"2003-07-07","2003-07-25",-39.49846,176.91189
"Nelson (Nelson)",2003,15,"2003-06-26","2003-07-25",-41.299,173.226
"New Plymouth (Taranaki)",2003,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2003,83,"2003-04-02","2003-11-28",-45.01758,168.74005
"Reefton (West Coast)",2003,44,"2003-04-08","2003-10-07",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2003,19,"2003-05-29","2003-10-07",-38.10595,176.31485
"Tara Hills (Canterbury)",2003,100,"2003-04-03","2003-11-28",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2003,53,"2003-04-26","2003-10-27",-38.88784,175.25981
"Taupō (Waikato)",2003,49,"2003-04-26","2003-11-19",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2003,2,"2003-07-07","2003-07-14",-37.673,176.196
"Timaru (Canterbury)",2003,73,"2003-04-20","2003-11-14",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2003,67.01785714285714,"2003-01-14","2003-11-19",-39.46249,175.66283
"Wellington (Wellington)",2003,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2003,2,"2003-07-06","2003-07-13",-39.93704,175.04509
"Whangaparāoa (Auckland)",2003,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2003,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2002,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2002,39,"2002-04-03","2002-11-18",-41.52133,173.86439
"Christchurch (Canterbury)",2002,48,"2002-05-16","2002-10-30",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2002,5,"2002-06-02","2002-10-15",-40.21,176.109
"Dunedin (Otago)",2002,4,"2002-06-17","2002-10-04",-45.90129,170.5147
"Gisborne (Gisborne)",2002,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",2002,37,"2002-05-26","2002-10-15",-46.115,168.887
"Hamilton (Waikato)",2002,12,"2002-07-17","2002-10-05",-37.86088,175.33175
"Hokitika (West Coast)",2002,7,"2002-07-14","2002-08-19",-42.71228,170.98428
"Invercargill (Southland)",2002,24,"2002-05-18","2002-10-15",-46.41741,168.33052
"Kerikeri (Northland)",2002,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2002,108,"2002-03-03","2002-12-26",-44.002,170.441
"Masterton (Wellington)",2002,15,"2002-05-30","2002-10-05",-40.957,175.707
"Milford Sound (Southland)",2002,27,"2002-05-29","2002-09-14",-44.67384,167.92406
"Napier (Hawke's Bay)",2002,6,"2002-06-01","2002-10-05",-39.49846,176.91189
"Nelson (Nelson)",2002,3,"2002-07-18","2002-08-10",-41.299,173.226
"New Plymouth (Taranaki)",2002,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2002,66,"2002-05-17","2002-11-03",-45.01758,168.74005
"Reefton (West Coast)",2002,34,"2002-04-03","2002-10-14",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2002,17,"2002-06-17","2002-10-15",-38.10595,176.31485
"Tara Hills (Canterbury)",2002,100,"2002-04-03","2002-11-20",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2002,38,"2002-04-10","2002-10-15",-38.88784,175.25981
"Taupō (Waikato)",2002,44,"2002-04-30","2002-11-18",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2002,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2002,71,"2002-05-02","2002-10-15",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2002,51.00892857142857,"2002-01-07","2002-11-23",-39.46249,175.66283
"Wellington (Wellington)",2002,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2002,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2002,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2002,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2001,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2001,45,"2001-05-16","2001-10-12",-41.52133,173.86439
"Christchurch (Canterbury)",2001,60,"2001-04-22","2001-11-05",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2001,22,"2001-04-25","2001-08-13",-40.21,176.109
"Dunedin (Otago)",2001,8,"2001-05-31","2001-07-24",-45.90129,170.5147
"Gisborne (Gisborne)",2001,0,NA,NA,-38.6586,177.9851
"Gore (Southland)",2001,32,"2001-04-24","2001-09-02",-46.115,168.887
"Hamilton (Waikato)",2001,23,"2001-05-17","2001-08-17",-37.86088,175.33175
"Hokitika (West Coast)",2001,22,"2001-05-23","2001-08-17",-42.71228,170.98428
"Invercargill (Southland)",2001,31,"2001-04-24","2001-09-01",-46.41741,168.33052
"Kerikeri (Northland)",2001,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2001,95.00892857142857,"2001-02-07","2001-11-04",-44.002,170.441
"Masterton (Wellington)",2001,23,"2001-04-25","2001-09-26",-40.957,175.707
"Milford Sound (Southland)",2001,41,"2001-05-23","2001-09-02",-44.67384,167.92406
"Napier (Hawke's Bay)",2001,13,"2001-06-02","2001-07-28",-39.49846,176.91189
"Nelson (Nelson)",2001,26,"2001-05-28","2001-08-17",-41.299,173.226
"New Plymouth (Taranaki)",2001,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2001,73,"2001-04-22","2001-09-25",-45.01758,168.74005
"Reefton (West Coast)",2001,49,"2001-05-17","2001-08-30",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2001,28,"2001-05-17","2001-08-28",-38.10595,176.31485
"Tara Hills (Canterbury)",2001,102.00892857142857,"2001-02-07","2001-10-13",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2001,47,"2001-03-31","2001-10-25",-38.88784,175.25981
"Taupō (Waikato)",2001,53,"2001-03-31","2001-10-25",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2001,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2001,68,"2001-05-17","2001-09-25",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2001,69,"2001-03-31","2001-11-18",-39.46249,175.66283
"Wellington (Wellington)",2001,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2001,7,"2001-07-02","2001-07-31",-39.93704,175.04509
"Whangaparāoa (Auckland)",2001,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2001,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",2000,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",2000,31,"2000-05-17","2000-11-10",-41.52133,173.86439
"Christchurch (Canterbury)",2000,49,"2000-05-09","2000-11-09",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2000,19,"2000-06-13","2000-10-20",-40.21,176.109
"Dunedin (Otago)",2000,8,"2000-07-06","2000-09-28",-45.90129,170.5147
"Gisborne (Gisborne)",2000,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",2000,32,"2000-05-08","2000-09-28",-46.115,168.887
"Hamilton (Waikato)",2000,16,"2000-06-09","2000-09-28",-37.86088,175.33175
"Hokitika (West Coast)",2000,7,"2000-06-13","2000-10-18",-42.71228,170.98428
"Invercargill (Southland)",2000,33,"2000-01-26","2000-11-09",-46.41741,168.33052
"Kerikeri (Northland)",2000,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",2000,89,"2000-03-14","2000-12-26",-44.002,170.441
"Masterton (Wellington)",2000,23,"2000-05-17","2000-10-19",-40.957,175.707
"Milford Sound (Southland)",2000,26,"2000-05-14","2000-08-25",-44.67384,167.92406
"Napier (Hawke's Bay)",2000,7,"2000-06-23","2000-08-25",-39.49846,176.91189
"Nelson (Nelson)",2000,5,"2000-06-14","2000-08-24",-41.299,173.226
"New Plymouth (Taranaki)",2000,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",2000,58,"2000-05-09","2000-10-13",-45.01758,168.74005
"Reefton (West Coast)",2000,41,"2000-04-26","2000-10-19",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2000,22,"2000-06-09","2000-11-20",-38.10595,176.31485
"Tara Hills (Canterbury)",2000,102,"2000-03-14","2000-11-23",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2000,39,"2000-03-23","2000-10-20",-38.88784,175.25981
"Taupō (Waikato)",2000,45,"2000-05-09","2000-11-20",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2000,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",2000,62,"2000-04-12","2000-11-23",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2000,60,"2000-03-24","2000-11-24",-39.46249,175.66283
"Wellington (Wellington)",2000,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2000,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",2000,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",2000,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1999,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1999,43,"1999-04-18","1999-10-18",-41.52133,173.86439
"Christchurch (Canterbury)",1999,50,"1999-04-12","1999-09-28",-43.493,172.537
