"site","season","trend_likelihood","period_start","period_end","p_value","slope","conf_low","conf_high","conf_level","intercept","r_squared","sigma","trend_method","n","note","s","var_s","tau","z","alternative","lat","lon"
"Christchurch (Canterbury)","Autumn",NA,"1960-03-01","2022-05-31",0.7361036945967714,-0.1357382872503832,-0.7952063284685972,0.5237297539678308,0.9,167.62616487455193,0.0018755411570771153,57.867134934727694,"Linear model",63,NA,NA,NA,NA,NA,NA,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","Autumn",NA,"1960-03-01","2022-05-31",0.2216965242603763,-0.6699932795698916,-1.5625885445127778,0.22260198537299458,0.9,265.247721454173,0.02438018663165001,78.32362966844316,"Linear model",63,NA,NA,NA,NA,NA,NA,-40.21,176.109
"Dunedin (Otago)","Autumn",NA,"1960-03-01","2022-05-31",0.16362907751443798,-0.6174299155145918,-1.3377193857631773,0.10285955473399366,0.9,195.12918586789547,0.031561520655622,63.20410597902863,"Linear model",63,NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)","Autumn",NA,"1960-03-01","2022-05-31",0.07911473210022317,1.3243087557603677,0.10447104249062211,2.544146469030113,0.9,245.18719918074757,0.04967862476653324,107.03856614773044,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.6586,177.9851
"Gore (Southland)","Autumn",NA,"1960-03-01","2022-05-31",0.3742142536714089,-0.3461597542242697,-0.9822190850678252,0.2898995766192858,0.9,251.242191500256,0.01296625537094524,55.81306268674426,"Linear model",63,NA,NA,NA,NA,NA,NA,-46.115,168.887
"Hamilton (Waikato)","Autumn",NA,"1960-03-01","2022-05-31",0.6248376857008572,0.3065812211981569,-0.7194260240902777,1.3325884664865915,0.9,273.9465437788018,0.003944558808145698,90.03029107739312,"Linear model",63,NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hokitika (West Coast)","Autumn",NA,"1960-03-01","2022-05-31",0.6334256796741852,0.5931403609831047,-1.4423079929368212,2.6285887149030307,0.9,686.9258576548898,0.0037522073541284007,178.60693344801402,"Linear model",63,NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Invercargill (Southland)","Autumn",NA,"1960-03-01","2022-05-31",0.3059672203084102,-0.4610311059907825,-1.1955710159373618,0.27350880395579674,0.9,312.1974398361495,0.017172426758610745,64.45455644113092,"Linear model",63,NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Kerikeri (Northland)","Autumn",NA,"1960-03-01","2022-05-31",0.49399689802025226,0.8276305683563736,-1.1507545212288322,2.8060156579415794,0.9,388.09518689196113,0.00770225808777743,173.5997345988121,"Linear model",63,NA,NA,NA,NA,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)","Autumn",NA,"1960-03-01","2022-05-31",0.346881321837738,0.4390168970814139,-0.32272944172002593,1.2007632358828537,0.9,139.73241167434708,0.014518273547320566,66.84187165769248,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.002,170.441
"Masterton (Wellington)","Autumn",NA,"1960-03-01","2022-05-31",0.35564971191459793,0.40198732718893954,-0.30841531382843795,1.112389968206317,0.9,192.22370711725554,0.014002833815579088,62.336554489888904,"Linear model",63,NA,NA,NA,NA,NA,NA,-40.957,175.707
"Milford Sound (Southland)","Autumn",NA,"1960-03-01","2022-05-31",0.5042411189932674,2.367074692780344,-3.428449390033319,8.162598775594006,0.9,1535.9123399897587,0.007344491463115462,508.5468182781433,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.67384,167.92406
"Napier (Hawke's Bay)","Autumn",NA,"1960-03-01","2022-05-31",0.8524688235392548,-0.11345526113671184,-1.1126929476273957,0.8857824253539721,0.9,202.78612391193022,5.714629694221743e-4,87.68131042287801,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.49846,176.91189
"Nelson (Nelson)","Autumn",NA,"1960-03-01","2022-05-31",0.9894793509364024,0.008270929339478084,-1.0192398396520652,1.0357816983310213,0.9,239.1591397849462,2.873818175011476e-6,90.1622225790996,"Linear model",63,NA,NA,NA,NA,NA,NA,-41.299,173.226
"New Plymouth (Taranaki)","Autumn",NA,"1960-03-01","2022-05-31",0.6207524991604616,-0.3405481950844852,-1.4668930643033407,0.7857966741343704,0.9,375.53881208397337,0.004038143797990457,98.83473717653376,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.0079,174.18382
"Queenstown (Otago)","Autumn",NA,"1960-03-01","2022-05-31",0.685309204024146,-0.1597302227342548,-0.8049975827364024,0.4855371372678929,0.9,184.73993855606759,0.0027104459315328414,56.62105068995191,"Linear model",63,NA,NA,NA,NA,NA,NA,-45.01758,168.74005
"Reefton (West Coast)","Autumn",NA,"1960-03-01","2022-05-31",0.3450413753181938,-0.8118807603686625,-2.215186939006533,0.5914254182692081,0.9,479.1389144905274,0.014628649502416996,123.13759411899142,"Linear model",63,NA,NA,NA,NA,NA,NA,-42.11578,171.86014
"Rotorua (Bay of Plenty)","Autumn",NA,"1960-03-01","2022-05-31",0.8860142267613259,0.14863191244239776,-1.5497162994800484,1.846980124364844,0.9,349.45806451612884,3.3958447645622157e-4,149.02700207264465,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.10595,176.31485
"Tara Hills (Canterbury)","Autumn",NA,"1960-03-01","2022-05-31",0.1147717206788095,-0.508160522273425,-1.0305755630422886,0.014254518495438684,0.9,147.90240655401945,0.040275573055345036,45.840980557994854,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)","Autumn",NA,"1960-03-01","2022-05-31",0.20207303469102772,0.6694364439324113,-0.18444283508036863,1.5233157229451912,0.9,294.3653353814645,0.026538074091742244,74.92637151199044,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.88784,175.25981
"Taupō (Waikato)","Autumn",NA,"1960-03-01","2022-05-31",0.4730755088609804,0.40593317972350235,-0.5189068005949817,1.3307731600419865,0.9,202.55934459805428,0.008472379581748802,81.1530454686763,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.74263,176.08104
"Tauranga (Bay of Plenty)","Autumn",NA,"1960-03-01","2022-05-31",0.5755417699756769,-0.5401497695852517,-2.118423879538886,1.0381243403683824,0.9,364.85304659498183,0.005168182851900112,138.49071551058464,"Linear model",63,NA,NA,NA,NA,NA,NA,-37.673,176.196
"Timaru (Canterbury)","Autumn",NA,"1960-03-01","2022-05-31",0.416476756440917,-0.3194892473118277,-0.9618365985485022,0.3228581039248468,0.9,146.60460829493084,0.010853205929971275,56.364825170774225,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)","Autumn",NA,"1960-03-01","2022-05-31",0.4064578874653071,0.4141993087557616,-0.4008196389255735,1.2292182564370968,0.9,235.57736815156156,0.011325601992490518,71.51644730609424,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.46249,175.66283
