"site","season","precipitation","precipitation_units","period_start","period_end","lat","lon","anomaly_1961","anomaly_1991"
"Reefton (West Coast)","Summer",416.4,"mm","2016-12-01","2017-02-28",-42.11578,171.86014,-4.1,7
"Rotorua (Bay of Plenty)","Summer",327,"mm","2016-12-01","2017-02-28",-38.10595,176.31485,-19.5,20.6
"Tara Hills (Canterbury)","Summer",155.4,"mm","2016-12-01","2017-02-28",-44.52612,169.88948,6.9,10
"Taumarunui (Manawatū-Whanganui)","Summer",282.2,"mm","2016-12-01","2017-02-28",-38.88784,175.25981,-25.1,-32.6
"Taupō (Waikato)","Summer",221.2,"mm","2016-12-01","2017-02-28",-38.74263,176.08104,-16.8,-3.8
"Tauranga (Bay of Plenty)","Summer",234.8,"mm","2016-12-01","2017-02-28",-37.673,176.196,-55.3,-23.8
"Timaru (Canterbury)","Summer",147.8,"mm","2016-12-01","2017-02-28",-44.30517,171.22141,7.9,-3.2
"Waiouru (Manawatū-Whanganui)","Summer",202.4,"mm","2016-12-01","2017-02-28",-39.46249,175.66283,-42.2,-34.5
"Wellington (Wellington)","Summer",248,"mm","2016-12-01","2017-02-28",-41.285,174.768,4.7,1.7
"Whanganui (Manawatū-Whanganui)","Summer",205,"mm","2016-12-01","2017-02-28",-39.93704,175.04509,3.1,-8.1
"Whangaparāoa (Auckland)","Summer",140.4,"mm","2016-12-01","2017-02-28",-36.606,174.835,-86.2,-64.3
"Whangārei (Northland)","Summer",128.8,"mm","2016-12-01","2017-02-28",-35.769,174.364,-176.1,-121.5
"Auckland (Auckland)","Spring",321,"mm","2016-09-01","2016-11-30",-37.00813,174.78873,65.5,70.1
"Blenheim (Marlborough)","Spring",216.6,"mm","2016-09-01","2016-11-30",-41.52133,173.86439,45.4,37.1
"Christchurch (Canterbury)","Spring",151,"mm","2016-09-01","2016-11-30",-43.493,172.537,15.1,14.1
"Dannevirke (Manawatū-Whanganui)","Spring",172.6,"mm","2016-09-01","2016-11-30",-40.21,176.109,-70.8,-106.3
"Dunedin (Otago)","Spring",235.8,"mm","2016-09-01","2016-11-30",-45.90129,170.5147,82.3,71.3
"Gisborne (Gisborne)","Spring",198.39999999999998,"mm","2016-09-01","2016-11-30",-38.6586,177.9851,-9.3,0.6
"Gore (Southland)","Spring",245.3,"mm","2016-09-01","2016-11-30",-46.115,168.887,33.8,4.7
"Hamilton (Waikato)","Spring",369.7,"mm","2016-09-01","2016-11-30",-37.86088,175.33175,69.2,70.5
"Hokitika (West Coast)","Spring",768.9000000000001,"mm","2016-09-01","2016-11-30",-42.71228,170.98428,-15.5,16.5
"Invercargill (Southland)","Spring",271.6,"mm","2016-09-01","2016-11-30",-46.41741,168.33052,17.6,-17.1
"Kerikeri (Northland)","Spring",314.2,"mm","2016-09-01","2016-11-30",-35.183,173.926,-54.9,-23.3
"Lake Tekapo (Canterbury)","Spring",182.7,"mm","2016-09-01","2016-11-30",-44.002,170.441,32.2,34.8
"Masterton (Wellington)","Spring",256.8,"mm","2016-09-01","2016-11-30",-40.957,175.707,73.4,41.1
"Milford Sound (Southland)","Spring",1920.1,"mm","2016-09-01","2016-11-30",-44.67384,167.92406,314.3,288.4
"Napier (Hawke's Bay)","Spring",133.4,"mm","2016-09-01","2016-11-30",-39.49846,176.91189,-21,-32.6
"Nelson (Nelson)","Spring",338.4,"mm","2016-09-01","2016-11-30",-41.299,173.226,104.7,111.4
"New Plymouth (Taranaki)","Spring",331.8,"mm","2016-09-01","2016-11-30",-39.0079,174.18382,-21.6,-19.4
"Queenstown (Otago)","Spring",217.60000000000002,"mm","2016-09-01","2016-11-30",-45.01758,168.74005,40.6,32.9
"Reefton (West Coast)","Spring",466,"mm","2016-09-01","2016-11-30",-42.11578,171.86014,-94.1,-49.8
"Rotorua (Bay of Plenty)","Spring",327.6,"mm","2016-09-01","2016-11-30",-38.10595,176.31485,-13.7,44.7
"Tara Hills (Canterbury)","Spring",158.8,"mm","2016-09-01","2016-11-30",-44.52612,169.88948,22.2,33.6
"Taumarunui (Manawatū-Whanganui)","Spring",402.6,"mm","2016-09-01","2016-11-30",-38.88784,175.25981,27.2,1.1
"Taupō (Waikato)","Spring",213.9,"mm","2016-09-01","2016-11-30",-38.74263,176.08104,-13.2,-3.9
"Tauranga (Bay of Plenty)","Spring",298.79999999999995,"mm","2016-09-01","2016-11-30",-37.673,176.196,4,65.6
"Timaru (Canterbury)","Spring",165,"mm","2016-09-01","2016-11-30",-44.30517,171.22141,39.2,26.9
"Waiouru (Manawatū-Whanganui)","Spring",322.6,"mm","2016-09-01","2016-11-30",-39.46249,175.66283,67.6,20.6
"Wellington (Wellington)","Spring",506.2,"mm","2016-09-01","2016-11-30",-41.285,174.768,191.6,173.1
"Whanganui (Manawatū-Whanganui)","Spring",227.4,"mm","2016-09-01","2016-11-30",-39.93704,175.04509,21.9,-12.9
"Whangaparāoa (Auckland)","Spring",357,"mm","2016-09-01","2016-11-30",-36.606,174.835,97.2,135.3
"Whangārei (Northland)","Spring",247.6,"mm","2016-09-01","2016-11-30",-35.769,174.364,-71.7,-17.9
"Auckland (Auckland)","Winter",334.4,"mm","2016-06-01","2016-08-31",-37.00813,174.78873,-25.4,-35.4
"Blenheim (Marlborough)","Winter",161.8,"mm","2016-06-01","2016-08-31",-41.52133,173.86439,-35.7,-46.5
"Christchurch (Canterbury)","Winter",86.6,"mm","2016-06-01","2016-08-31",-43.493,172.537,-91.9,-103.9
"Dannevirke (Manawatū-Whanganui)","Winter",270.8,"mm","2016-06-01","2016-08-31",-40.21,176.109,-25.3,-1
"Dunedin (Otago)","Winter",138.39999999999998,"mm","2016-06-01","2016-08-31",-45.90129,170.5147,-33.2,-21
"Gisborne (Gisborne)","Winter",402,"mm","2016-06-01","2016-08-31",-38.6586,177.9851,53.6,84.5
"Gore (Southland)","Winter",194.4,"mm","2016-06-01","2016-08-31",-46.115,168.887,9.1,-0.3
"Hamilton (Waikato)","Winter",390,"mm","2016-06-01","2016-08-31",-37.86088,175.33175,17.3,8.6
"Hokitika (West Coast)","Winter",702.9,"mm","2016-06-01","2016-08-31",-42.71228,170.98428,30.9,-29.6
"Invercargill (Southland)","Winter",201.4,"mm","2016-06-01","2016-08-31",-46.41741,168.33052,-32.3,-71.2
"Kerikeri (Northland)","Winter",466.3,"mm","2016-06-01","2016-08-31",-35.183,173.926,-99.3,-84.4
"Lake Tekapo (Canterbury)","Winter",103.6,"mm","2016-06-01","2016-08-31",-44.002,170.441,-66.2,-57.3
"Masterton (Wellington)","Winter",220.3,"mm","2016-06-01","2016-08-31",-40.957,175.707,-45.6,-49.2
"Milford Sound (Southland)","Winter",1615.4,"mm","2016-06-01","2016-08-31",-44.67384,167.92406,514,332.6
"Napier (Hawke's Bay)","Winter",271.8,"mm","2016-06-01","2016-08-31",-39.49846,176.91189,36.1,38.6
"Nelson (Nelson)","Winter",307,"mm","2016-06-01","2016-08-31",-41.299,173.226,61.4,60.1
"New Plymouth (Taranaki)","Winter",318.6,"mm","2016-06-01","2016-08-31",-39.0079,174.18382,-137.9,-96.2
"Queenstown (Otago)","Winter",128,"mm","2016-06-01","2016-08-31",-45.01758,168.74005,-25,-47.5
"Reefton (West Coast)","Winter",637.8,"mm","2016-06-01","2016-08-31",-42.11578,171.86014,113.2,101
"Rotorua (Bay of Plenty)","Winter",333.4,"mm","2016-06-01","2016-08-31",-38.10595,176.31485,-78.5,-58.9
"Tara Hills (Canterbury)","Winter",132,"mm","2016-06-01","2016-08-31",-44.52612,169.88948,14.7,10
"Taumarunui (Manawatū-Whanganui)","Winter",447.7,"mm","2016-06-01","2016-08-31",-38.88784,175.25981,60.8,16.1
"Taupō (Waikato)","Winter",224.2,"mm","2016-06-01","2016-08-31",-38.74263,176.08104,-36.1,-56.9
"Tauranga (Bay of Plenty)","Winter",352.9,"mm","2016-06-01","2016-08-31",-37.673,176.196,-35.5,-8.7
"Timaru (Canterbury)","Winter",96,"mm","2016-06-01","2016-08-31",-44.30517,171.22141,-21,-35
"Waiouru (Manawatū-Whanganui)","Winter",391.1,"mm","2016-06-01","2016-08-31",-39.46249,175.66283,92.7,46.8
"Wellington (Wellington)","Winter",359,"mm","2016-06-01","2016-08-31",-41.285,174.768,-81.3,-44.2
"Whanganui (Manawatū-Whanganui)","Winter",270.2,"mm","2016-06-01","2016-08-31",-39.93704,175.04509,29.4,8.7
"Whangaparāoa (Auckland)","Winter",381.2,"mm","2016-06-01","2016-08-31",-36.606,174.835,15.3,55.1
"Whangārei (Northland)","Winter",377,"mm","2016-06-01","2016-08-31",-35.769,174.364,-108.9,-71
"Auckland (Auckland)","Autumn",212.39999999999998,"mm","2016-03-01","2016-05-31",-37.00813,174.78873,-62.2,-66.4
"Blenheim (Marlborough)","Autumn",201,"mm","2016-03-01","2016-05-31",-41.52133,173.86439,17.1,32.6
"Christchurch (Canterbury)","Autumn",169,"mm","2016-03-01","2016-05-31",-43.493,172.537,0.8,8.2
"Dannevirke (Manawatū-Whanganui)","Autumn",258.8,"mm","2016-03-01","2016-05-31",-40.21,176.109,-0.4,25.4
"Dunedin (Otago)","Autumn",183.4,"mm","2016-03-01","2016-05-31",-45.90129,170.5147,-2.8,11.8
"Gisborne (Gisborne)","Autumn",515.8,"mm","2016-03-01","2016-05-31",-38.6586,177.9851,249.5,212.3
"Gore (Southland)","Autumn",220.9,"mm","2016-03-01","2016-05-31",-46.115,168.887,-31.1,-12.8
"Hamilton (Waikato)","Autumn",202.4,"mm","2016-03-01","2016-05-31",-37.86088,175.33175,-76.5,-86.9
"Hokitika (West Coast)","Autumn",996,"mm","2016-03-01","2016-05-31",-42.71228,170.98428,294.2,284.1
"Invercargill (Southland)","Autumn",300.79999999999995,"mm","2016-03-01","2016-05-31",-46.41741,168.33052,-9.6,11.9
"Kerikeri (Northland)","Autumn",333.9,"mm","2016-03-01","2016-05-31",-35.183,173.926,-64.7,-93.2
"Lake Tekapo (Canterbury)","Autumn",164.2,"mm","2016-03-01","2016-05-31",-44.002,170.441,12.7,6.6
"Masterton (Wellington)","Autumn",194.79999999999998,"mm","2016-03-01","2016-05-31",-40.957,175.707,-11.4,-13.4
"Milford Sound (Southland)","Autumn",3046.8,"mm","2016-03-01","2016-05-31",-44.67384,167.92406,1409.9,1431.4
"Napier (Hawke's Bay)","Autumn",82.2,"mm","2016-03-01","2016-05-31",-39.49846,176.91189,-122,-113
"Nelson (Nelson)","Autumn",367.4,"mm","2016-03-01","2016-05-31",-41.299,173.226,119.8,138.2
"New Plymouth (Taranaki)","Autumn",283.4,"mm","2016-03-01","2016-05-31",-39.0079,174.18382,-89,-73.6
"Queenstown (Otago)","Autumn",239.4,"mm","2016-03-01","2016-05-31",-45.01758,168.74005,52.3,61.6
"Reefton (West Coast)","Autumn",558.2,"mm","2016-03-01","2016-05-31",-42.11578,171.86014,79,127.5
"Rotorua (Bay of Plenty)","Autumn",301,"mm","2016-03-01","2016-05-31",-38.10595,176.31485,-41.8,-64.1
"Tara Hills (Canterbury)","Autumn",113,"mm","2016-03-01","2016-05-31",-44.52612,169.88948,-33.7,-8.3
"Taumarunui (Manawatū-Whanganui)","Autumn",338,"mm","2016-03-01","2016-05-31",-38.88784,175.25981,34.2,7.2
"Taupō (Waikato)","Autumn",143,"mm","2016-03-01","2016-05-31",-38.74263,176.08104,-67,-79.5
"Tauranga (Bay of Plenty)","Autumn",320.6,"mm","2016-03-01","2016-05-31",-37.673,176.196,-25.2,-30.3
"Timaru (Canterbury)","Autumn",130.4,"mm","2016-03-01","2016-05-31",-44.30517,171.22141,-17.2,1.9
"Waiouru (Manawatū-Whanganui)","Autumn",222.6,"mm","2016-03-01","2016-05-31",-39.46249,175.66283,-22.1,-32.5
"Wellington (Wellington)","Autumn",290,"mm","2016-03-01","2016-05-31",-41.285,174.768,-52.4,-21.2
"Whanganui (Manawatū-Whanganui)","Autumn",251,"mm","2016-03-01","2016-05-31",-39.93704,175.04509,40,26.7
"Whangaparāoa (Auckland)","Autumn",156,"mm","2016-03-01","2016-05-31",-36.606,174.835,-110.1,-118.2
"Whangārei (Northland)","Autumn",303,"mm","2016-03-01","2016-05-31",-35.769,174.364,-69.4,-16.4
"Auckland (Auckland)","Annual",1128.8,"mm","2016-01-01","2016-12-31",-37.00813,174.78873,-1.1,29.1
"Blenheim (Marlborough)","Annual",731.8,"mm","2016-01-01","2016-12-31",-41.52133,173.86439,37.2,26.2
"Christchurch (Canterbury)","Annual",576.6,"mm","2016-01-01","2016-12-31",-43.493,172.537,-39.2,-41.6
"Dannevirke (Manawatū-Whanganui)","Annual",831,"mm","2016-01-01","2016-12-31",-40.21,176.109,-198.5,-178
"Dunedin (Otago)","Annual",704.8,"mm","2016-01-01","2016-12-31",-45.90129,170.5147,17.8,4.8
"Gisborne (Gisborne)","Annual",1309.1,"mm","2016-01-01","2016-12-31",-38.6586,177.9851,287.5,288.9
"Gore (Southland)","Annual",880.2,"mm","2016-01-01","2016-12-31",-46.115,168.887,-22,-58.2
"Hamilton (Waikato)","Annual",1166.7,"mm","2016-01-01","2016-12-31",-37.86088,175.33175,-52.5,-53.8
"Hokitika (West Coast)","Annual",3417,"mm","2016-01-01","2016-12-31",-42.71228,170.98428,592.7,511
"Invercargill (Southland)","Annual",1055.2,"mm","2016-01-01","2016-12-31",-46.41741,168.33052,-26.4,-74.3
"Kerikeri (Northland)","Annual",1542.6,"mm","2016-01-01","2016-12-31",-35.183,173.926,-86.8,-101.4
"Lake Tekapo (Canterbury)","Annual",544.7,"mm","2016-01-01","2016-12-31",-44.002,170.441,-53.1,-54.6
"Masterton (Wellington)","Annual",835.3,"mm","2016-01-01","2016-12-31",-40.957,175.707,27,-19.3
"Milford Sound (Southland)","Annual",9336.9,"mm","2016-01-01","2016-12-31",-44.67384,167.92406,3377.1,3131.8
"Napier (Hawke's Bay)","Annual",654.6,"mm","2016-01-01","2016-12-31",-39.49846,176.91189,-100.2,-97.6
"Nelson (Nelson)","Annual",1339,"mm","2016-01-01","2016-12-31",-41.299,173.226,419.2,418.5
"New Plymouth (Taranaki)","Annual",1102.8,"mm","2016-01-01","2016-12-31",-39.0079,174.18382,-395.5,-311.5
"Queenstown (Otago)","Annual",729.4,"mm","2016-01-01","2016-12-31",-45.01758,168.74005,56.3,3.5
"Reefton (West Coast)","Annual",2045,"mm","2016-01-01","2016-12-31",-42.11578,171.86014,57.3,152.4
"Rotorua (Bay of Plenty)","Annual",1309.8,"mm","2016-01-01","2016-12-31",-38.10595,176.31485,-133.1,-36.7
"Tara Hills (Canterbury)","Annual",536.4,"mm","2016-01-01","2016-12-31",-44.52612,169.88948,-14.2,23.2
"Taumarunui (Manawatū-Whanganui)","Annual",1535.6,"mm","2016-01-01","2016-12-31",-38.88784,175.25981,162,55.7
"Taupō (Waikato)","Annual",775.9,"mm","2016-01-01","2016-12-31",-38.74263,176.08104,-159.4,-170.9
"Tauranga (Bay of Plenty)","Annual",1265.5,"mm","2016-01-01","2016-12-31",-37.673,176.196,-52.3,61.3
"Timaru (Canterbury)","Annual",560.4,"mm","2016-01-01","2016-12-31",-44.30517,171.22141,30.7,12
"Waiouru (Manawatū-Whanganui)","Annual",1132.4,"mm","2016-01-01","2016-12-31",-39.46249,175.66283,91.9,-6.4
"Wellington (Wellington)","Annual",1361.4,"mm","2016-01-01","2016-12-31",-41.285,174.768,21.3,65.9
"Whanganui (Manawatū-Whanganui)","Annual",893.8000000000001,"mm","2016-01-01","2016-12-31",-39.93704,175.04509,34.7,-46.8
"Whangaparāoa (Auckland)","Annual",1200.6,"mm","2016-01-01","2016-12-31",-36.606,174.835,84.7,174.1
"Whangārei (Northland)","Annual",1214.2,"mm","2016-01-01","2016-12-31",-35.769,174.364,-263.7,-68.9
"Auckland (Auckland)","Summer",255,"mm","2015-12-01","2016-02-29",-37.00813,174.78873,13.7,55.2
"Blenheim (Marlborough)","Summer",149.8,"mm","2015-12-01","2016-02-29",-41.52133,173.86439,7.8,0.9
"Christchurch (Canterbury)","Summer",162.20000000000002,"mm","2015-12-01","2016-02-29",-43.493,172.537,27.6,33
"Dannevirke (Manawatū-Whanganui)","Summer",146.2,"mm","2015-12-01","2016-02-29",-40.21,176.109,-89.4,-78.2
"Dunedin (Otago)","Summer",141.20000000000002,"mm","2015-12-01","2016-02-29",-45.90129,170.5147,-34.3,-62.7
"Gisborne (Gisborne)","Summer",228.10000000000002,"mm","2015-12-01","2016-02-29",-38.6586,177.9851,25.5,26.7
"Gore (Southland)","Summer",255.2,"mm","2015-12-01","2016-02-29",-46.115,168.887,4.5,-15.8
"Hamilton (Waikato)","Summer",189.8,"mm","2015-12-01","2016-02-29",-37.86088,175.33175,-77.9,-60.6
"Hokitika (West Coast)","Summer",819.4,"mm","2015-12-01","2016-02-29",-42.71228,170.98428,165.9,105.2
"Invercargill (Southland)","Summer",306.7,"mm","2015-12-01","2016-02-29",-46.41741,168.33052,27.3,24.9
"Kerikeri (Northland)","Summer",453,"mm","2015-12-01","2016-02-29",-35.183,173.926,153.5,124
"Lake Tekapo (Canterbury)","Summer",153.2,"mm","2015-12-01","2016-02-29",-44.002,170.441,27.4,20
"Masterton (Wellington)","Summer",171.4,"mm","2015-12-01","2016-02-29",-40.957,175.707,16.1,10.4
"Milford Sound (Southland)","Summer",2453.2000000000003,"mm","2015-12-01","2016-02-29",-44.67384,167.92406,866.2,753.8
"Napier (Hawke's Bay)","Summer",156.3,"mm","2015-12-01","2016-02-29",-39.49846,176.91189,-7.9,-1.3
"Nelson (Nelson)","Summer",302.8,"mm","2015-12-01","2016-02-29",-41.299,173.226,108.8,87.6
"New Plymouth (Taranaki)","Summer",161,"mm","2015-12-01","2016-02-29",-39.0079,174.18382,-154.9,-126.9
"Queenstown (Otago)","Summer",125.20000000000002,"mm","2015-12-01","2016-02-29",-45.01758,168.74005,-28.3,-64.4
"Reefton (West Coast)","Summer",331.4,"mm","2015-12-01","2016-02-29",-42.11578,171.86014,-89.1,-78
"Rotorua (Bay of Plenty)","Summer",327,"mm","2015-12-01","2016-02-29",-38.10595,176.31485,-19.5,20.6
"Tara Hills (Canterbury)","Summer",123.4,"mm","2015-12-01","2016-02-29",-44.52612,169.88948,-25.1,-22
"Taumarunui (Manawatū-Whanganui)","Summer",344.9,"mm","2015-12-01","2016-02-29",-38.88784,175.25981,37.6,30.1
"Taupō (Waikato)","Summer",156,"mm","2015-12-01","2016-02-29",-38.74263,176.08104,-82,-69
"Tauranga (Bay of Plenty)","Summer",267,"mm","2015-12-01","2016-02-29",-37.673,176.196,-23.1,8.4
"Timaru (Canterbury)","Summer",168,"mm","2015-12-01","2016-02-29",-44.30517,171.22141,28.1,17
"Waiouru (Manawatū-Whanganui)","Summer",152.9,"mm","2015-12-01","2016-02-29",-39.46249,175.66283,-91.7,-84
"Wellington (Wellington)","Summer",161,"mm","2015-12-01","2016-02-29",-41.285,174.768,-82.3,-85.3
"Whanganui (Manawatū-Whanganui)","Summer",113,"mm","2015-12-01","2016-02-29",-39.93704,175.04509,-88.9,-100.1
"Whangaparāoa (Auckland)","Summer",355.4,"mm","2015-12-01","2016-02-29",-36.606,174.835,128.8,150.7
"Whangārei (Northland)","Summer",298.8,"mm","2015-12-01","2016-02-29",-35.769,174.364,-6.1,48.5
"Auckland (Auckland)","Spring",231.8,"mm","2015-09-01","2015-11-30",-37.00813,174.78873,-23.7,-19.1
"Blenheim (Marlborough)","Spring",87.6,"mm","2015-09-01","2015-11-30",-41.52133,173.86439,-83.6,-91.9
"Christchurch (Canterbury)","Spring",83.4,"mm","2015-09-01","2015-11-30",-43.493,172.537,-52.5,-53.5
"Dannevirke (Manawatū-Whanganui)","Spring",273.4,"mm","2015-09-01","2015-11-30",-40.21,176.109,30,-5.5
"Dunedin (Otago)","Spring",156,"mm","2015-09-01","2015-11-30",-45.90129,170.5147,2.5,-8.5
"Gisborne (Gisborne)","Spring",95,"mm","2015-09-01","2015-11-30",-38.6586,177.9851,-112.7,-102.8
"Gore (Southland)","Spring",261,"mm","2015-09-01","2015-11-30",-46.115,168.887,49.5,20.4
"Hamilton (Waikato)","Spring",317.4,"mm","2015-09-01","2015-11-30",-37.86088,175.33175,16.9,18.2
"Hokitika (West Coast)","Spring",538,"mm","2015-09-01","2015-11-30",-42.71228,170.98428,-246.4,-214.4
"Invercargill (Southland)","Spring",293.7,"mm","2015-09-01","2015-11-30",-46.41741,168.33052,39.7,5
"Kerikeri (Northland)","Spring",223.6,"mm","2015-09-01","2015-11-30",-35.183,173.926,-145.5,-113.9
"Lake Tekapo (Canterbury)","Spring",74.5,"mm","2015-09-01","2015-11-30",-44.002,170.441,-76,-73.4
"Masterton (Wellington)","Spring",229.6,"mm","2015-09-01","2015-11-30",-40.957,175.707,46.2,13.9
"Milford Sound (Southland)","Spring",1912.8000000000002,"mm","2015-09-01","2015-11-30",-44.67384,167.92406,307,281.1
"Napier (Hawke's Bay)","Spring",247.79999999999998,"mm","2015-09-01","2015-11-30",-39.49846,176.91189,93.4,81.8
"Nelson (Nelson)","Spring",117,"mm","2015-09-01","2015-11-30",-41.299,173.226,-116.7,-109.9
"New Plymouth (Taranaki)","Spring",191.8,"mm","2015-09-01","2015-11-30",-39.0079,174.18382,-161.6,-159.4
"Queenstown (Otago)","Spring",121.4,"mm","2015-09-01","2015-11-30",-45.01758,168.74005,-55.6,-63.3
"Reefton (West Coast)","Spring",258.4,"mm","2015-09-01","2015-11-30",-42.11578,171.86014,-301.7,-257.4
"Rotorua (Bay of Plenty)","Spring",262,"mm","2015-09-01","2015-11-30",-38.10595,176.31485,-79.3,-20.9
"Tara Hills (Canterbury)","Spring",64.3,"mm","2015-09-01","2015-11-30",-44.52612,169.88948,-72.4,-60.9
"Taumarunui (Manawatū-Whanganui)","Spring",315.4,"mm","2015-09-01","2015-11-30",-38.88784,175.25981,-60,-86.1
"Taupō (Waikato)","Spring",139,"mm","2015-09-01","2015-11-30",-38.74263,176.08104,-88.1,-78.8
"Tauranga (Bay of Plenty)","Spring",207.8,"mm","2015-09-01","2015-11-30",-37.673,176.196,-87,-25.4
"Timaru (Canterbury)","Spring",74.8,"mm","2015-09-01","2015-11-30",-44.30517,171.22141,-51,-63.3
"Waiouru (Manawatū-Whanganui)","Spring",253.39999999999998,"mm","2015-09-01","2015-11-30",-39.46249,175.66283,-1.6,-48.6
"Wellington (Wellington)","Spring",190,"mm","2015-09-01","2015-11-30",-41.285,174.768,-124.6,-143.1
"Whanganui (Manawatū-Whanganui)","Spring",174,"mm","2015-09-01","2015-11-30",-39.93704,175.04509,-31.5,-66.3
"Whangaparāoa (Auckland)","Spring",199.6,"mm","2015-09-01","2015-11-30",-36.606,174.835,-60.2,-22.1
"Whangārei (Northland)","Spring",288.79999999999995,"mm","2015-09-01","2015-11-30",-35.769,174.364,-30.5,23.3
"Auckland (Auckland)","Winter",425,"mm","2015-06-01","2015-08-31",-37.00813,174.78873,65.2,55.2
"Blenheim (Marlborough)","Winter",222,"mm","2015-06-01","2015-08-31",-41.52133,173.86439,24.5,13.7
"Christchurch (Canterbury)","Winter",173,"mm","2015-06-01","2015-08-31",-43.493,172.537,-5.5,-17.5
"Dannevirke (Manawatū-Whanganui)","Winter",256.2,"mm","2015-06-01","2015-08-31",-40.21,176.109,-39.9,-15.6
"Dunedin (Otago)","Winter",279.2,"mm","2015-06-01","2015-08-31",-45.90129,170.5147,107.6,119.8
"Gisborne (Gisborne)","Winter",324.6,"mm","2015-06-01","2015-08-31",-38.6586,177.9851,-23.8,7.1
"Gore (Southland)","Winter",298.8,"mm","2015-06-01","2015-08-31",-46.115,168.887,113.5,104.1
"Hamilton (Waikato)","Winter",316,"mm","2015-06-01","2015-08-31",-37.86088,175.33175,-56.7,-65.4
"Hokitika (West Coast)","Winter",1091.9,"mm","2015-06-01","2015-08-31",-42.71228,170.98428,419.9,359.4
"Invercargill (Southland)","Winter",308.7,"mm","2015-06-01","2015-08-31",-46.41741,168.33052,75,36.1
"Kerikeri (Northland)","Winter",403.2,"mm","2015-06-01","2015-08-31",-35.183,173.926,-162.4,-147.5
"Lake Tekapo (Canterbury)","Winter",160.1,"mm","2015-06-01","2015-08-31",-44.002,170.441,-9.7,-0.8
"Masterton (Wellington)","Winter",292,"mm","2015-06-01","2015-08-31",-40.957,175.707,26.1,22.5
"Milford Sound (Southland)","Winter",1630.4,"mm","2015-06-01","2015-08-31",-44.67384,167.92406,529,347.6
"Napier (Hawke's Bay)","Winter",118.9,"mm","2015-06-01","2015-08-31",-39.49846,176.91189,-116.8,-114.3
"Nelson (Nelson)","Winter",232.60000000000002,"mm","2015-06-01","2015-08-31",-41.299,173.226,-13,-14.3
"New Plymouth (Taranaki)","Winter",530,"mm","2015-06-01","2015-08-31",-39.0079,174.18382,73.4,115.2
"Queenstown (Otago)","Winter",172.8,"mm","2015-06-01","2015-08-31",-45.01758,168.74005,19.8,-2.7
"Reefton (West Coast)","Winter",600.8,"mm","2015-06-01","2015-08-31",-42.11578,171.86014,76.2,64
"Rotorua (Bay of Plenty)","Winter",358.6,"mm","2015-06-01","2015-08-31",-38.10595,176.31485,-53.3,-33.7
"Tara Hills (Canterbury)","Winter",118.4,"mm","2015-06-01","2015-08-31",-44.52612,169.88948,1.1,-3.6
"Taumarunui (Manawatū-Whanganui)","Winter",493.6,"mm","2015-06-01","2015-08-31",-38.88784,175.25981,106.7,62
"Taupō (Waikato)","Winter",285.6,"mm","2015-06-01","2015-08-31",-38.74263,176.08104,25.3,4.5
"Tauranga (Bay of Plenty)","Winter",277,"mm","2015-06-01","2015-08-31",-37.673,176.196,-111.4,-84.6
"Timaru (Canterbury)","Winter",121.8,"mm","2015-06-01","2015-08-31",-44.30517,171.22141,4.8,-9.2
"Waiouru (Manawatū-Whanganui)","Winter",367.1,"mm","2015-06-01","2015-08-31",-39.46249,175.66283,68.7,22.8
"Wellington (Wellington)","Winter",398.4,"mm","2015-06-01","2015-08-31",-41.285,174.768,-41.9,-4.8
"Whanganui (Manawatū-Whanganui)","Winter",395.8,"mm","2015-06-01","2015-08-31",-39.93704,175.04509,155,134.3
"Whangaparāoa (Auckland)","Winter",241.2,"mm","2015-06-01","2015-08-31",-36.606,174.835,-124.7,-84.9
"Whangārei (Northland)","Winter",333,"mm","2015-06-01","2015-08-31",-35.769,174.364,-152.9,-115
"Auckland (Auckland)","Autumn",273.5,"mm","2015-03-01","2015-05-31",-37.00813,174.78873,-1.1,-5.3
"Blenheim (Marlborough)","Autumn",141.8,"mm","2015-03-01","2015-05-31",-41.52133,173.86439,-42.1,-26.6
"Christchurch (Canterbury)","Autumn",121.7,"mm","2015-03-01","2015-05-31",-43.493,172.537,-46.5,-39.1
"Dannevirke (Manawatū-Whanganui)","Autumn",246.4,"mm","2015-03-01","2015-05-31",-40.21,176.109,-12.8,13
"Dunedin (Otago)","Autumn",147.4,"mm","2015-03-01","2015-05-31",-45.90129,170.5147,-38.8,-24.2
"Gisborne (Gisborne)","Autumn",430.1,"mm","2015-03-01","2015-05-31",-38.6586,177.9851,163.9,126.6
"Gore (Southland)","Autumn",249,"mm","2015-03-01","2015-05-31",-46.115,168.887,-3,15.3
"Hamilton (Waikato)","Autumn",408.8,"mm","2015-03-01","2015-05-31",-37.86088,175.33175,129.9,119.5
"Hokitika (West Coast)","Autumn",1049.1,"mm","2015-03-01","2015-05-31",-42.71228,170.98428,347.3,337.2
"Invercargill (Southland)","Autumn",262.5,"mm","2015-03-01","2015-05-31",-46.41741,168.33052,-47.9,-26.4
"Kerikeri (Northland)","Autumn",360.6,"mm","2015-03-01","2015-05-31",-35.183,173.926,-38,-66.5
"Lake Tekapo (Canterbury)","Autumn",176.89999999999998,"mm","2015-03-01","2015-05-31",-44.002,170.441,25.4,19.3
