Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
3925,20190606:0900,8.1,24,-2.7,24,-5.2,24,2.7,-,24,D
3925,20190607:0900,9.4,24,-1.5,24,-1.9,24,4,-,24,D
3925,20190608:0900,10.4,24,0.6,24,0,24,5.5,-,24,D
3925,20190609:0900,12.4,24,2.7,24,1,24,7.6,-,24,D
3925,20190610:0900,11.4,24,3,24,3.3,24,7.2,-,24,D
3925,20190611:0900,11.1,24,5.1,24,5.3,24,8.1,-,24,D
3925,20190612:0900,10.2,24,6.1,24,8.3,24,8.2,-,24,D
3925,20190613:0900,-,-,-,-,4.8,24,-,-,-,D
3925,20190614:0900,-,-,-,-,5.4,24,-,-,-,D
3925,20190615:0900,-,-,-,-,6.2,24,-,-,-,D
3925,20190616:0900,-,-,-,-,2.3,24,-,-,-,D
3925,20190617:0900,-,-,-,-,2.6,24,-,-,-,D
3925,20190618:0900,-,-,-,-,-1,24,-,-,-,D
3925,20190619:0900,-,-,-,-,-3,24,-,-,-,D
3925,20190620:0900,-,-,-,-,-2.4,24,-,-,-,D
3925,20190621:0900,-,-,-,-,0.3,24,-,-,-,D
3925,20190622:0900,-,-,-,-,-0.4,24,-,-,-,D
3925,20190623:0900,-,-,-,-,0.7,24,-,-,-,D
3925,20190624:0900,-,-,-,-,-0.6,24,-,-,-,D
3925,20190625:0900,-,-,-,-,-2.9,24,-,-,-,D
3925,20190626:0900,-,-,-,-,-3.7,24,-,-,-,D
3925,20190627:0900,-,-,-,-,-2,24,-,-,-,D
3925,20190628:0900,-,-,-,-,-4.4,24,-,-,-,D
3925,20190629:0900,9.9,24,-1.1,24,-4.2,24,4.4,-,24,D
3925,20190630:0900,7.5,24,1.5,24,-1.2,24,4.5,-,24,D
3925,20190701:0900,7.4,24,-0.5,24,-3.5,24,3.5,-,24,D
3925,20190702:0900,8.5,24,1.3,24,1,24,4.9,-,24,D
3925,20190703:0900,13.8,24,4.4,24,5.7,24,9.1,-,24,D
3925,20190704:0900,16.7,24,5.2,24,1.6,24,11,-,24,D
3925,20190705:0900,12.2,24,0.8,24,-0.7,24,6.5,-,24,D
3925,20190706:0900,11.7,24,-1.3,24,-3.4,24,5.2,-,24,D
3925,20190707:0900,13.7,24,-2.3,24,-5,24,5.7,-,24,D
3925,20190708:0900,6.9,24,-1.9,24,-1.3,24,2.5,-,24,D
3925,20190709:0900,9.4,24,4.4,24,2,24,6.9,-,24,D
3925,20190710:0900,11.1,24,3.9,24,2.6,24,7.5,-,24,D
3925,20190711:0900,10.5,24,4.9,24,2.8,24,7.7,-,24,D
3925,20190712:0900,14.6,24,2.5,24,0,24,8.6,-,24,D
3925,20190713:0900,10.4,24,4.7,24,3.2,24,7.6,-,24,D
3925,20190714:0900,15,24,5.4,24,6.4,24,10.2,-,24,D
3925,20190715:0900,11,24,3.8,24,1.8,24,7.4,-,24,D
3925,20190716:0900,11.3,24,4.1,24,5.4,24,7.7,-,24,D
3925,20190717:0900,11.7,24,5.4,24,3,24,8.6,-,24,D
3925,20190718:0900,8,24,2.8,24,2.2,24,5.4,-,24,D
3925,20190719:0900,11.2,24,2.9,24,4.7,24,7.1,-,24,D
3925,20190720:0900,9.3,24,6,24,6.6,24,7.7,-,24,D
3925,20190721:0900,12.1,24,6.4,24,6.4,24,9.3,-,24,D
3925,20190722:0900,13.2,24,3.1,24,3,24,8.2,-,24,D
3925,20190723:0900,13,24,3.7,24,3.9,24,8.4,-,24,D
3925,20190724:0900,12.3,24,2.2,24,-0.5,24,7.3,-,24,D
3925,20190725:0900,10,24,2.6,24,-0.3,24,6.3,-,24,D
3925,20190726:0900,14.5,24,0.4,24,-1.4,24,7.5,-,24,D
3925,20190727:0900,12.6,24,1.4,24,-1.1,24,7,-,24,D
3925,20190728:0900,13.6,24,3.1,24,0.7,24,8.4,-,24,D
3925,20190729:0900,11.4,24,4.4,24,3.5,24,7.9,-,24,D
3925,20190730:0900,12.9,24,5.2,24,7.8,24,9.1,-,24,D
3925,20190731:0900,13.4,24,2.2,24,-0.3,24,7.8,-,24,D
3925,20190801:0900,11.6,24,-2.5,24,-4.9,24,4.6,-,24,D
3925,20190802:0900,11.3,24,-1.8,24,-0.7,24,4.8,-,24,D
3925,20190803:0900,7.8,24,1.3,24,-0.1,24,4.6,-,24,D
3925,20190804:0900,8.5,24,1.1,24,-0.6,24,4.8,-,24,D
3925,20190805:0900,4.5,24,-0.2,24,-0.1,24,2.2,-,24,D
3925,20190806:0900,5.3,24,0.5,24,1.1,24,2.9,-,24,D
3925,20190807:0900,9.9,24,2.3,24,1,24,6.1,-,24,D
3925,20190808:0900,10.2,24,3.7,24,1.5,24,7,-,24,D
3925,20190809:0900,13.2,24,4.6,24,5.5,24,8.9,-,24,D
3925,20190810:0900,14,24,4.7,24,3.1,24,9.4,-,24,D
3925,20190811:0900,8.5,24,5.3,24,6.4,24,6.9,-,24,D
3925,20190812:0900,9.8,24,3.2,24,2,24,6.5,-,24,D
3925,20190813:0900,11.3,24,3.9,24,2.7,24,7.6,-,24,D
3925,20190814:0900,11.4,24,5.3,24,4.6,24,8.4,-,24,D
3925,20190815:0900,11.6,24,2.7,24,1,24,7.2,-,24,D
3925,20190816:0900,12.3,24,4.4,24,2.7,24,8.4,-,24,D
3925,20190817:0900,12.1,24,5.3,24,7.5,24,8.7,-,24,D
3925,20190818:0900,11.1,24,-1.2,24,-5.1,24,5,-,24,D
3925,20190819:0900,12.9,24,-3.2,24,-6.3,24,4.9,-,24,D
3925,20190820:0900,12.9,24,-1.6,24,-1.4,24,5.7,-,24,D
3925,20190821:0900,12.1,24,3.3,24,0.2,24,7.7,-,24,D
3925,20190822:0900,13.1,24,5.2,24,5.1,24,9.2,-,24,D
3925,20190823:0900,13.3,24,4,24,2.1,24,8.7,-,24,D
3925,20190824:0900,14.8,24,1.3,24,-1.3,24,8.1,-,24,D
3925,20190825:0900,14.1,24,2,24,3.3,24,8.1,-,24,D
3925,20190826:0900,12.7,24,5.1,24,7.3,24,8.9,-,24,D
3925,20190827:0900,12.2,24,4.7,24,3.2,24,8.5,-,24,D
3925,20190828:0900,13.4,24,4.6,24,1.3,24,9,-,24,D
3925,20190829:0900,14.1,24,5,24,4.7,24,9.6,-,24,D
3925,20190830:0900,14.3,24,4.6,24,2.2,24,9.5,-,24,D
3925,20190831:0900,13,24,4.3,24,1.1,24,8.7,-,24,D
3925,20190901:0900,13.4,24,0.4,24,-2.2,24,6.9,-,24,D
3925,20190902:0900,17.1,24,2.4,24,4.8,24,9.8,-,24,D
3925,20190903:0900,16.2,24,0.5,24,-0.9,24,8.4,-,24,D
3925,20190904:0900,18.6,24,2,24,4.7,24,10.3,-,24,D
3925,20190905:0900,11.8,24,7.1,24,7.4,24,9.5,-,24,D
3925,20190906:0900,13.7,24,7.6,24,7.4,24,10.7,-,24,D
3925,20190907:0900,13.2,24,-0.8,24,-3,24,6.2,-,24,D
3925,20190908:0900,16.6,24,0.6,24,-1,24,8.6,-,24,D
3925,20190909:0900,13,24,2.5,24,0.9,24,7.8,-,24,D
3925,20190910:0900,14,24,-3.3,24,-8.5,24,5.4,-,24,D
3925,20190911:0900,17.2,24,2.5,24,0.2,24,9.9,-,24,D
3925,20190912:0900,14.7,24,3.7,24,-1,24,9.2,-,24,D
3925,20190913:0900,14.4,24,6.7,24,5.2,24,10.6,-,24,D
3925,20190914:0900,14,24,7.9,24,7.5,24,11,-,24,D
3925,20190915:0900,9.8,24,6.6,24,6.5,24,8.2,-,24,D
3925,20190916:0900,14.6,24,5.1,24,3.5,24,9.9,-,24,D
3925,20190917:0900,13.6,24,7.5,24,7.4,24,10.6,-,24,D
3925,20190918:0900,12.2,24,1.5,24,-0.9,24,6.9,-,24,D
3925,20190919:0900,13.9,24,3.3,24,0.6,24,8.6,-,24,D
3925,20190920:0900,16.8,24,2.7,24,-0.5,24,9.8,-,24,D
3925,20190921:0900,20.1,24,3.7,24,2,24,11.9,-,24,D
3925,20190922:0900,17.7,24,7.8,24,9,24,12.8,-,24,D
3925,20190923:0900,15.9,24,7.9,24,7.1,24,11.9,-,24,D
3925,20190924:0900,14.5,24,7.1,24,4.2,24,10.8,-,24,D
3925,20190925:0900,14,24,4.4,24,2.5,24,9.2,-,24,D
3925,20190926:0900,9.1,24,0.7,24,0,24,4.9,-,24,D
3925,20190927:0900,9.4,24,3.4,24,5.6,24,6.4,-,24,D
3925,20190928:0900,13.3,24,7.8,24,6.5,24,10.6,-,24,D
3925,20190929:0800,15,24,8.2,24,7.5,24,11.6,-,24,D
3925,20190930:0800,18,24,9,24,10.3,24,13.5,-,24,D
3925,20191001:0800,14.8,24,4.4,24,2.6,24,9.6,-,24,D
3925,20191002:0800,13.7,24,3.2,24,-0.8,24,8.5,-,24,D
3925,20191003:0800,10.3,24,-0.2,24,-2.3,24,5.1,-,24,D
3925,20191004:0800,12.8,24,2.8,24,-0.3,24,7.8,-,24,D
3925,20191005:0800,14.6,24,5.3,24,3.1,24,10,-,24,D
3925,20191006:0800,13.1,24,-0.8,24,-2.7,24,6.2,-,24,D
3925,20191007:0800,16.4,24,2.9,24,-0.6,24,9.7,-,24,D
3925,20191008:0800,17.6,24,2.1,24,-2.1,24,9.9,-,24,D
3925,20191009:0800,14.4,24,5.3,24,7.8,24,9.9,-,24,D
3925,20191010:0800,17.1,24,7,24,3.5,24,12.1,-,24,D
3925,20191011:0800,14.1,24,9.2,24,8.2,24,11.7,-,24,D
3925,20191012:0800,15.8,24,6,24,4.1,24,10.9,-,24,D
3925,20191013:0800,18.8,24,5.7,24,3.1,24,12.3,-,24,D
3925,20191014:0800,18.8,24,7.4,24,5.3,24,13.1,-,24,D
3925,20191015:0800,17.4,24,7.5,24,6.8,24,12.5,-,24,D
3925,20191016:0800,19.6,24,3.1,24,-1.1,24,11.4,-,24,D
3925,20191017:0800,21.2,24,7.5,24,2.6,24,14.4,-,24,D
3925,20191018:0800,16.8,24,9.7,24,10.1,24,13.3,-,24,D
3925,20191019:0800,14.1,24,7.5,24,4.1,24,10.8,-,24,D
3925,20191020:0800,19.7,24,8.2,24,3.6,24,14,-,24,D
3925,20191021:0800,18.9,24,9.2,24,7.7,24,14.1,-,24,D
3925,20191022:0800,13.4,24,4.1,24,1.5,24,8.8,-,24,D
3925,20191023:0800,11,24,3,24,1.2,24,7,-,24,D
3925,20191024:0800,15.8,24,5,24,2.3,24,10.4,-,24,D
3925,20191025:0800,13,24,5.3,24,5.6,24,9.2,-,24,D
3925,20191026:0800,13.3,24,6.1,24,4.1,24,9.7,-,24,D
3925,20191027:0800,20.3,24,5.8,24,3.8,24,13.1,-,24,D
3925,20191028:0800,17.5,24,9.4,24,8.4,24,13.5,-,24,D
3925,20191029:0800,17.6,24,6.7,24,5.7,24,12.2,-,24,D
3925,20191030:0800,14.6,24,5.6,24,3.5,24,10.1,-,24,D
3925,20191031:0800,16.1,24,6.7,24,5.8,24,11.4,-,24,D
3925,20191101:0800,15.3,24,7.3,24,7.1,24,11.3,-,24,D
3925,20191102:0800,16.2,24,8.3,24,5.3,24,12.3,-,24,D
3925,20191103:0800,22.4,24,9.5,24,7.6,24,16,-,24,D
3925,20191104:0800,26.7,24,8,24,5.2,24,17.4,-,24,D
3925,20191105:0800,22.5,24,7.6,24,4.5,24,15.1,-,24,D
3925,20191106:0800,19.8,24,12.9,24,13.1,24,16.4,-,24,D
3925,20191107:0800,18.8,24,12.4,24,10.4,24,15.6,-,24,D
3925,20191108:0800,19.4,24,14.3,24,14.8,24,16.9,-,24,D
3925,20191109:0800,21.8,24,15.1,24,14.5,24,18.5,-,24,D
3925,20191110:0800,19.8,24,14.4,24,15.2,24,17.1,-,24,D
3925,20191111:0800,19,24,9.1,24,10.1,24,14.1,-,24,D
3925,20191112:0800,17.2,24,3.8,24,0.6,24,10.5,-,24,D
3925,20191113:0800,19.6,24,4.6,24,1,24,12.1,-,24,D
3925,20191114:0800,15.5,24,10.1,24,9.8,24,12.8,-,24,D
3925,20191115:0800,15.8,24,6.7,24,3.6,24,11.3,-,24,D
3925,20191116:0800,17.5,24,9.3,24,10.1,24,13.4,-,24,D
3925,20191117:0800,16.1,24,8,24,5.3,24,12.1,-,24,D
3925,20191118:0800,20.2,24,6.3,24,2.4,24,13.3,-,24,D
3925,20191119:0800,14,24,4.7,24,1.6,24,9.4,-,24,D
3925,20191120:0800,13,24,7.6,24,5.6,24,10.3,-,24,D
3925,20191121:0800,15.3,24,5.9,24,4,24,10.6,-,24,D
3925,20191122:0800,17.5,24,6.6,24,3.6,24,12.1,-,24,D
3925,20191123:0800,21.9,24,8.4,24,5.1,24,15.2,-,24,D
3925,20191124:0800,25.1,24,11.2,24,8.2,24,18.2,-,24,D
3925,20191125:0800,23.3,24,7.5,24,2.1,24,15.4,-,24,D
3925,20191126:0800,24.5,24,5.7,24,2.3,24,15.1,-,24,D
3925,20191127:0800,26.4,24,5.5,24,1.5,24,16,-,24,D
3925,20191128:0800,23.7,24,11.6,24,13,24,17.7,-,24,D
3925,20191129:0800,24.9,24,11,24,7.3,24,18,-,24,D
3925,20191130:0800,27.3,24,11.6,24,8.3,24,19.5,-,24,D
3925,20191201:0800,26.6,24,13.4,24,10.7,24,20,-,24,D
3925,20191202:0800,18.6,24,13.2,24,11.9,24,15.9,-,24,D
3925,20191203:0800,19.2,24,15.2,24,15.3,24,17.2,-,24,D
3925,20191204:0800,17.3,24,11.3,24,10.9,24,14.3,-,24,D
3925,20191205:0800,15.8,24,8.4,24,8.7,24,12.1,-,24,D
3925,20191206:0800,17.5,24,8.8,24,6.5,24,13.2,-,24,D
3925,20191207:0800,17.9,24,14.2,24,13.8,24,16.1,-,24,D
3925,20191208:0800,20.1,24,10.3,24,8.8,24,15.2,-,24,D
3925,20191209:0800,16.2,24,6.8,24,3.8,24,11.5,-,24,D
3925,20191210:0800,18.7,24,4.2,24,0.8,24,11.5,-,24,D
3925,20191211:0800,22.3,24,8.7,24,7,24,15.5,-,24,D
3925,20191212:0800,25.1,24,8.3,24,5.2,24,16.7,-,24,D
3925,20191213:0800,27.5,24,9.1,24,6.1,24,18.3,-,24,D
3925,20191214:0800,20.7,24,7.3,24,4.6,24,14,-,24,D
3925,20191215:0800,19,24,5.2,24,2.5,24,12.1,-,24,D
3925,20191216:0800,18.3,24,12,24,12.5,24,15.2,-,24,D
3925,20191217:0800,18,24,13.2,24,13.8,24,15.6,-,24,D
