Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
3925,20101125:2259,10.5,24,D
3925,20101126:2259,12.6,24,D
3925,20101127:2259,10.9,24,D
3925,20101128:2259,9.5,24,D
3925,20101129:2259,13.4,24,D
3925,20101130:2259,10.8,24,D
3925,20101201:2259,5.9,24,D
3925,20101202:2259,11.8,24,D
3925,20101203:2259,7.9,24,D
3925,20101204:2259,11.6,24,D
3925,20101205:2259,5.7,24,D
3925,20101206:2259,2.4,24,D
3925,20101207:2259,6,24,D
3925,20101208:2259,6.8,24,D
3925,20101209:2259,7.9,24,D
3925,20101210:2259,3.6,24,D
3925,20101211:2259,7.4,24,D
3925,20101212:2259,6.4,24,D
3925,20101213:2259,1.5,24,D
3925,20101214:2259,9.9,24,D
3925,20101215:2259,13.4,24,D
3925,20101216:2259,2.2,24,D
3925,20101217:2259,0,24,D
3925,20101218:2259,9.5,24,D
3925,20101219:2259,2.3,24,D
3925,20101220:2259,0.1,24,D
3925,20101221:2259,0.5,24,D
3925,20101222:2259,4.1,24,D
3925,20101223:2259,8.3,24,D
3925,20101224:2259,3.7,24,D
3925,20101225:2259,5.9,24,D
3925,20101226:2259,3.8,24,D
3925,20101227:2259,1.4,24,D
3925,20101228:2259,1.1,24,D
3925,20101229:2259,12.1,24,D
3925,20101230:2259,10.4,24,D
3925,20101231:2259,4.5,24,D
3925,20110101:2259,10.9,24,D
3925,20110102:2259,3.2,24,D
3925,20110103:2259,5.2,24,D
3925,20110104:2259,2.8,24,D
3925,20110105:2259,0,24,D
3925,20110106:2259,1.5,24,D
3925,20110107:2259,9.9,24,D
3925,20110108:2259,13,24,D
3925,20110109:2259,13.5,24,D
3925,20110110:2259,12.6,24,D
3925,20110111:2259,5.5,24,D
3925,20110112:2259,6.1,24,D
3925,20110113:2259,8.1,24,D
3925,20110114:2259,11.7,24,D
3925,20110115:2259,5.4,24,D
3925,20110116:2259,2,24,D
3925,20110117:2259,8.6,24,D
3925,20110118:2259,0,24,D
3925,20110119:2259,7.9,24,D
3925,20110120:2259,7.3,24,D
3925,20110121:2259,3,24,D
3925,20110122:2259,9.9,24,D
3925,20110123:2259,3.2,24,D
3925,20110124:2259,12.9,24,D
3925,20110125:2259,11.4,24,D
3925,20110126:2259,10.1,24,D
3925,20110127:2259,11,24,D
3925,20110128:2259,8.6,24,D
3925,20110129:2259,4.2,24,D
3925,20110130:2259,1.2,24,D
3925,20110131:2259,5.6,24,D
3925,20110201:2259,6.8,24,D
3925,20110202:2259,1.2,24,D
3925,20110203:2259,3.8,24,D
3925,20110204:2259,5.3,24,D
3925,20110205:2259,6.8,24,D
3925,20110206:2259,4.9,24,D
3925,20110207:2259,1.8,24,D
3925,20110208:2259,10.4,24,D
3925,20110209:2259,11.1,24,D
3925,20110210:2259,11.2,24,D
3925,20110211:2259,11.9,24,D
3925,20110212:2259,5.7,24,D
3925,20110213:2259,0.2,24,D
3925,20110214:2259,7,24,D
3925,20110215:2259,10.4,24,D
3925,20110216:2259,11.1,24,D
3925,20110217:2259,10.4,24,D
3925,20110218:2259,4,24,D
3925,20110219:2259,3.1,24,D
3925,20110220:2259,6,24,D
3925,20110221:2259,5,24,D
3925,20110222:2259,0,24,D
3925,20110223:2259,4.5,24,D
3925,20110224:2259,8.6,24,D
3925,20110225:2259,5,24,D
3925,20110226:2259,6.8,24,D
