Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C),,,,,,
20090719,4.6,4.3,95,3.9,,,,,,
20090720,3.5,3.5,99,3.4,,,,,,
20090721,4.8,4.7,99,4.7,,,,,,
20090722,4.4,4.3,99,4.3,,,,,,
20090723,9.1,8.4,91,7.7,,,,,,
20090724,5,4.8,97,4.6,,,,,,
20090725,-2.9,-2.9,98,-3.2,,,,,,
20090726,-0.2,-0.2,99,-0.3,,,,,,
20090727,0.6,0.5,98,0.3,,,,,,
20090728,2.9,2.6,95,2.2,,,,,,
20090729,4.4,4.3,99,4.3,,,,,,
20090730,6.2,6.1,99,6.1,,,,,,
20090731,6.2,6.1,99,6.1,,,,,,
20090801,6.3,6.1,97,5.9,,,,,,
20090802,4.8,4.7,99,4.7,,,,,,
20090803,4.9,4.8,98,4.6,,,,,,
20090804,9.4,8.9,93,8.3,,,,,,
20090805,4.2,4.1,98,3.9,,,,,,
20090806,2.9,2.8,98,2.6,,,,,,
20090807,3,3,99,2.9,,,,,,
20090808,0.9,0.9,99,0.8,,,,,,
20090809,0.4,0.4,99,0.3,,,,,,
20090810,1,1,99,0.9,,,,,,
20090811,5.3,4.9,94,4.4,,,,,,
20090812,8.2,8.1,98,7.9,,,,,,
20090813,10.2,9.9,96,9.6,,,,,,
20090814,10.1,9.8,96,9.5,,,,,,
20090815,6.9,6.8,98,6.6,,,,,,
20090816,11,10.7,96,10.4,,,,,,
20090817,5.4,5.3,98,5.1,,,,,,
20090818,8.6,8.4,97,8.2,,,,,,
20090819,3.7,2.6,81,0.8,,,,,,
20090820,0.1,0,98,-0.2,,,,,,
20090821,0.9,0.8,98,0.6,,,,,,
20090822,3.5,3.4,98,3.2,,,,,,
20090823,8.1,7.7,94,7.2,,,,,,
20090824,8.1,8,98,7.8,,,,,,
20090825,12.3,11.1,86,10,,,,,,
20090826,10.4,9.9,94,9.5,,,,,,
20090827,7.8,7.6,97,7.4,,,,,,
20090828,8.1,8,98,7.8,,,,,,
20090829,8.6,8.5,98,8.3,,,,,,
20090830,8.9,7.8,85,6.5,,,,,,
20090831,10.1,8.6,81,7,,,,,,
