Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C),,,,,,
,4,10,,,,,,,,
,2.3,10,,,,,,,,
,2.3,10,,,,,,,,
,2.3,10,,,,,,,,
,2.9,10,,,,,,,,
,5.6,10,,,,,,,,
,6.6,10,,,,,,,,
,4,10,,,,,,,,
,3.4,10,,,,,,,,
,3.1,10,,,,,,,,
,5.1,10,,,,,,,,
,8.5,10,,,,,,,,
,7.3,10,,,,,,,,
,8.1,10,,,,,,,,
,3.6,10,,,,,,,,
,5.3,10,,,,,,,,
,6.1,10,,,,,,,,
,6.4,10,,,,,,,,
,5.7,10,,,,,,,,
,3.8,10,,,,,,,,
,6.9,10,,,,,,,,
,7.4,10,,,,,,,,
,6.2,10,,,,,,,,
,6.7,10,,,,,,,,
,5.2,10,,,,,,,,
,7,10,,,,,,,,
,7.7,10,,,,,,,,
,5.4,10,,,,,,,,
,5.5,10,,,,,,,,
,4.9,10,,,,,,,,
,6,10,,,,,,,,
,6,10,,,,,,,,
,6.5,10,,,,,,,,
,7.6,10,,,,,,,,
,4.6,10,,,,,,,,
,6.4,10,,,,,,,,
,6.9,10,,,,,,,,
,7.7,10,,,,,,,,
,5.6,10,,,,,,,,
,4.2,10,,,,,,,,
,3.8,10,,,,,,,,
,5.2,10,,,,,,,,
,7.4,10,,,,,,,,
,8.4,10,,,,,,,,
,7.5,10,,,,,,,,
,7.6,10,,,,,,,,
,5.8,10,,,,,,,,
,6.5,10,,,,,,,,
,5.4,10,,,,,,,,
,6.8,10,,,,,,,,
,7.3,10,,,,,,,,
,7.4,10,,,,,,,,
,8.5,10,,,,,,,,
,5.2,10,,,,,,,,
,4.8,10,,,,,,,,
,6.2,10,,,,,,,,
,6.7,10,,,,,,,,
,7.5,10,,,,,,,,
,4.4,10,,,,,,,,
,4.1,10,,,,,,,,
,5.9,10,,,,,,,,
,7.2,10,,,,,,,,
,7.3,10,,,,,,,,
,7.1,10,,,,,,,,
,7.4,10,,,,,,,,
,7.1,10,,,,,,,,
,7.1,10,,,,,,,,
,5.5,10,,,,,,,,
,7.6,10,,,,,,,,
,8.7,10,,,,,,,,
,4.9,10,,,,,,,,
,4.5,10,,,,,,,,
,5.4,10,,,,,,,,
,3.7,10,,,,,,,,
,3.7,10,,,,,,,,
,8.7,10,,,,,,,,
,7.8,10,,,,,,,,
,10.6,10,,,,,,,,
,11.2,10,,,,,,,,
,11.2,10,,,,,,,,
,11.4,10,,,,,,,,
,9.4,10,,,,,,,,
,10.4,10,,,,,,,,
,11.5,10,,,,,,,,
,9.3,10,,,,,,,,
,8.6,10,,,,,,,,
,8.2,10,,,,,,,,
,10.6,10,,,,,,,,
,9.4,10,,,,,,,,
,11.1,10,,,,,,,,
,10.6,10,,,,,,,,
,10.3,10,,,,,,,,
,9.6,10,,,,,,,,
,9.8,10,,,,,,,,
,10.4,10,,,,,,,,
,10.4,10,,,,,,,,
,9.1,10,,,,,,,,
,10.3,10,,,,,,,,
,11.1,10,,,,,,,,
,10.2,10,,,,,,,,
,9.5,10,,,,,,,,
,11.4,10,,,,,,,,
,10.8,10,,,,,,,,
,11.6,10,,,,,,,,
,11.1,10,,,,,,,,
,10.8,10,,,,,,,,
,11.1,10,,,,,,,,
,12.5,10,,,,,,,,
,11.7,10,,,,,,,,
,6.5,10,,,,,,,,
,9.2,10,,,,,,,,
,10.8,10,,,,,,,,
,11.6,10,,,,,,,,
,12.2,10,,,,,,,,
,12.8,10,,,,,,,,
,13.7,10,,,,,,,,
,15,10,,,,,,,,
,15,10,,,,,,,,
,14.8,10,,,,,,,,
,15.2,10,,,,,,,,
,15.9,10,,,,,,,,
,15.3,10,,,,,,,,
,13.1,10,,,,,,,,
,13.5,10,,,,,,,,
,12.8,10,,,,,,,,
,13.7,10,,,,,,,,
,13.5,10,,,,,,,,
,12,10,,,,,,,,
,11,10,,,,,,,,
,12.5,10,,,,,,,,
,11.6,10,,,,,,,,
,12.1,10,,,,,,,,
,13.3,10,,,,,,,,
,12.9,10,,,,,,,,
,15.8,10,,,,,,,,
,15.9,10,,,,,,,,
,11.8,10,,,,,,,,
,12.4,10,,,,,,,,
,13.1,10,,,,,,,,
,14.2,10,,,,,,,,
,14.9,10,,,,,,,,
,15.2,10,,,,,,,,
,16.9,10,,,,,,,,
,15.9,10,,,,,,,,
,16.4,10,,,,,,,,
,12.8,10,,,,,,,,
,10.6,10,,,,,,,,
,11.7,10,,,,,,,,
,12.5,10,,,,,,,,
,13.7,10,,,,,,,,
,16.2,10,,,,,,,,
,9,10,,,,,,,,
,8.8,10,,,,,,,,
,6.4,10,,,,,,,,
,3.3,10,,,,,,,,
,2.1,10,,,,,,,,
,2.7,10,,,,,,,,
,6.7,10,,,,,,,,
,5.6,10,,,,,,,,
,4.6,10,,,,,,,,
,3.5,10,,,,,,,,
,2.6,10,,,,,,,,
,2.3,10,,,,,,,,
,2.5,10,,,,,,,,
,1.6,10,,,,,,,,
,2.8,10,,,,,,,,
,3.7,10,,,,,,,,
,2.8,10,,,,,,,,
,5,10,,,,,,,,
,11.1,10,,,,,,,,
,6.2,10,,,,,,,,
,2.3,10,,,,,,,,
,1.7,10,,,,,,,,
,1.6,10,,,,,,,,
,5.2,10,,,,,,,,
,5.6,10,,,,,,,,
,5.7,10,,,,,,,,
,6.3,10,,,,,,,,
,6.5,10,,,,,,,,
,6.3,10,,,,,,,,
,10.4,10,,,,,,,,
,5.9,10,,,,,,,,
,7.4,10,,,,,,,,
,7.2,10,,,,,,,,
,5.4,10,,,,,,,,
,7.2,10,,,,,,,,
,7.1,10,,,,,,,,
,7.7,10,,,,,,,,
,5.4,10,,,,,,,,
,6.3,10,,,,,,,,
,5.1,10,,,,,,,,
,5.1,10,,,,,,,,
,6.3,10,,,,,,,,
,6.3,10,,,,,,,,
,8.7,10,,,,,,,,
,5.4,10,,,,,,,,
,1,10,,,,,,,,
,-0.1,10,,,,,,,,
,3.9,10,,,,,,,,
,2.8,10,,,,,,,,
,4.4,10,,,,,,,,
,5.3,10,,,,,,,,
,5.8,10,,,,,,,,
,7.1,10,,,,,,,,
,6.7,10,,,,,,,,
,6.4,10,,,,,,,,
,5.3,10,,,,,,,,
,7.1,10,,,,,,,,
,7,10,,,,,,,,
,5.8,10,,,,,,,,
,6.9,10,,,,,,,,
,8.6,10,,,,,,,,
,2.1,10,,,,,,,,
,2,10,,,,,,,,
,5.6,10,,,,,,,,
,5.8,10,,,,,,,,
,7.3,10,,,,,,,,
,7,10,,,,,,,,
,5,10,,,,,,,,
,7.5,10,,,,,,,,
,8.8,10,,,,,,,,
,7.7,10,,,,,,,,
,7.9,10,,,,,,,,
,8.3,10,,,,,,,,
,7.3,10,,,,,,,,
,8.3,10,,,,,,,,
,5.4,10,,,,,,,,
,9.2,10,,,,,,,,
,1.3,10,,,,,,,,
,9,10,,,,,,,,
,8.4,10,,,,,,,,
,9.8,10,,,,,,,,
,4.8,10,,,,,,,,
,6,10,,,,,,,,
,6.3,10,,,,,,,,
,2.5,10,,,,,,,,
,7.1,10,,,,,,,,
,8.3,10,,,,,,,,
,10,10,,,,,,,,
,9.6,10,,,,,,,,
,8.9,10,,,,,,,,
,9.3,10,,,,,,,,
,9.8,10,,,,,,,,
,8,10,,,,,,,,
,7.7,10,,,,,,,,
,9,10,,,,,,,,
,8.7,10,,,,,,,,
,12,10,,,,,,,,
,11.2,10,,,,,,,,
,10.8,10,,,,,,,,
,9.8,10,,,,,,,,
,9.6,10,,,,,,,,
,10.8,10,,,,,,,,
,10.4,10,,,,,,,,
,8.8,10,,,,,,,,
,10.2,10,,,,,,,,
,6.1,10,,,,,,,,
,10,10,,,,,,,,
,9.6,10,,,,,,,,
,13.2,10,,,,,,,,
,11.9,10,,,,,,,,
,11.9,10,,,,,,,,
,11,10,,,,,,,,
,3.7,10,,,,,,,,
,12.7,10,,,,,,,,
,-9.9,10,,,,,,,,
,9.9,10,,,,,,,,
,13.2,10,,,,,,,,
,13,10,,,,,,,,
,12,10,,,,,,,,
,13.3,10,,,,,,,,
,13.3,10,,,,,,,,
,10.7,10,,,,,,,,
,8.3,10,,,,,,,,
,10.6,10,,,,,,,,
,10.5,10,,,,,,,,
,11.7,10,,,,,,,,
,12.1,10,,,,,,,,
,13.4,10,,,,,,,,
,11.7,10,,,,,,,,
,11.7,10,,,,,,,,
,13.3,10,,,,,,,,
,12.5,10,,,,,,,,
,13.4,10,,,,,,,,
,14.7,10,,,,,,,,
,14.9,10,,,,,,,,
,15.4,10,,,,,,,,
,16.2,10,,,,,,,,
,16.9,10,,,,,,,,
,17.4,10,,,,,,,,
,4.9,10,,,,,,,,
,1,10,,,,,,,,
,1.7,10,,,,,,,,
,12.1,10,,,,,,,,
,13.3,10,,,,,,,,
,1.5,10,,,,,,,,
,13.2,10,,,,,,,,
,14,10,,,,,,,,
,14,10,,,,,,,,
,12.3,10,,,,,,,,
,12.6,10,,,,,,,,
,13.5,10,,,,,,,,
,13.3,10,,,,,,,,
,13.8,10,,,,,,,,
,12.8,10,,,,,,,,
,16.6,10,,,,,,,,
,15.8,10,,,,,,,,
,15.1,10,,,,,,,,
,15.1,10,,,,,,,,
,18.2,10,,,,,,,,
,18.7,10,,,,,,,,
,20,10,,,,,,,,
,18.7,10,,,,,,,,
,17.4,10,,,,,,,,
,16.8,10,,,,,,,,
,15.4,10,,,,,,,,
,15.8,10,,,,,,,,
,16.5,10,,,,,,,,
,15.8,10,,,,,,,,
,13.8,10,,,,,,,,
,14.3,10,,,,,,,,
,14.2,10,,,,,,,,
,15.9,10,,,,,,,,
,17.3,10,,,,,,,,
,17.2,10,,,,,,,,
,15.6,10,,,,,,,,
,15.4,10,,,,,,,,
,17.1,10,,,,,,,,
,16.3,10,,,,,,,,
,14,10,,,,,,,,
,14.2,10,,,,,,,,
,14.2,10,,,,,,,,
,12.5,10,,,,,,,,
,15.4,10,,,,,,,,
,16.2,10,,,,,,,,
,15.9,10,,,,,,,,
,17.6,10,,,,,,,,
,17.2,10,,,,,,,,
,17,10,,,,,,,,
,15.8,10,,,,,,,,
,15.3,10,,,,,,,,
,17.4,10,,,,,,,,
,18.4,10,,,,,,,,
,17.3,10,,,,,,,,
,17.9,10,,,,,,,,
,17.4,10,,,,,,,,
,15.4,10,,,,,,,,
,14.7,10,,,,,,,,
,13.8,10,,,,,,,,
,14.7,10,,,,,,,,
,15.8,10,,,,,,,,
,14.6,10,,,,,,,,
,14.7,10,,,,,,,,
,15.1,10,,,,,,,,
,18.2,10,,,,,,,,
,15.3,10,,,,,,,,
,14.9,10,,,,,,,,
,16.9,10,,,,,,,,
,18,10,,,,,,,,
,17.7,10,,,,,,,,
,19.4,10,,,,,,,,
,18.9,10,,,,,,,,
,19.8,10,,,,,,,,
,19.5,10,,,,,,,,
,19.4,10,,,,,,,,
,20,10,,,,,,,,
,21,10,,,,,,,,
,20.9,10,,,,,,,,
,20.6,10,,,,,,,,
,22.4,10,,,,,,,,
,21.4,10,,,,,,,,
,20.7,10,,,,,,,,
,18.3,10,,,,,,,,
,18.4,10,,,,,,,,
,16.7,10,,,,,,,,
,19.6,10,,,,,,,,
,20.2,10,,,,,,,,
,20,10,,,,,,,,
,16.6,10,,,,,,,,
,15.8,10,,,,,,,,
,15.2,10,,,,,,,,
,15.7,10,,,,,,,,
,12.7,10,,,,,,,,
,15.3,10,,,,,,,,
,17.4,10,,,,,,,,
,17.9,10,,,,,,,,
,18.5,10,,,,,,,,
,17,10,,,,,,,,
,18.4,10,,,,,,,,
,19.3,10,,,,,,,,
,19.3,10,,,,,,,,
,19.7,10,,,,,,,,
,18.9,10,,,,,,,,
,17.7,10,,,,,,,,
,18.3,10,,,,,,,,
,17.4,10,,,,,,,,
,12.9,10,,,,,,,,
,14.9,10,,,,,,,,
,16.6,10,,,,,,,,
,17,10,,,,,,,,
,17,10,,,,,,,,
,17.9,10,,,,,,,,
,16.9,10,,,,,,,,
,13.6,10,,,,,,,,
,16.4,10,,,,,,,,
,18.6,10,,,,,,,,
,15.3,10,,,,,,,,
,15.1,10,,,,,,,,
,13.8,10,,,,,,,,
,15.2,10,,,,,,,,
,16.3,10,,,,,,,,
,17,10,,,,,,,,
,16.8,10,,,,,,,,
,16.5,10,,,,,,,,
,16.8,10,,,,,,,,
,16.9,10,,,,,,,,
,16.4,10,,,,,,,,
,15,10,,,,,,,,
,15.5,10,,,,,,,,
,13,10,,,,,,,,
,11.9,10,,,,,,,,
,15.1,10,,,,,,,,
,15.1,10,,,,,,,,
,14.6,10,,,,,,,,
,14.7,10,,,,,,,,
,14.8,10,,,,,,,,
,10.4,10,,,,,,,,
,12.9,10,,,,,,,,
,13,10,,,,,,,,
,12.8,10,,,,,,,,
,8.6,10,,,,,,,,
,9.6,10,,,,,,,,
,10.4,10,,,,,,,,
,11.5,10,,,,,,,,
,10.7,10,,,,,,,,
,9.6,10,,,,,,,,
,13,10,,,,,,,,
,11.7,10,,,,,,,,
,12.7,10,,,,,,,,
,14.6,10,,,,,,,,
,15,10,,,,,,,,
,13.5,10,,,,,,,,
,11.5,10,,,,,,,,
,9.1,10,,,,,,,,
,12.2,10,,,,,,,,
,13.7,10,,,,,,,,
,12.7,10,,,,,,,,
,7.6,10,,,,,,,,
,8.1,10,,,,,,,,
,10.8,10,,,,,,,,
,11.1,10,,,,,,,,
,12.1,10,,,,,,,,
,11.2,10,,,,,,,,
,10.9,10,,,,,,,,
,8.8,10,,,,,,,,
,10.8,10,,,,,,,,
,11.3,10,,,,,,,,
,11,10,,,,,,,,
,10,10,,,,,,,,
,9.9,10,,,,,,,,
,10.9,10,,,,,,,,
,10.6,10,,,,,,,,
,8.4,10,,,,,,,,
,7.6,10,,,,,,,,
,11,10,,,,,,,,
,11.7,10,,,,,,,,
,12.2,10,,,,,,,,
,11.8,10,,,,,,,,
,10.5,10,,,,,,,,
,5.1,10,,,,,,,,
,8.6,10,,,,,,,,
,10.4,10,,,,,,,,
,9.3,10,,,,,,,,
,9.5,10,,,,,,,,
,9.9,10,,,,,,,,
,11.5,10,,,,,,,,
,10.1,10,,,,,,,,
,10.6,10,,,,,,,,
,7.2,10,,,,,,,,
,9.2,10,,,,,,,,
,7.7,10,,,,,,,,
,6.4,10,,,,,,,,
,6.2,10,,,,,,,,
,7.3,10,,,,,,,,
,3.5,10,,,,,,,,
,2.5,10,,,,,,,,
,7,10,,,,,,,,
,6.8,10,,,,,,,,
,8.9,10,,,,,,,,
,6.8,10,,,,,,,,
,4.1,10,,,,,,,,
,5.1,10,,,,,,,,
,5,10,,,,,,,,
,5.3,10,,,,,,,,
,4.2,10,,,,,,,,
,4.1,10,,,,,,,,
,5.1,10,,,,,,,,
,6.5,10,,,,,,,,
,8.7,10,,,,,,,,
,4.8,10,,,,,,,,
,7.4,10,,,,,,,,
,6.2,10,,,,,,,,
,7,10,,,,,,,,
,7.6,10,,,,,,,,
,8.3,10,,,,,,,,
,9.5,10,,,,,,,,
,5.5,10,,,,,,,,
,5.1,10,,,,,,,,
,5.6,10,,,,,,,,
,10.7,10,,,,,,,,
,10.8,10,,,,,,,,
,10.9,10,,,,,,,,
,7.9,10,,,,,,,,
,5.8,10,,,,,,,,
,4.6,10,,,,,,,,
,4.9,10,,,,,,,,
,5.3,10,,,,,,,,
,5.6,10,,,,,,,,
,3.4,10,,,,,,,,
,3.9,10,,,,,,,,
,6.9,10,,,,,,,,
,8.6,10,,,,,,,,
,6.7,10,,,,,,,,
,3.2,10,,,,,,,,
,2.4,10,,,,,,,,
,2.1,10,,,,,,,,
,4.2,10,,,,,,,,
,7,10,,,,,,,,
,8.4,10,,,,,,,,
,4.7,10,,,,,,,,
,5.7,10,,,,,,,,
,3.3,10,,,,,,,,
,2.8,10,,,,,,,,
,4.5,10,,,,,,,,
,5.6,10,,,,,,,,
,7.1,10,,,,,,,,
,2.8,10,,,,,,,,
,2.5,10,,,,,,,,
,7,10,,,,,,,,
,9.3,10,,,,,,,,
,6.2,10,,,,,,,,
,4.9,10,,,,,,,,
,4.3,10,,,,,,,,
,5.2,10,,,,,,,,
,6.3,10,,,,,,,,
,5,10,,,,,,,,
,3.2,10,,,,,,,,
,6.3,10,,,,,,,,
,7.4,10,,,,,,,,
,7,10,,,,,,,,
,8.1,10,,,,,,,,
,8.7,10,,,,,,,,
,9.2,10,,,,,,,,
,9.7,10,,,,,,,,
,9,10,,,,,,,,
,8.9,10,,,,,,,,
,7.6,10,,,,,,,,
,5.6,10,,,,,,,,
,6.3,10,,,,,,,,
,8.4,10,,,,,,,,
,7.7,10,,,,,,,,
,5.9,10,,,,,,,,
,5.7,10,,,,,,,,
,6.2,10,,,,,,,,
,6.5,10,,,,,,,,
,4.2,10,,,,,,,,
,4.8,10,,,,,,,,
,3.7,10,,,,,,,,
,8.4,10,,,,,,,,
,9,10,,,,,,,,
,9.8,10,,,,,,,,
,8.9,10,,,,,,,,
,7.8,10,,,,,,,,
,9.4,10,,,,,,,,
,7.3,10,,,,,,,,
,4.9,10,,,,,,,,
,6.8,10,,,,,,,,
,7,10,,,,,,,,
,8.7,10,,,,,,,,
,8.5,10,,,,,,,,
,9.7,10,,,,,,,,
,10.4,10,,,,,,,,
,7.1,10,,,,,,,,
,4.8,10,,,,,,,,
,7.3,10,,,,,,,,
,9.1,10,,,,,,,,
,11.9,10,,,,,,,,
,7.8,10,,,,,,,,
,7.4,10,,,,,,,,
,9.6,10,,,,,,,,
,9.9,10,,,,,,,,
,6.4,10,,,,,,,,
,5.3,10,,,,,,,,
,8.4,10,,,,,,,,
,10.4,10,,,,,,,,
,10.1,10,,,,,,,,
,7.9,10,,,,,,,,
,10.5,10,,,,,,,,
,9.6,10,,,,,,,,
,10,10,,,,,,,,
,9.3,10,,,,,,,,
,9,10,,,,,,,,
,10.6,10,,,,,,,,
,12.6,10,,,,,,,,
,12.2,10,,,,,,,,
,12,10,,,,,,,,
,10,10,,,,,,,,
,11.5,10,,,,,,,,
,8.3,10,,,,,,,,
,5,10,,,,,,,,
,7,10,,,,,,,,
,7.4,10,,,,,,,,
,8.4,10,,,,,,,,
,10.7,10,,,,,,,,
,11.3,10,,,,,,,,
,11.3,10,,,,,,,,
,12,10,,,,,,,,
,10.5,10,,,,,,,,
,10.6,10,,,,,,,,
,9.1,10,,,,,,,,
,11.1,10,,,,,,,,
,11.4,10,,,,,,,,
,12.8,10,,,,,,,,
,12.1,10,,,,,,,,
,11.9,10,,,,,,,,
,8.4,10,,,,,,,,
,7.5,10,,,,,,,,
,10.6,10,,,,,,,,
,12.2,10,,,,,,,,
,12.3,10,,,,,,,,
,11.7,10,,,,,,,,
,10.1,10,,,,,,,,
,10.7,10,,,,,,,,
,11.9,10,,,,,,,,
,11.6,10,,,,,,,,
,15.7,10,,,,,,,,
,16.2,10,,,,,,,,
,15,10,,,,,,,,
,13.1,10,,,,,,,,
,15.1,10,,,,,,,,
,15.6,10,,,,,,,,
,15.9,10,,,,,,,,
,13.7,10,,,,,,,,
,13.6,10,,,,,,,,
,13.2,10,,,,,,,,
,16.1,10,,,,,,,,
,16.6,10,,,,,,,,
,16.7,10,,,,,,,,
,16.7,10,,,,,,,,
,13.5,10,,,,,,,,
,11,10,,,,,,,,
,12.6,10,,,,,,,,
,13.4,10,,,,,,,,
,14.8,10,,,,,,,,
,16.1,10,,,,,,,,
,16.7,10,,,,,,,,
,15.7,10,,,,,,,,
,17.3,10,,,,,,,,
,16.2,10,,,,,,,,
,16.3,10,,,,,,,,
,14.6,10,,,,,,,,
,15.1,10,,,,,,,,
,17,10,,,,,,,,
,14.6,10,,,,,,,,
,14.5,10,,,,,,,,
,15.3,10,,,,,,,,
,15.8,10,,,,,,,,
,15.5,10,,,,,,,,
,15.7,10,,,,,,,,
,14.1,10,,,,,,,,
,15.8,10,,,,,,,,
,15.5,10,,,,,,,,
,13.4,10,,,,,,,,
,16,10,,,,,,,,
,16.2,10,,,,,,,,
,14.7,10,,,,,,,,
,16.5,10,,,,,,,,
,14.4,10,,,,,,,,
,17.8,10,,,,,,,,
,18.2,10,,,,,,,,
,16.3,10,,,,,,,,
,17.5,10,,,,,,,,
,16.9,10,,,,,,,,
,14.4,10,,,,,,,,
,15.1,10,,,,,,,,
,16.8,10,,,,,,,,
,18.1,10,,,,,,,,
,18.1,10,,,,,,,,
,18.9,10,,,,,,,,
,20.1,10,,,,,,,,
,20,10,,,,,,,,
,20.5,10,,,,,,,,
,18.4,10,,,,,,,,
,16.6,10,,,,,,,,
,17.6,10,,,,,,,,
,16.7,10,,,,,,,,
,16.4,10,,,,,,,,
,14.3,10,,,,,,,,
,12.6,10,,,,,,,,
,13.1,10,,,,,,,,
,15.6,10,,,,,,,,
,16.6,10,,,,,,,,
,18.4,10,,,,,,,,
,18.9,10,,,,,,,,
,18.5,10,,,,,,,,
,16.4,10,,,,,,,,
,16.5,10,,,,,,,,
,16.9,10,,,,,,,,
,18.4,10,,,,,,,,
,19,10,,,,,,,,
,17.9,10,,,,,,,,
,19.4,10,,,,,,,,
,18.5,10,,,,,,,,
,18.9,10,,,,,,,,
,17.9,10,,,,,,,,
,18.6,10,,,,,,,,
,19.6,10,,,,,,,,
,20.6,10,,,,,,,,
,20.4,10,,,,,,,,
,19.6,10,,,,,,,,
,15.7,10,,,,,,,,
,15,10,,,,,,,,
,11.9,10,,,,,,,,
,11.3,10,,,,,,,,
,14.3,10,,,,,,,,
,15.4,10,,,,,,,,
,14.8,10,,,,,,,,
,15.4,10,,,,,,,,
,15.8,10,,,,,,,,
,18,10,,,,,,,,
,17.3,10,,,,,,,,
,14.2,10,,,,,,,,
,13.7,10,,,,,,,,
,15.4,10,,,,,,,,
,15.6,10,,,,,,,,
,17.8,10,,,,,,,,
,17.7,10,,,,,,,,
,17.7,10,,,,,,,,
,17.3,10,,,,,,,,
,18.4,10,,,,,,,,
,18.7,10,,,,,,,,
,18.1,10,,,,,,,,
,18.1,10,,,,,,,,
,16,10,,,,,,,,
,14.4,10,,,,,,,,
,14.2,10,,,,,,,,
,15,10,,,,,,,,
,15.3,10,,,,,,,,
,15.5,10,,,,,,,,
,16.1,10,,,,,,,,
,13.4,10,,,,,,,,
,15.3,10,,,,,,,,
,15.8,10,,,,,,,,
,17.6,10,,,,,,,,
,15.5,10,,,,,,,,
,15.2,10,,,,,,,,
,17.7,10,,,,,,,,
,19.1,10,,,,,,,,
,18.3,10,,,,,,,,
,18.5,10,,,,,,,,
,19.1,10,,,,,,,,
,18.2,10,,,,,,,,
,17.8,10,,,,,,,,
,17.5,10,,,,,,,,
,17.2,10,,,,,,,,
,15.6,10,,,,,,,,
,13.5,10,,,,,,,,
,13.7,10,,,,,,,,
,13.1,10,,,,,,,,
,13.9,10,,,,,,,,
,14.3,10,,,,,,,,
,15.1,10,,,,,,,,
,14.7,10,,,,,,,,
,16.4,10,,,,,,,,
,16,10,,,,,,,,
,15.1,10,,,,,,,,
,14.8,10,,,,,,,,
,16,10,,,,,,,,
,12,10,,,,,,,,
,12.2,10,,,,,,,,
,14.5,10,,,,,,,,
,15.5,10,,,,,,,,
,14.5,10,,,,,,,,
,15,10,,,,,,,,
,16.5,10,,,,,,,,
,15.1,10,,,,,,,,
,14.9,10,,,,,,,,
,14.8,10,,,,,,,,
,15.4,10,,,,,,,,
,17,10,,,,,,,,
,16.4,10,,,,,,,,
,14.5,10,,,,,,,,
,14.8,10,,,,,,,,
,13.8,10,,,,,,,,
,12.6,10,,,,,,,,
,10.6,10,,,,,,,,
,13,10,,,,,,,,
,15.2,10,,,,,,,,
,14.4,10,,,,,,,,
,12.4,10,,,,,,,,
,12.6,10,,,,,,,,
,13,10,,,,,,,,
,14.8,10,,,,,,,,
,15.5,10,,,,,,,,
,14.1,10,,,,,,,,
,14.5,10,,,,,,,,
,11.3,10,,,,,,,,
,12.4,10,,,,,,,,
,13,10,,,,,,,,
,10.8,10,,,,,,,,
,11.4,10,,,,,,,,
,12.4,10,,,,,,,,
,12.2,10,,,,,,,,
,12.3,10,,,,,,,,
,11.4,10,,,,,,,,
,11.8,10,,,,,,,,
,11.9,10,,,,,,,,
,11.1,10,,,,,,,,
,9.8,10,,,,,,,,
,10.3,10,,,,,,,,
,8.4,10,,,,,,,,
,8.5,10,,,,,,,,
,11.5,10,,,,,,,,
,9.5,10,,,,,,,,
,9.9,10,,,,,,,,
,8,10,,,,,,,,
,10.6,10,,,,,,,,
,11.6,10,,,,,,,,
,12.3,10,,,,,,,,
,10.4,10,,,,,,,,
,11.6,10,,,,,,,,
,15,10,,,,,,,,
,14.6,10,,,,,,,,
,15.6,10,,,,,,,,
,12.4,10,,,,,,,,
,6.4,10,,,,,,,,
,6,10,,,,,,,,
,9.6,10,,,,,,,,
,10.3,10,,,,,,,,
,10.1,10,,,,,,,,
,8.9,10,,,,,,,,
,8.7,10,,,,,,,,
,10.7,10,,,,,,,,
,8.6,10,,,,,,,,
,10.4,10,,,,,,,,
,7.2,10,,,,,,,,
,6.3,10,,,,,,,,
,4.2,10,,,,,,,,
,3.6,10,,,,,,,,
,3.8,10,,,,,,,,
,6.9,10,,,,,,,,
,7.1,10,,,,,,,,
,7,10,,,,,,,,
,6.2,10,,,,,,,,
,4.4,10,,,,,,,,
,6.2,10,,,,,,,,
,5.9,10,,,,,,,,
,6.3,10,,,,,,,,
,6.8,10,,,,,,,,
,10.6,10,,,,,,,,
,10.3,10,,,,,,,,
,8.2,10,,,,,,,,
,6.6,10,,,,,,,,
,6.5,10,,,,,,,,
,7.6,10,,,,,,,,
,8.7,10,,,,,,,,
,10.2,10,,,,,,,,
,12.4,10,,,,,,,,
,10.4,10,,,,,,,,
,11,10,,,,,,,,
,10.3,10,,,,,,,,
,8.6,10,,,,,,,,
,6,10,,,,,,,,
,4.8,10,,,,,,,,
,7.9,10,,,,,,,,
,3.8,10,,,,,,,,
,3.5,10,,,,,,,,
,4.9,10,,,,,,,,
,7.7,10,,,,,,,,
,12.1,10,,,,,,,,
,11.1,10,,,,,,,,
,9.2,10,,,,,,,,
,3.8,10,,,,,,,,
,2.8,10,,,,,,,,
,2.9,10,,,,,,,,
,3.9,10,,,,,,,,
,3.6,10,,,,,,,,
,3.7,10,,,,,,,,
,2.8,10,,,,,,,,
,5.3,10,,,,,,,,
,7.5,10,,,,,,,,
,6,10,,,,,,,,
,6,10,,,,,,,,
,6.1,10,,,,,,,,
,3.9,10,,,,,,,,
,2.8,10,,,,,,,,
,3.1,10,,,,,,,,
,2.7,10,,,,,,,,
,5.6,10,,,,,,,,
,10.6,10,,,,,,,,
,11.6,10,,,,,,,,
,9.3,10,,,,,,,,
,7.4,10,,,,,,,,
,8.2,10,,,,,,,,
,7,10,,,,,,,,
,9.5,10,,,,,,,,
,4.8,10,,,,,,,,
,5.7,10,,,,,,,,
,6.1,10,,,,,,,,
,8.4,10,,,,,,,,
,8.3,10,,,,,,,,
,7.8,10,,,,,,,,
,7.4,10,,,,,,,,
,8.7,10,,,,,,,,
,6.9,10,,,,,,,,
,7.6,10,,,,,,,,
,9.8,10,,,,,,,,
,8.1,10,,,,,,,,
,3.5,10,,,,,,,,
,6.6,10,,,,,,,,
,5.9,10,,,,,,,,
,8,10,,,,,,,,
,6.3,10,,,,,,,,
,3.1,10,,,,,,,,
,2.3,10,,,,,,,,
,6.4,10,,,,,,,,
,7.9,10,,,,,,,,
,8,10,,,,,,,,
,7.5,10,,,,,,,,
,6.6,10,,,,,,,,
,7.7,10,,,,,,,,
,8.6,10,,,,,,,,
,6.6,10,,,,,,,,
,6.9,10,,,,,,,,
,8.6,10,,,,,,,,
,5.3,10,,,,,,,,
,5.8,10,,,,,,,,
,9.7,10,,,,,,,,
,10,10,,,,,,,,
,9.2,10,,,,,,,,
,9.5,10,,,,,,,,
,10.8,10,,,,,,,,
,11.9,10,,,,,,,,
