Date(NZST),Radiation(MJ/m2)
20110906,7.1
20110907,9
20110908,8.93
20110909,13.06
20110910,6.51
20110911,5.34
20110912,13.21
20110913,9.45
20110914,12.53
20110915,8.62
20110916,10.03
20110917,14.25
20110918,18.79
20110919,11.15
20110920,19.07
20110921,14.88
20110922,13
20110923,16.22
20110924,10.69
20110925,13.54
20110926,17.1
20110927,14.87
20110928,16.83
20110929,20.51
20110930,22.03
20111001,8.63
20111002,9.71
20111003,6.9
20111004,10.26
20111005,21.52
20111006,20.15
20111007,12.32
20111008,14.53
20111009,17.15
20111010,15.45
20111011,14.5
20111012,16.07
20111013,17.05
20111014,11.52
20111015,15.83
20111016,20.38
20111017,16.62
20111018,20.16
20111019,14.93
20111020,20.41
20111021,15.67
20111022,16.44
20111023,26.07
20111024,17.95
20111025,9.51
20111026,13.32
20111027,20.87
20111028,21.8
20111029,16.26
20111030,20.94
20111031,16.72
20111101,9.22
20111102,10.62
20111103,13.03
20111104,14.82
20111105,18.64
20111106,20.17
20111107,22.96
20111108,7.48
20111109,10.86
20111110,31.41
20111111,23.23
20111112,14.36
20111113,25.38
20111114,23.47
20111115,18.31
20111116,30.14
20111117,28.96
20111118,19.54
20111119,25.48
20111120,7.17
20111121,8.6
20111122,27.18
20111123,3.58
20111124,21.4
20111125,23.14
20111126,24.86
20111127,27.27
20111128,10.92
20111129,29.09
20111130,33.79
20111201,25.14
20111202,27.04
20111203,24.8
20111204,13.96
20111205,24.61
20111206,7.9
20111207,18.09
20111208,29.47
20111209,32.56
20111210,24.02
20111211,27.63
20111212,13.97
20111213,31.87
20111214,5.32
20111215,8.73
20111216,15.28
20111217,34.43
20111218,32.39
20111219,21.29
20111220,28.65
20111221,22.85
20111222,25.63
20111223,29.09
20111224,33.6
20111225,33.72
20111226,35.23
20111227,32.93
20111228,18
20111229,7.64
20111230,4.62
20111231,29.25
20120101,30.51
20120102,32.46
20120103,16.57
20120104,32.14
20120105,32.47
20120106,29.3
20120107,28.48
20120108,33.92
20120109,20.06
20120110,16.4
20120111,24.65
20120112,18.23
20120113,10.6
20120114,13.54
20120115,8.54
20120116,32.21
20120117,32.31
20120118,30.4
20120119,17.88
20120120,30.71
20120121,25.29
20120122,19.91
20120123,29.19
20120124,32.88
20120125,23.28
20120126,15.8
20120127,24.15
20120128,14.03
20120129,17.73
20120130,31.9
20120131,17.06
20120201,17.35
20120202,12.16
20120203,22.56
20120204,21.12
20120205,18.11
20120206,11.33
20120207,24.13
20120208,26.63
20120209,20.68
20120210,13.58
20120211,26.88
20120212,17.42
20120213,25.85
20120214,13.25
20120215,14.42
20120216,30.11
20120217,26.06
20120218,22.86
20120219,22.04
20120220,16.56
20120221,7.9
20120222,6.62
20120223,15.78
20120224,12.1
20120225,14.44
20120226,10.39
20120227,17.06
20120228,21.68
20120229,8.91
20120301,19.21
20120302,5.79
20120303,21.03
20120304,25.58
20120305,19.14
20120306,8.35
20120307,13.81
20120308,22.29
20120309,24.69
20120310,19.09
20120311,6.16
20120312,18.38
20120313,22.46
20120314,17.75
20120315,12.37
20120316,19.25
20120317,20.05
20120318,8.45
20120319,19.86
20120320,21.71
20120321,17.21
20120322,8.03
20120323,9.97
20120324,8.13
20120325,7.19
20120326,12.51
20120327,12.19
20120328,19.24
20120329,18.4
20120330,17.04
20120331,17.93
20120401,13.53
20120402,17.01
20120403,18.35
20120405,18.31
20120406,17.86
20120407,16.13
20120408,16.65
20120409,12.11
20120410,8.83
20120411,2.8
20120412,14.53
20120413,8.53
20120414,15.44
20120415,13.02
20120416,14.98
20120417,10.39
20120418,14.84
20120419,15.02
20120420,7.75
20120421,7.85
20120422,10.04
20120423,6.67
20120424,8.04
20120425,10.91
20120426,10.92
20120427,7
20120428,9.39
20120429,7.4
20120430,6.19
20120501,12.79
20120502,10.91
20120503,11.22
20120504,9.56
20120505,9.17
20120506,5.64
20120507,7.64
20120508,6.56
20120509,10.37
20120510,3.25
20120511,4.92
20120512,5.8
20120513,4.19
20120514,2.86
20120515,6.65
20120516,9.24
20120517,4.02
20120518,4.77
20120519,8.81
20120520,6.2
20120521,7.98
20120522,7.44
20120523,5.27
20120524,5.48
20120525,7.71
20120526,2.42
20120527,3.58
20120528,5.03
20120529,8.39
20120530,5.8
20120531,6.33
20120601,5.5
20120602,5.23
20120603,4.15
20120604,6.34
20120605,2.26
20120606,1.65
20120607,4.07
20120608,3.86
20120609,4.52
20120610,4.55
20120611,4.75
20120612,8.53
