Station,Date(NZST),Percent(%),Depth(cm)
3925,20190113:1000,35.1,20
3925,20190113:1100,34.9,20
3925,20190113:1200,34.9,20
3925,20190113:1300,35,20
3925,20190113:1400,34.9,20
3925,20190113:1500,34.9,20
3925,20190113:1600,34.9,20
3925,20190113:1700,34.9,20
3925,20190113:1800,35.3,20
3925,20190113:1900,35.5,20
3925,20190113:2000,36.4,20
3925,20190113:2100,36.4,20
3925,20190113:2200,36.6,20
3925,20190113:2300,36.6,20
3925,20190114:0000,36.6,20
3925,20190114:0100,36.7,20
3925,20190114:0200,36.7,20
3925,20190114:0300,36.7,20
3925,20190114:0400,37.5,20
3925,20190114:0500,38.3,20
3925,20190114:0600,38.3,20
3925,20190114:0700,38.2,20
3925,20190114:0800,38.3,20
3925,20190114:0900,38.3,20
3925,20190114:1000,38.2,20
3925,20190114:1100,38.3,20
3925,20190114:1200,38,20
3925,20190114:1300,37.9,20
3925,20190114:1400,37.9,20
3925,20190114:1500,37.9,20
3925,20190114:1600,37.8,20
3925,20190114:1700,37.6,20
3925,20190114:1800,37.6,20
3925,20190114:1900,37.5,20
3925,20190114:2000,37.6,20
3925,20190114:2100,37.4,20
3925,20190114:2200,37.5,20
3925,20190114:2300,37.3,20
3925,20190115:0000,37.1,20
3925,20190115:0100,37.1,20
3925,20190115:0200,37.2,20
3925,20190115:0300,37.1,20
3925,20190115:0400,37.1,20
3925,20190115:0500,37.2,20
3925,20190115:0600,37.2,20
3925,20190115:0700,37.2,20
3925,20190115:0800,37.2,20
3925,20190115:0900,37.1,20
3925,20190115:1000,36.9,20
3925,20190115:1100,37,20
3925,20190115:1200,37,20
3925,20190115:1300,36.9,20
3925,20190115:1400,36.8,20
3925,20190115:1500,36.8,20
3925,20190115:1600,36.7,20
3925,20190115:1700,36.6,20
3925,20190115:1800,36.5,20
3925,20190115:1900,36.5,20
3925,20190115:2000,36.5,20
3925,20190115:2100,36.3,20
3925,20190115:2200,36.3,20
3925,20190115:2300,36.3,20
3925,20190116:0000,36.1,20
3925,20190116:0100,36.1,20
3925,20190116:0200,36.1,20
3925,20190116:0300,36.2,20
3925,20190116:0400,36,20
3925,20190116:0500,36.2,20
3925,20190116:0600,36.1,20
3925,20190116:0700,36.1,20
3925,20190116:0800,36.1,20
3925,20190116:0900,35.9,20
3925,20190116:1000,36,20
3925,20190116:1100,36.1,20
3925,20190116:1200,36,20
3925,20190116:1300,35.8,20
3925,20190116:1400,35.9,20
3925,20190116:1500,35.7,20
3925,20190116:1600,35.5,20
3925,20190116:1700,35.6,20
3925,20190116:1800,35.5,20
3925,20190116:1900,35.2,20
3925,20190116:2000,35.3,20
3925,20190116:2100,35.4,20
