Station,Date(NZST),Percent(%),Depth(cm)
3925,20090114:1800,47.7,20
3925,20090114:1900,47.8,20
3925,20090114:2000,47.9,20
3925,20090114:2100,47.7,20
3925,20090114:2200,47.6,20
3925,20090114:2300,47.7,20
3925,20090115:0000,47.8,20
3925,20090115:0100,47.8,20
3925,20090115:0200,47.8,20
3925,20090115:0300,47.7,20
3925,20090115:0400,47.7,20
3925,20090115:0500,47.7,20
3925,20090115:0600,47.7,20
3925,20090115:0700,47.9,20
3925,20090115:0800,47.9,20
3925,20090115:0900,47.8,20
3925,20090115:1000,47.9,20
3925,20090115:1100,47.7,20
3925,20090115:1200,47.9,20
3925,20090115:1300,47.7,20
3925,20090115:1400,47.7,20
3925,20090115:1500,47.5,20
3925,20090115:1600,47.3,20
3925,20090115:1700,47.4,20
3925,20090115:1800,47.3,20
3925,20090115:1900,47.3,20
3925,20090115:2000,47.4,20
3925,20090115:2100,47.4,20
3925,20090115:2200,47.1,20
3925,20090115:2300,47.3,20
3925,20090116:0000,47.4,20
3925,20090116:0100,47.4,20
3925,20090116:0200,47.4,20
3925,20090116:0300,47.3,20
3925,20090116:0400,47.3,20
3925,20090116:0500,47.3,20
3925,20090116:0600,47.3,20
3925,20090116:0700,47.4,20
3925,20090116:0800,47.2,20
3925,20090116:0900,47.2,20
3925,20090116:1000,47.3,20
3925,20090116:1100,47.4,20
3925,20090116:1200,47.4,20
3925,20090116:1300,47.2,20
3925,20090116:1400,47.2,20
3925,20090116:1500,47.1,20
3925,20090116:1600,46.9,20
3925,20090116:1700,46.9,20
3925,20090116:1800,47,20
3925,20090116:1900,46.9,20
3925,20090116:2000,46.8,20
3925,20090116:2100,46.9,20
3925,20090116:2200,46.6,20
3925,20090116:2300,46.9,20
3925,20090117:0000,46.8,20
3925,20090117:0100,46.9,20
3925,20090117:0200,46.9,20
3925,20090117:0300,46.9,20
3925,20090117:0400,46.9,20
3925,20090117:0500,46.8,20
3925,20090117:0600,46.9,20
3925,20090117:0700,46.9,20
3925,20090117:0800,46.8,20
3925,20090117:0900,46.9,20
3925,20090117:1000,46.9,20
3925,20090117:1100,46.9,20
3925,20090117:1200,47.1,20
3925,20090117:1300,47,20
3925,20090117:1400,47.4,20
3925,20090117:1500,47.6,20
3925,20090117:1600,47.4,20
3925,20090117:1700,47.5,20
3925,20090117:1800,47.7,20
3925,20090117:1900,47.9,20
3925,20090117:2000,48,20
3925,20090117:2100,48,20
3925,20090117:2200,48.3,20
3925,20090117:2300,48.1,20
3925,20090118:0000,48.2,20
3925,20090118:0100,48.3,20
3925,20090118:0200,48.2,20
3925,20090118:0300,48.5,20
3925,20090118:0400,48.3,20
3925,20090118:0500,48.7,20
3925,20090118:0600,48.5,20
3925,20090118:0700,48.5,20
3925,20090118:0800,48.6,20
3925,20090118:0900,48.6,20
3925,20090118:1000,48.6,20
3925,20090118:1100,49.1,20
3925,20090118:1200,49.2,20
3925,20090118:1300,49.6,20
3925,20090118:1400,50.6,20
3925,20090118:1500,52,20
3925,20090118:1600,52.9,20
3925,20090118:1700,53,20
3925,20090118:1800,53.3,20
3925,20090118:1900,53.1,20
3925,20090118:2000,53.2,20
3925,20090118:2100,53,20
3925,20090118:2200,53,20
3925,20090118:2300,52.8,20
3925,20090119:0000,52.8,20
3925,20090119:0100,52.8,20
3925,20090119:0200,52.7,20
3925,20090119:0300,52.4,20
3925,20090119:0400,52.7,20
3925,20090119:0500,52.7,20
3925,20090119:0600,52.7,20
3925,20090119:0700,52.7,20
3925,20090119:0800,52.7,20
3925,20090119:0900,52.8,20
3925,20090119:1000,52.8,20
3925,20090119:1100,53.1,20
3925,20090119:1200,52.9,20
3925,20090119:1300,52.9,20
3925,20090119:1400,52.7,20
3925,20090119:1500,52.7,20
3925,20090119:1600,52.5,20
3925,20090119:1700,52.4,20
3925,20090119:1800,52.1,20
3925,20090119:1900,52,20
3925,20090119:2000,51.9,20
3925,20090119:2100,52.1,20
3925,20090119:2200,51.9,20
3925,20090119:2300,52,20
3925,20090120:0000,51.7,20
3925,20090120:0100,51.8,20
3925,20090120:0200,51.5,20
3925,20090120:0300,51.5,20
3925,20090120:0400,51.5,20
3925,20090120:0500,51.5,20
3925,20090120:0600,51.6,20
3925,20090120:0700,51.7,20
3925,20090120:0800,51.6,20
3925,20090120:0900,51.6,20
3925,20090120:1000,51.7,20
3925,20090120:1100,51.5,20
3925,20090120:1200,51.7,20
3925,20090120:1300,51.7,20
3925,20090120:1400,51.5,20
3925,20090120:1500,51.3,20
3925,20090120:1600,51.6,20
3925,20090120:1700,51.1,20
3925,20090120:1800,50.9,20
3925,20090120:1900,50.9,20
3925,20090120:2000,50.7,20
3925,20090120:2100,51,20
3925,20090120:2200,50.9,20
3925,20090120:2300,50.7,20
3925,20090121:0000,51,20
3925,20090121:0100,50.7,20
3925,20090121:0200,50.9,20
3925,20090121:0300,50.9,20
3925,20090121:0400,50.6,20
3925,20090121:0500,50.6,20
3925,20090121:0600,50.8,20
3925,20090121:0700,50.8,20
3925,20090121:0800,50.8,20
3925,20090121:0900,50.8,20
3925,20090121:1000,50.8,20
3925,20090121:1100,50.6,20
3925,20090121:1200,50.6,20
3925,20090121:1300,50.6,20
3925,20090121:1400,50.4,20
3925,20090121:1500,50.2,20
3925,20090121:1600,50.2,20
3925,20090121:1700,49.9,20
3925,20090121:1800,50,20
3925,20090121:1900,50,20
3925,20090121:2000,49.8,20
3925,20090121:2100,49.8,20
3925,20090121:2200,49.8,20
3925,20090121:2300,49.8,20
3925,20090122:0000,49.8,20
3925,20090122:0100,49.8,20
3925,20090122:0200,49.8,20
3925,20090122:0300,49.8,20
3925,20090122:0400,49.8,20
3925,20090122:0500,49.9,20
3925,20090122:0600,49.8,20
3925,20090122:0700,49.8,20
3925,20090122:0800,49.8,20
3925,20090122:0900,49.8,20
3925,20090122:1000,49.8,20
3925,20090122:1100,49.8,20
3925,20090122:1200,49.9,20
3925,20090122:1300,49.6,20
3925,20090122:1400,49.7,20
3925,20090122:1500,49.6,20
3925,20090122:1600,49.5,20
3925,20090122:1700,49.5,20
3925,20090122:1800,49.4,20
3925,20090122:1900,49.3,20
3925,20090122:2000,49.3,20
3925,20090122:2100,49.3,20
3925,20090122:2200,49.3,20
3925,20090122:2300,49.3,20
3925,20090123:0000,49.3,20
3925,20090123:0100,49.3,20
3925,20090123:0200,49.3,20
3925,20090123:0300,49.3,20
3925,20090123:0400,49.2,20
3925,20090123:0500,49.2,20
3925,20090123:0600,49.2,20
3925,20090123:0700,49.3,20
3925,20090123:0800,49.3,20
3925,20090123:0900,49.3,20
3925,20090123:1000,49.2,20
3925,20090123:1100,49.4,20
3925,20090123:1200,49.1,20
3925,20090123:1300,49.1,20
3925,20090123:1400,48.8,20
3925,20090123:1500,48.9,20
3925,20090123:1600,48.7,20
3925,20090123:1700,48.8,20
3925,20090123:1800,48.7,20
3925,20090123:1900,48.6,20
3925,20090123:2000,48.6,20
3925,20090123:2100,48.6,20
3925,20090123:2200,48.6,20
3925,20090123:2300,48.6,20
3925,20090124:0000,48.6,20
3925,20090124:0100,48.6,20
3925,20090124:0200,48.7,20
3925,20090124:0300,48.6,20
3925,20090124:0400,48.7,20
3925,20090124:0500,48.8,20
3925,20090124:0600,48.8,20
3925,20090124:0700,48.7,20
3925,20090124:0800,48.7,20
3925,20090124:0900,48.6,20
3925,20090124:1000,48.8,20
3925,20090124:1100,48.7,20
3925,20090124:1200,48.6,20
3925,20090124:1300,48.4,20
3925,20090124:1400,48.4,20
3925,20090124:1500,48.2,20
